字符串索引	标记	立绘位置	说话人	实际说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	disable	Remark
1		0				临近清晨的崇福街很安静，几乎所有的店铺都关了门，只留下闪烁的霓虹灯，把巷子照得斑驳陆离。	0	3.5版本主线剧情
2		0				带着寒气的风呼呼掠过，吹得头顶上挂着的一串串红灯笼胡乱摇晃着。	0	3.5版本主线剧情
3		0				玫色长发的少女向前快步走着，鞋子踏在石板路上，却没有一点声音。	0	3.5版本主线剧情
4		0	茉莉安幽潮		Play_Vo_dlc35ep7_girl005_01	这么晚了，你准备去哪里？	0	3.5版本主线剧情
5		9	瑟茜		Play_Vo_dlc35ep7_sexi_01	啊！	0	3.5版本主线剧情
6		0				茉莉安冷冷的声音从巷口的屋檐上传来，在这样昏暗的夜色中，她就像个没有实体的幽灵。	0	3.5版本主线剧情
7		0				下一瞬，她无声无息地站在了瑟茜面前，彻底封死了去路。	0	3.5版本主线剧情
8		0				瑟茜果断回头，却在看清道路另一头的我和安卡希雅后，瞳孔骤然收缩。	0	3.5版本主线剧情
9		0	瑟茜		Play_Vo_dlc35ep7_sexi_02	主……主管……	0	3.5版本主线剧情
10		0	瑟茜		Play_Vo_dlc35ep7_sexi_03	我是打算……	0	3.5版本主线剧情
11		0	分析员无帽			打算去布置那些气味和声音对吗？	0	3.5版本主线剧情
12		0	分析员无帽			之前你提到过，你的天启者能力是精神系。	0	3.5版本主线剧情
13		0	分析员无帽			从游客们的表现上看，不是单纯的幻觉迷惑。再加上你需要借助声音、气味作为媒介……	0	3.5版本主线剧情
14		0	分析员无帽			所以，是“心理暗示”，对吗？你给崇福街的所有人种下了“在大洪水到来前，必须要留在这里”的暗示？	0	3.5版本主线剧情
15		0				在我揭穿瑟茜的手段之后，瑟茜脸上却浮现出意外的欣慰，甚至如释重负地笑了笑。	0	3.5版本主线剧情
16		6	瑟茜		Play_Vo_dlc35ep7_sexi_04	太好了，我就知道主管不会被影响的。	0	3.5版本主线剧情
17		6	瑟茜		Play_Vo_dlc35ep7_sexi_05	我很抱歉一直瞒着你们，但你们会来崇福街，确实在我的计划之外。	0	3.5版本主线剧情
18		6	瑟茜		Play_Vo_dlc35ep7_sexi_06	昨天见到你们时，我以为心理暗示已经种下了，所以不敢灌输与其相悖的事实，担心让你们的精神崩溃。	0	3.5版本主线剧情
