字符串索引	标记	立绘位置	说话人	实际说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	disable	Remark
1		0				等厚重的黏腻感褪去，我缓缓睁开眼睛，眼前的景象从模糊逐渐变得清晰。	0	3.5版本主线剧情
2		0				石板路、二十四桥，还有层层飞檐以及牌坊上挂着的大红灯笼，都提醒着我此刻的所在地。	0	3.5版本主线剧情
3		0				心流内景中充斥着各种记忆乱流，不过既然是崇福街的景象，说明我此刻正处于安卡希雅意识中较为浅层的区域。	0	3.5版本主线剧情
4		0				只是在街上随意走了几步，我便察觉到这里与真实的崇福街有些不同，眼前的一切都似乎更加美好。	0	3.5版本主线剧情
5		0				阳光灿烂而温暖，悠闲惬意的氛围弥漫在街区的每个角落。	0	3.5版本主线剧情
6		0				报刊亭主理人又找到了几本旧时代的漫画，正兴致勃勃地把它们摆在最显眼的位置。	0	3.5版本主线剧情
7		0				五颜六色的糖果被叮叮当当地倒进玻璃罐中，透过橱窗，闪动着诱人的光泽。	0	3.5版本主线剧情
8		0				街边甚至有人摆起了藤椅和藤桌，三三两两地围坐着搓麻将。	0	3.5版本主线剧情
9		0				这里的一景一物都动人极了，似乎蒙上了一层说不清的滤镜，看来安卡希雅的意识已经顺利融入了潜意识网中。	0	3.5版本主线剧情
10		0				正当我思索着如何找到安卡希雅的意识映射时，突兀的广播声响起，带着旧年代特有的沙沙质感。	0	3.5版本主线剧情
11		0	广播声		Play_Vo_dlc35st2_radio_01	怀旧展特别项目——“四驱车竞速大赛”，将于上午10点在中央广场开赛，请各位选手……	0	3.5版本主线剧情
12		0	分析员无帽			（中央广场……）	0	3.5版本主线剧情
13		0	分析员无帽			（听上去，像是安卡希雅无意识下给出的引导。）	0	3.5版本主线剧情
14		0	分析员无帽			（过去看看好了。）	0	3.5版本主线剧情
15		0				循着广播的指引，我很快就来到了中央广场。	0	3.5版本主线剧情
16		0				此时外围已经聚集了不少看热闹的观众。而中心位置摆放着几张大型工作台，参赛选手们正聚精会神地组装调试着自己的四驱车。	0	3.5版本主线剧情
