字符串索引	标记	立绘位置	说话人	实际说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	disable	Remark
1		0				最近，海姆达尔部队里的一部分队员很奇怪，在基地大厅休息的时间明显少了，经常在房间里闭门不出，十分诡异。	0	
2		0				出于担心，我逐个找了她们谈话。	0	
3		6	里芙病号服			我最近在帮一个朋友的忙。	0	
4		6	里芙病号服			她拜托我设计一些战斗地图，说我经常用沙盘，比较有经验。	0	
5		6	晴病号服			我帮一个朋友做一些战斗方面的设计。	0	
6		6	晴病号服			她拜托我给各种角色设计不同的战斗方式，但是具体用途我也不清楚。	0	
7		6	芙提雅病号服			哈啊——好困哦……	0	
8		6	芙提雅病号服			我最近都在忙着帮一个朋友开发能兼容老设备的游戏引擎，还有自动生成模型和地图的AI。都差不多完成了，就是可能还有点BUG……	0	
9		6	凯茜娅病号服			我吗？也没怎么忙吧？	0	
10		6	凯茜娅病号服			我就是花了点时间帮别人写几首曲子罢了。	0	
11		0				而这一切的罪魁祸首，那个“朋友”，我终于找到了。	0	
b-1	b-1	0					0	
12	b-1-1	0				安卡希雅！！！	0	
13		0	安卡希雅			现在没空，你自己进来吧。	0	
14		0				她也在忙？到底在搞什么……	0	
15		0	安卡希雅			哟~	0	
16		0				安卡希雅随便跟我打了个招呼，手上的动作一点也没耽搁。	0	
17		0				此时的她，被她那些打游戏的设备团团围住，仿佛筑起了一道结界。	0	
18		0	安卡希雅			有事？	0	
19		0				她一句轻描淡写的提问，差点淹没在噼里啪啦的游戏音效中。	0	
20		0	分析员			你的“没空”，就是指打游戏吗？	0	
21		0	安卡希雅			这次不一样，是我的游戏。	0	
22		0	分析员			什么意思？	0	
23		0	安卡希雅			等下，这轮马上结束。	0	
24		6	安卡希雅			呼……跑出一堆bug。	0	
25		0	分析员			结束了？	0	
26		6	安卡希雅			嗯，你找我什么事？	0	
27		0	分析员			你最近是不是前前后后拜托了好几个人给你帮忙？并且要求她们帮你保密？	0	
28		6	安卡希雅			看来保密工作失败了，你都找上门来了。海姆达尔部队的分析员果然很擅长“拷问”啊。	0	
29		0	分析员			你的行为占用了队员们大量休息时间，我当然要知情。而且我没拷问，是她们自愿说的。	0	
30		6	安卡希雅			那我换个说法，海姆达尔部队的分析员果然很擅长“蛊惑人心”啊。	0	
31		0	分析员			别转移话题，快交代一下你最近都在干嘛。	0	
32		6	安卡希雅			在开发我的游戏。	0	
33		0	分析员			所以里芙、晴、芙提雅、凯茜娅都在帮你开发游戏？	0	
34		6	安卡希雅			对啊，里芙是关卡策划，晴是战斗策划，芙提雅是程序员，凯茜娅是音乐音效总监，我是制作人。	0	
35		0	分析员			你在我的部队里成立了一个游戏制作组？	0	
36		6	安卡希雅			理论上这也不算挖你的墙脚，毕竟我不付工资。	0	
37		0	分析员			重点不是这个……	0	
38		6	安卡希雅			对了，你来得正好，制作组还差个人。	0	
39		0	分析员			你连我也要挖？	0	
40		0				安卡希雅没回答我，直接拉着我坐到了屏幕前，把手柄塞进了我手里。	0	
41		2	安卡希雅			你现在就是测试组组长了。	0	
42		0	分析员			请问我有组员吗？	0	
43		2	安卡希雅			以后招。	0	
44		2	安卡希雅			因为是第一次正式的封闭测试，还没有新手教程，我来教你玩吧。	0	
45		0	分析员			据我所知，封闭测试应该不止需要一个人吧……	0	
46		2	安卡希雅			所以你是测试组长啊，你测完没问题了才能找玩家测。	0	
47		0	分析员			不要这么理所当然就把压力转移给我啊。	0	
48		6	安卡希雅			这里是基础的抓捕区域“杂鱼星”，还有一个高级的“高手星”，待会儿给你看。	0	
49		0	分析员			抓捕？要抓捕什么？	0	
50		6	安卡希雅			比如这个。	0	
51		0	分析员			这是？	0	
52		6	安卡希雅			玩法就是把这些家伙打到残血，然后抓捕，收编成自己的队员，就可以用他们去挑战更难的副本了。	0	
53		0	分析员			你等等你等等！你这玩法问题很大啊！	0	
54		6	安卡希雅			怎么了吗？	0	
55		0	分析员			先不计较为什么场景是零区，还抓捕人类来当劳动力，你是真不把人道主义当回事啊。	0	
56		6	安卡希雅			资源太匮乏了，而且海姆达尔部队里并没有美术人才。芙提雅设计的引擎可以直接录入现实数据生成场景和模型。	0	
57		0	分析员			至少说法上要改一下吧……	0	
58		6	安卡希雅			那把“抓捕”改成<orange>“劝降”</>？	0	
59		0	分析员			有个问题，你是不是……还缺个文案策划？	0	
60		6	安卡希雅			你怎么知道？	0	
61		0				各种功能的命名都随意又中二，也没有剧情，甚至新手引导也没有……很容易猜到吧。	0	
62		0	分析员			毕竟我的队员里也没有写作人才。	0	
63		6	安卡希雅			以后招。	0	
64		0	分析员			在画饼方面你挺像个制作人的。	0	
65		6	安卡希雅			你放心，不会让你白打工，等将来游戏上线了我会好好答谢你。数据金肯定少不了，说不定还可以送你全服限定道具。	0	
66		0	分析员			你这话的可信度不高啊，明明之前还借我钱买游戏。	0	
67		6	安卡希雅			好了，快开始吧。有什么问题随时问我就行。	0	
68		6	安卡希雅			你是这个游戏的第一个玩家，你的建议我都会慎重考虑，那么……	0	
69		0				游戏开始！	0	
