字符串索引	标记	立绘位置	说话人	实际说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	disable	Remark
1		0				从四散崩落的小世界里走出来之后，我心底里依然留有一丝恍如隔世的错觉。	0	
2		0				这和集中注意力，潜入由泰坦物质所构筑的瓦尔哈拉精神空间不同……小世界，在来到新恒提罗之前我根本无从想象天底下竟然会有这种……神奇的东西？	0	
3		0	分析员			恒沙，这种力量或许也可以……	0	
4		6	瑟瑞斯瞬刻			……分析员？	0	
5		0				一直无声陪伴在我身边的她忽然开口，伴随着指尖处适时传来的紧握感——小金鱼歪着头，睁大了眼睛，看着我的脸。	0	
6		6	瑟瑞斯瞬刻			您刚刚说什么？	0	
b-1	b-1	0					0	
7	b-1-1	0				抚摸小金鱼的脸	0	
8	b-1-1-0	0				我没有回应她的问题，而是情不自禁地抬起手去抚摸她的脸颊。	0	
9	b-1-1-1	0				摊开手掌，用手指和掌心去贴合在她光洁细腻的半边脸庞上……	0	
10	b-1-1-2	6	瑟瑞斯瞬刻			分……分析员？！啊呜——	0	
11	b-1-2	0				反握住小金鱼的手	0	
12	b-1-2-0	0				短暂的一瞬，我像是失语了一般，顾不得开口去回应她的发问。	0	
13	b-1-2-1	0				好像有什么本能在驱使着我一样……我勾住她纤细的手指，将她的一只手牢牢握住。	0	
14	b-1-2-2	0				慢慢地，慢慢地平举到我的眼前。	0	
15	b-1-2-3	6	瑟瑞斯瞬刻			分……分析员！啊——有点，有点痛……	0	
16		6	凯茜娅			咳——咳嗯！	0	
17		6	凯茜娅			回回神，你刚刚那是想干什么呀？	0	
18		0				带着明显不悦的腔调飘进了我耳朵里，紧随而至的是大脑皮层的战栗……熟悉的迟滞黏腻感让我不禁打了个寒颤，随后彻底清醒过来。	0	
19		0				然后我就看见了她那一双明锐的眼眸，以及毫不客气地向我胸口处推过来的手掌。	0	
20		6	凯茜娅			你失控了么？冷静点，你差点就把信息态的泰坦物质塞进她身体里了！	0	
21		0				拜她所赐，我踉跄着向后退了两步。凯茜娅不由分说地拉过瑟瑞斯，上下打量着仍旧不明白状况的小金鱼。	0	
22		4	凯茜娅			怎么样？没事吧？	0	
23		5	瑟瑞斯瞬刻			啊……没，没事。凯茜娅小姐你……	0	
24		4	凯茜娅			那两个本地人去处理他们自己的事情了，安抚市民之类的。我就留在这儿等你们出来。	0	
25		4	凯茜娅			刚解决了一个麻烦，可别再出什么新的乱子……	0	
