字符串索引	标记	立绘位置	说话人	实际说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	disable	Remark
1		0	升格体偶像			最心动的体验~最极致的浪漫~最棒的约会场地——就在心动派对！	0	
2		0	升格体偶像			来预约吧！现在情侣共同申请注册将获得免费体验资格！	0	
3		0	升格体偶像			虚拟社区的心动派对，为您和您的伴侣创造心动瞬间——	0	
4		0				一排接一排升格体偶像雀跃着经过，人挤人的街上充满了愉悦甜蜜的空气。	0	
5		0				四个全息投影大字——“心动派对”——巨物一般浮在人群头顶，几乎要被升空的气球和礼花淹没。	0	
6		0	分析员			这可要怎么找人啊……	0	
7		0				五天前——	0	
8		6	茉莉安雨燕			分析员，可以占用你五天之后的一点时间吗？	0	
9		0	分析员			我想想……最近手头还有份资料需要整理……	0	
10		6	茉莉安雨燕			我……擅自帮分析员整理好了那份材料，如果你觉得没问题随时都可以提交。	0	
11		0	分析员			茉莉安的能力我很放心。如此一来，我就没什么事情了。	0	
12		6	茉莉安雨燕			太好了！那么分析员就算是答应了哦？	0	
13		6	茉莉安雨燕			五天之后，新恒提罗街上有一场宣传表演，我想和你一起看。	0	
14		0	分析员			好啊，到时候我会过去的。	0	
15		6	茉莉安雨燕			嗯嗯，不管多久我都会等你来的！我很期待……	0	
16		6	茉莉安雨燕			对了，需要我来为分析员准备那天要穿的衣服吗？呵呵~非常乐意效劳……	0	
17		0				三天前——	0	
18		6	狂猎			分析员，最近有时间吗？	0	
19		0	分析员			最近没什么事了，这两天姑且就当在新恒提罗过个短假期。	0	
20		6	狂猎			我觉得……这个还挺有意思的，你看看。	0	
21		0	分析员			升格体偶像表演邀请函？	0	
22		0	分析员			里芙你开始对这个感兴趣了？还是那里有什么情况？	0	
23		6	狂猎			嗯……就是觉得来一趟新恒提罗，可以多看看这里的风土人情。	0	
24		6	狂猎			三天后，我等你。	0	
25		0	分析员			嗯。嗯？三天后？	0	
26		0				一天前——	0	
27		6	芬妮咎冠			总算找到你了分析员，你跑哪里去了嘛！	0	
28		0	分析员			我也正奇怪呢，这几天都没看见我的大明星。	0	
29		6	芬妮咎冠			诶诶你怎么还倒打一耙！算啦算啦，本小姐不跟你计较这个。	0	
30		6	芬妮咎冠			喏，给你带的新恒提罗这边的小吃。	0	
31		6	芬妮咎冠			我说！你明天能不能陪我出去走走嘛？	0	
32		0	分析员			味道不错……嗯？	0	
33		6	芬妮咎冠			不拒绝就是答应了哦！明天下午新恒提罗台阶广场那边，到时候找偶像表演的队伍就行。	0	
34		6	芬妮咎冠			不来的人是大木头！	0	
35		0	分析员			……	0	
36		0	分析员			总之还是先到宽敞点的地方吧。	0	
37		0	？？？			哎哟哎哟！抱歉啊帅哥，撞到你了！	0	
38		6	望			哦呀？是分析员阁下！	0	
39		0	分析员			望？	0	
40		6	望			呼……终于挤出来了，没想到今天会来这么多人。	0	
41		6	望			不过这也说明这次的宣传效果超乎预料地好呢！	0	
42		0	分析员			你是过来参加宣传演出的吧，这样离开队伍没问题吗？	0	
43		6	望			见到新恒提罗的大英雄，不来打个招呼怎么行？	0	
44		6	望			嘿嘿……	0	
45		6	望			其实，向围观的市民介绍“心动派对”啦，随时停下来协助他们进行预约注册啦，也都在我的职责范围内。	0	
46		6	望			说起来分析员阁下也被吸引过来了呢！怎么样，要不要现在与我——	0	
47		2	芬妮咎冠			终于找到你了，分析员！	0	
48		1	狂猎			……	0	
49		3	茉莉安雨燕			分析员，没有等到你，但在表演队伍旁边碰见了里芙和芬妮，我们就一起行动了。	0	
50		3	茉莉安雨燕			这位升格体小姐是……	0	
51		6	望			我吗？我是新恒提罗本地人啦，作为职业偶像，负责这次“心动派对”的宣传工作。	0	
52		1	芬妮咎冠			有没有什么方法能直接参加这个“心动派对”嘛！预约啊，注册啊什么的，太麻烦了！	0	
53		3	茉莉安雨燕			嗯……在这个“心动派对”里真的提供了很多情侣间的约会场地，和约会项目吗？	0	
54		6	望			当然可以了，不仅如此哦，还有……哎呀，既然大家这么有兴趣，跟我来。	0	
55		4	望			喏，这里就是“心动派对”所在的虚拟社区啦。	0	
56		4	望			各种设施应有尽有，绝对是新恒提罗，不，是整个俱卢地区排第一的约会好去处！	0	
57		0	分析员			我们现在是将意识接入了此处？	0	
58		4	望			嗯哼~但所有的感受却是不打折扣的哦。	0	
59		4	望			沉浸于浪漫约会，尽享心动体验……	0	
60		4	望			“心动派对”正是基于这样的理念诞生的，是不是很棒？	0	
b-1	b-1	0					0	
61	b-1-1	0				真是令人遐想的心动之地。	0	
62	b-1-2	0				真是令人佩服的发展理念。	0	
63	b-1-3	0				真是令人惊讶的大胆尝试。	0	
64		4	望			就是这样！刚刚分析员阁下根据自己的想法完成了一个选择。让我看看……哇！帅气值加一！	0	
65		0	分析员			……好像并没有出现计分屏幕之类的东西。	0	
66		4	望			嘿嘿，我这是举个例子啦。在“心动派对”的世界里，人们可以凭意愿做出种种选择。	0	
67		4	望			而正是选择——决定着一切的发展。	0	
68		0	望			想和她一起体验冒险刺激的极限运动？	0	
69		0	望			想和她窝在家里看场浪漫的电影？	0	
70		0	望			还是想和她走遍这个世界，在每处都留下你们共同的足迹？	0	
71		0	望			总而言之~究竟在这里生活是怎样的感觉，还请分析员阁下和各位尽情去体验吧！	0	
72		2	狂猎			那么……分析员面前的第一个选择就是……	0	
73		3	茉莉安雨燕			我们之中……	0	
74		1	芬妮咎冠			你究竟要和谁约会嘛！	0	
