字符串索引	标记	立绘位置	说话人	实际说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	disable	Remark
1		0				难得的休息日，我却在宿舍写报告。	0	
2		0				前几天我临时根据现场情况修改了一下原定战术，因为避免了计划中的两场战斗，芙提雅回来的路上一直在夸我。	0	
4		0				但老实说，她夸得有点过了……一路上不停地说，导致我差点成了围观对象。	0	
5		0				报告整理好了，差不多该去办公室那边了。	0	
6		0	？？？	茉莉安	Play_Mo_girl005_doubt01_057	分析员？	0	
7		0				我转过头一看，茉莉安推着一个放着茶具的小推车站在旁边，好像有什么想说的样子。	0	
b-1	b-1	0					0	
8	b-1-1	0				嗯？有什么事吗？	0	
9		6	茉莉安	茉莉安		嗯，要喝点红茶吗？分析员来得有点晚，大家都已经开始了。	0	
10		0				晚了？我又漏看消息了吧。我看了下四周，确实，卡罗琳、芬妮、肴、芙提雅都在餐厅喝茶。不，除了肴，她一直在往嘴里塞那些精致的茶点……	0	
11		0				茉莉安朝我递过来一个茶杯。	0	
12		0				我看着这个精致的茶杯，有点不敢接，我曾经见过货架上类似的杯子，那价格比我一个月收入还多，要是不小心手滑……	0	
13		6	茉莉安	茉莉安		分析员？	0	
b-2	b-2	0					0	
14	b-2-1	0				诶？哦！不好意思，我有点走神了。	0	
15		6	茉莉安	茉莉安		是最近的任务太累了吗？正好喝茶放松一下~	0	
b-3	b-3	0					0	
16	b-3-1	0				谢谢，还特地给我们泡红茶。	0	
17		1	卡罗琳			不是特地哦~	0	
18		0				卡罗琳不知道从哪里冒出来了。	0	
19		0	卡罗琳			茉莉安经常给我们泡茶喝，虽然大家都不太爱喝。分析员你要喝记得多加糖，茉莉安配的糖不知道是什么牌子的，味道好淡。居然有我不知道的牌子……	0	
20		6	茉莉安	茉莉安		是我们家自己的甘蔗园做的哦，没有牌子的。	0	
b-4	b-4	0					0	
21	b-4-1	0				甘蔗园？	0	
22		6	茉莉安	茉莉安		诶？是不喜欢甘蔗吗？我还有甜菜做的糖，要试试吗？	0	
b-5	b-5	0					0	
23	b-5-1	0				不用了不用了，我不挑的。	0	
