字符串索引	标记	立绘位置	说话人	实际说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	disable	Remark
1		0				小狮子温情提示：	0	
2		0				为了获得更好的体验，游玩该个人故事前，推荐分析员优先观看《空都演绎》剧情。	0	
3		0				果然，还是无法释怀。	0	
4		0				纵使精心打扮，衣着华装也无法掩盖自己作为落败者的事实。	0	
5		0				……	0	
6		0				最可笑的是……自以为是地涂上了象征着“成长”的口红，但到头来也只是……	0	
7		0				也只是，笨拙地画着从容自信的假面罢了。	0	
8		0				而内心的空白，究竟该由何种色彩来填充……	0	
9		6	卡罗琳			欢迎回家，多亏了各位，新恒提罗的危机总算是告一段落了。	0	
10		6	茉莉安			托分析员的福，我们都平安无事。	0	
11		5	芬妮辉耀			嗯，再过两天等他回来了，可要好好办个庆功宴~	0	
12		0				情报官嘴角挂上了一抹无奈，她似乎有什么难言之隐。	0	
13		6	卡罗琳			分析员的话……可能还要再晚几天才能回来。	0	
14		6	里芙无限之视			……	0	
15		4	茉莉安			再晚几天？	0	
16		5	芬妮辉耀			卡罗琳，这是什么意思……	0	
17		6	卡罗琳			实际上，他向公司提交了一份新的作战计划，而这次行动的时间暂定为……	0	
18		6	卡罗琳			至少两周。	0	
19		4	茉莉安			什么？！	0	
20		5	芬妮辉耀			他又要将自己置身于危险当中了吗？	0	
21		0	芬妮辉耀			（明明我还能战斗，还能继续站在他身边……但为什么……每次都这样。）	0	
22		0				伴随着逐渐颤抖的语调，芬妮紧握的拳头发出悲鸣，而回应她的，只有一声叹息。	0	
23		6	卡罗琳			……很抱歉，现在的我也只能这么回答。	0	
24		6	卡罗琳			保持微笑，以最积极的态度迎接你们回来，就是他向我下达的唯一指令……	0	
25		0				卡罗琳撇过头去，腰间响起了急促的滴滴声。	0	
26		4	里芙无限之视			通讯终端响了，卡罗琳。	0	
27		5	卡罗琳			哎？是分析员！	0	
28		0	分析员			真巧，大家都在吗？	0	
29		0	分析员			看到你们平安回来，我暂时也能松一口气了。	0	
30		6	芬妮辉耀			暂时松一口气？那是什么意思……你不是还在新恒提罗吗？	0	
31		0	分析员			嗯，但是我想这件事应该不会结束得那么快……总之，让你们先回来的理由有二。	0	
32		0	分析员			一是和真神者接触后，不确定的因素太多了，我需要大家先回公司接受最顶尖的检查和调养。	0	
33		6	芬妮辉耀			……	0	
34		0				“等等，明明是你的安全更重要吧？！”女孩本想出声打断，但还是努力抑制住了。	0	
35		0				因为只有弄清楚了才能知道之前发生的那一切，你正害怕着的那一切……到底是不是真的。	0	
36		0	芬妮辉耀			（她曾经这么说过，那个总是跑在我前面的里芙……曾经这么说过。）	0	
37		0	芬妮辉耀			（没错，我已经变强了……我应该对自己……对他更有信心一些。）	0	
38		0	芬妮辉耀			（所以现在……一定要沉住气。）	0	
39		0	分析员			亲眼见识过那样的光景后，我就下定决心，绝对不会让你们遭受同样的痛苦。	0	
40		6	金雅妍			……女神率领子嗣，来到愚者的殿堂，与他们理论究竟谁该受到万民的顶礼膜拜。	0	
41		6	金雅妍			愚者们武断地认为女神来意不善……他们的领袖率先将长矛掷向女神，以示宣战。	0	
42		6	金雅妍			用长矛捅刺，用烈火焚烧……愚者以愚行消磨着女神的耐心……	0	
43		0	？？？			然后，招来了饱含女神愠怒的……我！	0	
44		0	？？？			我是“真神者”，我是……初诞的沃坦！	0	
45		0				回想起当初的画面，众人都倒吸了口凉气。	0	
46		0	分析员			二是零区那边现在战力空缺，我需要有你们回来坐镇。董事会……不，罗赞的爪牙一直都在盯着我们的弱处。	0	
47		4	里芙无限之视			原来如此，这就是你的考量吗？但是……	0	
48		5	芬妮辉耀			为什么，要向我们隐瞒那个需要两周时间的作战计划呢？	0	
49		0	分析员			因为不那么说的话，你们是绝对不会回公司的吧……	0	
50		0	分析员			总之抱歉，擅自做出这样的决定，是我的不对。	0	
51		6	芬妮辉耀			就算你这么说……我们也都回来了，只有凯茜娅在你身边，她一个人真可以……	0	
52		6	里芙无限之视			playername留在那的底牌，应该不止一张吧。	0	
b-1	b-1	0					0	
53	b-1-1	0				看向里芙，点点头	0	
54		6	芬妮辉耀			哎？	0	
55		0				和芬妮不同，她似乎很快就看透了男人心中的打算。	0	
56		0	芬妮辉耀			（是啊，我明明已经变强了……但为什么……）	0	
57		0	芬妮辉耀			（为什么还是会在他面前，落后她一步……）	0	
58		6	里芙无限之视			果然，playername还是一如既往地心思缜密。	0	
59		0	芬妮辉耀			（啧……）	0	
60		6	里芙无限之视			你安心展开计划，零区这边就交给我们来镇守好了。	0	
61		0	分析员			嗯，但是当下你们刚刚回来，还是好好休息一下吧。	0	
62		0	芬妮辉耀			……为什么，playername能说出这样的话？	0	
63		0				压抑许久的情感化作语言，从咬紧的牙缝中挤出。	0	
64		0	芬妮辉耀			你又不在身边……我，我们怎么可能好好休息？！	0	
65		0	卡罗琳			芬……妮？	0	
66		0				大厅静得出奇，众人面面相觑。	0	
67		6	芬妮辉耀			……	0	
68		6	芬妮辉耀			对不起，我可能有点失控了……	0	
69		6	芬妮辉耀			我想我确实需要好好休息一下，晚上再见……	0	
b-2	b-2	0					0	
71	b-2-1	0				芬妮，谢谢你为我操心。	0	
72		6	芬妮辉耀			……	0	
73		6	芬妮辉耀			笨蛋……真是个笨蛋，playername。	0	
74		0				少女停下脚步，她的肩膀不断起伏，我看不见她的表情，只能听见无比别扭的笑。	0	
76		0				转过身来，少女眼角微红。借着那一句短短的感谢，她努力拾起早已零碎的情绪。	0	
77		6	芬妮辉耀			你不会是以为本小姐吃醋了吧，才没有哦。	0	
78		6	卡罗琳			芬妮——	0	
79		0				芬妮上前，一把夺过卡罗琳手中的通讯终端，深深地吸了一口气。	0	
80		6	芬妮辉耀			总之，别为我的事操心啦，我没事的。	0	
81		0	芬妮辉耀			倒是你，你自己在新恒提罗一定要多加注意安全。	0	
82		0				少女的语速很快，像是在逃避什么一样。	0	
83		6	芬妮辉耀			如果有什么需要的……记得……记得随时联系本小姐，我会一直守着终端的。	0	
84		0				语毕，没等对面的人回复，“高傲”的黄金狮子便挂断了通讯。	0	
