	标记	立绘位置	说话人	实际说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	disable	Remark
1		6	芬妮辉耀			别碍事……都别碍事……	0	
2		0				从走廊两侧涌出的敌人越来越多，一边要追赶着白光一边又要应付他们，就算是芬妮这样的天启者也难以为继。	0	
3		0				最终，在换弹的间隙。	0	
4		6	芬妮辉耀			嘶啊——	0	
5		0				被击中了肩膀，芬妮一个踉跄摔倒在地，但是那些幻影却并没有围拢上来，只是挡在她面前静静地看着她——就像一堵黑色的墙一般，将她与前方的白光隔开。	0	
6		6	芬妮辉耀			又想来嘲笑我吗……	0	
7		0	芬妮辉耀			芬妮用枪托住身体从地上站了起来，将枪换到左手，对准了其中一个幻影。	0	
8		0				伴随一阵连续的枪响，面前的黑墙顷刻倒塌，但是开枪的人并非是芬妮——	0	
9		6	芬妮辉耀			辰星？为什么你会在这里？！	0	
10		5	辰星幻影			此刻不是闲聊的时候。	0	
11		5	辰星幻影			先行一步。	0	
12		6	芬妮辉耀			喂？！	0	
13		0				白发少女没有回答芬妮的问题，只是留下了向前而去的背影。	0	
14		0				芬妮发出了一声苦笑。	0	
15		6	芬妮辉耀			哼，原来如此，你的目标也是他啊……是啊，现在不是闲聊的时候了……	0	
16		0				芬妮扯下自己的裙摆，包扎好受伤的右手，再次迈开步伐，追逐起那一抹远去的绿色。	0	
17		0				但是……	0	
18		6	晴藏锋			借过，playername在等着我。	0	
19		0	芬妮辉耀			哎？	0	
20		0				又一人，从身后超过了她。	0	
21		0	芬妮辉耀			又来了一个……	0	
22		0				咬紧牙关，忍着剧痛开始提速。	0	
23		6	猫汐尔溯影			先行一步喵。	0	
24		6	恩雅羽蜕			为了不辜负他，一定要赢下来。	0	
25		6	苔丝			老师……就在前面！	0	
26		0	芬妮辉耀		Play_Mo_girl008_endure01_062	再快点，绝对不能被她们超过……	0	
27		6	凯茜娅			追了那么久，总算可以再见到他了。	0	
28		6	伊切尔			大英雄，不许跑！	0	
29		0	芬妮辉耀			为什么……越来越多了……	0	
30		6	琴诺悖谬			我不会放手的，绝对不会！	0	
31		6	莫尔索悖谬			我会用自己的方式，去往他所在的地方！	0	
32		6	瑟瑞斯瞬刻			就算是忘记一切，我也不会忘记playername！	0	
33		0	芬妮辉耀			再快点，拜托了，再快点啊，芬妮！！	0	
34		0				面前的人越来越多，渐渐遮住了她的视线，最后……	0	
35		6	里芙无限之视			你要放弃了吗？就像之前一样，要将胜利让给我吗？	0	
36		6				那个女人，从身边滑过。	0	
37		6	芬妮辉耀			让给你？好……胜利什么的，如果你想要的话，就尽管拿走吧。	0	
38		6	芬妮辉耀			但唯独……唯独playername……	0	
39		6	芬妮辉耀		Play_Mo_girl008_power01_074	我不想让给你，不想让给任何人啊！！！	0	
40		0				少女嘶吼着，像是一头被激怒的狮子般冲向面前的里芙。	0	
41		0				但是……依旧无济于事。	0	
42		0				满身伤痕瞬间崩裂——	0	
43		0				是啊，一路追来，自己的眼中全是同伴们的背影，从而忽略那些从四面八方袭来的敌人……	0	
44		0	芬妮辉耀			前面的路……已经看不到了……	0	
45		0				眼前一片黑暗，耳中也只能听到砰砰的心跳声与愈来愈慢的脚步声。	0	
46		0				最终，不知道是被什么东西绊倒，她的身体向前一倾——	0	
47		0	芬妮辉耀			哎？！	0	
48		0				原本以为会像之前那样重重地摔倒在地，但是这一次——	0	
49		0	分析员			我来背你吧。	0	
50		0				却被那股期待许久的力量托住了。	0	
51		0				深吸一口气，城市被灼烧的味道以及分析员身上独特的气味混杂在了一起。	0	
52		0				自己，一定是又跌入了新的梦境……不，应该说是回忆了吧。	0	
53		0				记忆中，他将浑身是伤的自己从瓦砾中挖出，背着带离了火场。	0	
54		0	芬妮			梦中之梦……我陷得还真是深……	0	
55		0	分析员			你说什么？	0	
56		6	芬妮			没什么，当我是胡言乱语好了……	0	
57		0				女孩将头深深地埋下，哪怕知道是虚假的幻梦，她也不想错过这片刻的温存。	0	
58		0	分析员			要不还是找点话题聊吧，这样才能确保你的意识是清醒的。	0	
59		6	芬妮			随便你，话题什么的，你来定就好……	0	
60		0	分析员			那就来聊聊事故发生前的那场比赛。	0	
61		6	芬妮			那有什么好聊的，无非是我又输了一次罢了……	0	
62		6	芬妮			可以说是这场意外中最不意外的部分了。	0	
63		0	分析员			我想也是，毕竟对手是里芙。	0	
64		6	芬妮			你这家伙，都不懂关照下本小姐现在的心情吗……	0	
65		0	分析员			但是，芬妮，你应该还没有放弃想要获胜的决心吧？	0	
66		6	芬妮			为什么这样说？	0	
67		0	分析员			芬妮每一场比赛我都有认真看过。你针对里芙战术每次都会不一样，这应该不是为作秀吧？	0	
68		6	芬妮			切……被你这个笨蛋发现了啊。	0	
69		6	芬妮			但是那又如何，最后还是打不过她，那个家伙的眼睛好像能洞穿一切，无论我怎么改变都能被看穿……	0	
70		0	分析员			洞穿一切的眼睛吗？但有没有可能，战斗中，她只能看到一样事物。	0	
71		6	芬妮			是对手的小动作吗……不，是指她善于利用环境吗？	0	
72		0	分析员			都不是。	0	
73		0	分析员			芬妮，你闭上眼睛。	0	
74		6	芬妮			你……你想做什么？	0	
75		0	分析员			放心我不会做奇怪的事，再说就算是我想做，现在这个状况，完全不用让你闭上眼睛吧。	0	
76		6	芬妮			嗯……	0	
77		0				少女乖巧地闭上了双眼，随后静静等待了片刻。	0	
78		6	芬妮		Play_Mo_girl008_down01_070	我闭上了，然后呢？	0	
79		0	分析员			试着回想一下，当你面向赛场时，你最想得到的是什么？	0	
80		6	芬妮			是胜利吧，我只是想要赢过里芙而已……	0	
