字符串索引	标记	立绘位置	说话人	实际说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	disable	Remark
1		0				就算是突然的“作战计划”也难不倒本小姐。	0	3.2版本芬妮个人故事
2		0				只要……放轻松，别在意那些小小意外。	0	3.2版本芬妮个人故事
3		0				“芬妮不论哪种样子都很美。”	0	3.2版本芬妮个人故事
4		0				这可是达令说的！	0	3.2版本芬妮个人故事
5		0				这就说明，在他眼中这依然是一次成功的约会，对吧？	0	3.2版本芬妮个人故事
6		0				——《关于达令的“作战计划”》，第XXX页。	0	3.2版本芬妮个人故事
7		9	芬妮澄意			达令，我在这里——	0	3.2版本芬妮个人故事
8		0				场馆的穹顶滤去了多余的日光，只剩柔和的光斑在地上缓缓移动。	0	3.2版本芬妮个人故事
9		0				迷宫旁的指示灯闪烁不停，芬妮的身影出现在出口，朝我奔跑过来。	0	3.2版本芬妮个人故事
10		0				花廊小憩之后，在芬妮的坚持下，我们依然还是顺着某个计划继续游览。	0	3.2版本芬妮个人故事
11		0				也好，我也不舍得她用心制定的计划全都白白浪费掉。	0	3.2版本芬妮个人故事
12		0				更何况芬妮收集的资料丰富，除了之前碰上闭馆的小插曲之外，多数都非常实用。	0	3.2版本芬妮个人故事
13		0				比如现在我们所在的交互游戏场馆，就是基于可与人交互的特殊植株而设计的体验区域。	0	3.2版本芬妮个人故事
14		0				看得出来，芬妮在这里玩得很开心。	0	3.2版本芬妮个人故事
15		6	芬妮澄意			达令，我刚才表现得怎么样？	0	3.2版本芬妮个人故事
16		0	分析员无帽			很帅气，很有黄金狮子的王者风范。	0	3.2版本芬妮个人故事
17		6	芬妮澄意			哈哈哈，真的吗？	0	3.2版本芬妮个人故事
18		0				芬妮模仿我俩常用的表情包，鼓起脸蛋，做出一个“小狮子叉腰”的动作。	0	3.2版本芬妮个人故事
19		0				太可爱了，以至于我立刻就掏出相机拍下了这一幕。	0	3.2版本芬妮个人故事
20		6	芬妮澄意			好啦，达令又偷偷拍我。	0	3.2版本芬妮个人故事
21		0	分析员无帽			我这是光明正大地拍，嗯……拍得不错，以后就用这张照片代替表情包了。	0	3.2版本芬妮个人故事
22		6	芬妮澄意			哎？不许不许！	0	3.2版本芬妮个人故事
23		0	分析员无帽			难道芬妮不想让我时时刻刻都可以看到这么可爱的你？	0	3.2版本芬妮个人故事
24		6	芬妮澄意			那……给我看看，我要检查一下达令有没有把我拍得超级好看。	0	3.2版本芬妮个人故事
25		0				我从善如流奉上相机，并贴心地调整到回看历史影像模式。	0	3.2版本芬妮个人故事
26		9	芬妮澄意			噗！哈哈……	0	3.2版本芬妮个人故事
27		0				芬妮接过相机的第一眼就忍不住笑出声。	0	3.2版本芬妮个人故事
28		6	芬妮澄意			哼~本小姐的脸蛋可比照片里这个小包子脸漂亮多了。	0	3.2版本芬妮个人故事
29		0	分析员无帽			都好看。	0	3.2版本芬妮个人故事
30		0				我轻轻捏了捏芬妮不知不觉又气鼓鼓的“小包子脸”。	0	3.2版本芬妮个人故事
31		6	芬妮澄意			讨厌啦~达令你又开始笑，不许笑我哦！	0	3.2版本芬妮个人故事
32		0	分析员无帽			我只是觉得，这么可爱的芬妮，不多用一用看一看，实在是太可惜了。	0	3.2版本芬妮个人故事
33		6	芬妮澄意			那好吧……如果你真的喜欢的话，本小姐就不计较这些了~	0	3.2版本芬妮个人故事
34		0				芬妮抿了抿嘴表示妥协，我却看到她的嘴角其实已经翘了起来。	0	3.2版本芬妮个人故事
35		0				大概是因为待机，相机屏幕的一角闪过几个数字，那是今日已拍摄的照片数量。	0	3.2版本芬妮个人故事
36		6	芬妮澄意			哇，被我发现了哦~原来达令已经在我不注意的时候拍下了这么多照片。	0	3.2版本芬妮个人故事
37		6	芬妮澄意			让我看看达令都拍了什么。	0	3.2版本芬妮个人故事
38		0				手指轻点，相机屏幕随之变换。	0	3.2版本芬妮个人故事
39		9	芬妮澄意			原来这里……这是我们去的第一个场馆吧？有很多鲜花的那里！	0	3.2版本芬妮个人故事
40		9	芬妮澄意			当时我在闭着眼睛闻花香，想不到这一幕被达令抓拍到了。	0	3.2版本芬妮个人故事
41		9	芬妮澄意			啊！这一张……是我牵着达令的手往前走的时候。	0	3.2版本芬妮个人故事
42		9	芬妮澄意			你看，这张照片的最前面就是我和达令紧紧牵着的手，好浪漫！我喜欢！	0	3.2版本芬妮个人故事
43		9	芬妮澄意			哦！这一张的光影和构图真棒，我一直不知道达令在摄影方面也这样擅长……	0	3.2版本芬妮个人故事
44		0				边走边看，不知不觉我和芬妮已经走出了场馆，回到了场馆之间的室外花园。	0	3.2版本芬妮个人故事
45		6	芬妮澄意			没想到达令会带相机过来，不然我肯定再多提前收集一些拍照好看的地方。	0	3.2版本芬妮个人故事
46		0				说着，芬妮把相机还给我，语气有一点遗憾。	0	3.2版本芬妮个人故事
47		0	分析员无帽			出门前刚好看到就带上了，我也没想到不知不觉一路就拍了这么多。	0	3.2版本芬妮个人故事
48		6	芬妮澄意			哼哼，想不到吧，即便是这样本小姐我也有应对的计划哦。	0	3.2版本芬妮个人故事
49		6	芬妮澄意			达令稍等，我记得有一个计划里总结了专门的摄影打卡路线……	0	3.2版本芬妮个人故事
50		0	分析员无帽			找不到的话，不如试试随便翻一页？	0	3.2版本芬妮个人故事
51		0				正这样说着，手背上感受到一点湿润。	0	3.2版本芬妮个人故事
52		0	分析员无帽			好像下雨了。	0	3.2版本芬妮个人故事
53		9	芬妮澄意			嗯？	0	3.2版本芬妮个人故事
54		0				芬妮下意识抬头看天，正好被一滴雨砸中脑门。	0	3.2版本芬妮个人故事
55		6	芬妮澄意			哎呀！怎么下雨了！	0	3.2版本芬妮个人故事
56		0				芬妮呆了一瞬，才反应过来，神情却有些难过。	0	3.2版本芬妮个人故事
57		6	芬妮澄意			达令，我们……我们快找个地方躲雨吧。	0	3.2版本芬妮个人故事
58		0				刚才还风和日丽的天气，只过了几秒钟雨滴便密集地落下来，转瞬又演变成倾盆大雨。	0	3.2版本芬妮个人故事
59		0				我将芬妮圈在怀里护住，环顾着四周可以暂时避雨的地方。	0	3.2版本芬妮个人故事
60		0				脸颊上方却突然有一块区域，香甜温暖的气息取代了清冷的雨滴。	0	3.2版本芬妮个人故事
61		0				是芬妮从我怀中伸出手来，努力地举高试图帮我遮雨。	0	3.2版本芬妮个人故事
62		0				我低头看她的时候，她还仰起脸来冲我笑了笑。	0	3.2版本芬妮个人故事
63		0				不再停留，我护着怀里的芬妮，向离我们最近的一处场馆走去。	0	3.2版本芬妮个人故事
64		0				离花园不远的地方，有一个较为隐蔽的展览馆，姑且可以避雨。	0	3.2版本芬妮个人故事
65		0				一大块乌云飘来，外面的雨势愈发不可收拾。	0	3.2版本芬妮个人故事
66		0				但此刻只有我和芬妮两个人，暴雨反而显得这方天地格外安全。	0	3.2版本芬妮个人故事
67		0				反观芬妮，从下雨开始就一直苦着脸，像是随时要哭出来一样。	0	3.2版本芬妮个人故事
68		6	芬妮澄意			明明查过气象预测的……一点都不准，真是讨厌死了！	0	3.2版本芬妮个人故事
b-1	b-1	0					0	3.2版本芬妮个人故事
69	b-1-1	0				将芬妮揽进怀里。	0	3.2版本芬妮个人故事
70		0	分析员无帽			怎么，我的小狮子没准备应对下雨天的计划N？	0	3.2版本芬妮个人故事
71		6	芬妮澄意			……谁知道会突然下雨嘛！	0	3.2版本芬妮个人故事
72		0	分析员无帽			那就现在加上好了，你的小本本呢，拿出来，我说你写。	0	3.2版本芬妮个人故事
73		0	分析员无帽			“计划N，遇到暴雨，playername和芬妮亲亲热热地搂在一起躲雨，就这样度过剩下的一整天。”	0	3.2版本芬妮个人故事
74		6	芬妮澄意			噗……躲雨一整天，那约会的时间多浪费啊。	0	3.2版本芬妮个人故事
75		0	分析员无帽			那你继续写——芬妮想更亲热一些，所以两人还可以干点别的。	0	3.2版本芬妮个人故事
76		6	芬妮澄意			哈哈，达令你真是坏死了。	0	3.2版本芬妮个人故事
77		0				芬妮攥起拳头佯装要扑倒我的样子，实际上粉拳只是轻轻落在我胸口。	0	3.2版本芬妮个人故事
78		6	芬妮澄意			哎，还是淋湿了一点……	0	3.2版本芬妮个人故事
79		0				芬妮轻轻摸着我有些湿润的发尖，既是自责自己准备不周，也是在心疼我淋了雨。	0	3.2版本芬妮个人故事
80		0				不过芬妮也没有好到哪里去，被打湿的金色长发软软贴在肩头，脸上的绒毛也沾着细密的水珠。	0	3.2版本芬妮个人故事
81		0				但水汽氤氲，衬得芬妮本就漂亮的眼眸更加灵动。	0	3.2版本芬妮个人故事
82		6	芬妮澄意			啊……我是不是也被淋湿了好多，达令不要看我。	0	3.2版本芬妮个人故事
83		6	芬妮澄意			都怪这场雨啦！一点预兆都没有，来得这么突然。	0	3.2版本芬妮个人故事
84		0	分析员无帽			没关系，夏天就是这样的，约会也是这样的。	0	3.2版本芬妮个人故事
85		0	分析员无帽			会有一些小意外，但总的来说，还是开心的。	0	3.2版本芬妮个人故事
86		6	芬妮澄意			真的？达令真的觉得到现在为止，今天的约会也很开心？	0	3.2版本芬妮个人故事
87		0	分析员无帽			当然，因为和我约会的是芬妮啊。	0	3.2版本芬妮个人故事
88		0				我伸出手，帮芬妮整理好额前的碎发，顺便安抚地顺顺毛。	0	3.2版本芬妮个人故事
89		0				然后，这双眼睛便更清晰地映出了她对面的我。	0	3.2版本芬妮个人故事
90		0	分析员无帽			再说了，芬妮不论哪种样子都很美。	0	3.2版本芬妮个人故事
91		0				我和芬妮看着对方，尽管淋湿了的两人略显局促，却又忍不住一起笑起来。	0	3.2版本芬妮个人故事
92		0				金黄色的眼眸闪过一丝狡黠。	0	3.2版本芬妮个人故事
93		0				随即芬妮踮起脚，嘴唇上又传来熟悉的触感，我也将这份温柔更紧地拥揽入怀。	0	3.2版本芬妮个人故事
94		6	芬妮澄意			嘿嘿……咳咳，达令总是这么会说甜言蜜语，我才没那么好哄呢~	0	3.2版本芬妮个人故事
