字符串索引	标记	立绘位置	说话人	实际说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	disable	Remark
1		0				16区的故事，已经结束了。	0	2.6版本恩雅澜风个人故事
3		0				我下意识伸手，揽向身边的温软，结果发现揽进怀里的是一个带着香味的枕头。	0	2.6版本恩雅澜风个人故事
4		0	分析员战斗			恩雅。	0	2.6版本恩雅澜风个人故事
5		0				我立马坐直身子，可随后躁动的心就稳稳落回了胸口。	0	2.6版本恩雅澜风个人故事
6		0				紫发的少女就坐在床边，笑脸吟吟地望着我。她的眸光里载满如水的柔情。	0	2.6版本恩雅澜风个人故事
7		6	恩雅澜风			我的分析员，你醒来了啊~	0	2.6版本恩雅澜风个人故事
9		0	分析员战斗			你什么时候醒来的。	0	2.6版本恩雅澜风个人故事
10		0				我低头，下巴蹭着她比绸缎还要光滑柔软的头发，手掌触碰她的脸颊。	0	2.6版本恩雅澜风个人故事
11		6	恩雅澜风			哎呀呀，是什么时候呢？	0	2.6版本恩雅澜风个人故事
12		0				她笑眯眯抓住我的手，轻轻蹭着我的手心。	0	2.6版本恩雅澜风个人故事
13		0	分析员战斗			睡得不舒服吗？	0	2.6版本恩雅澜风个人故事
14		6	恩雅澜风			当然不是。	0	2.6版本恩雅澜风个人故事
17		6	恩雅澜风			总之，分析员不用担心我。	0	2.6版本恩雅澜风个人故事
18		6	恩雅澜风			我会忽然醒来，只是因为我做了一个梦。	0	2.6版本恩雅澜风个人故事
19		0	分析员战斗			什么样的梦？	0	2.6版本恩雅澜风个人故事
20		6	恩雅澜风			是幸福的梦。	0	2.6版本恩雅澜风个人故事
21		6	恩雅澜风			光是想到就难以遏制自己，想要更多的奖励分析员。	0	2.6版本恩雅澜风个人故事
23		6	恩雅澜风			不过……	0	2.6版本恩雅澜风个人故事
24		0				她说到一半，忽然在我的怀里直起身子，看着我，温柔的脸上一点点露出促狭之色，然后抬起带着香气的手指，在我的鼻尖轻轻点了点。	0	2.6版本恩雅澜风个人故事
25		6	恩雅澜风			分析员要照顾的可不只有姐姐我呀。	0	2.6版本恩雅澜风个人故事
26		0				我能听出恩雅语气里没有任何的醋意，只有满满的宠溺。	0	2.6版本恩雅澜风个人故事
27		0				而她这份无微不至的柔情，也让我的心中升起无限的怜惜与爱惜。	0	2.6版本恩雅澜风个人故事
28		0	分析员战斗			我觉得，我对恩雅的照顾还不够。	0	2.6版本恩雅澜风个人故事
29		0				我重新将她揽入怀中。	0	2.6版本恩雅澜风个人故事
30		6	恩雅澜风			唔嗯~不对哦，分析员太过纵容我的话，姐姐可是会变得很贪心的。分析员给我的爱有现在这种程度，姐姐已经心满意足了。	0	2.6版本恩雅澜风个人故事
31		0				她微笑着摇头，随后从床上起身。而在起身之前，她还不忘给我一个深吻。	0	2.6版本恩雅澜风个人故事
32		6	恩雅澜风			这个……算是正式的早安问候。	0	2.6版本恩雅澜风个人故事
33		6	恩雅澜风			接下来，你该起床啦，早餐已经做好了。	0	2.6版本恩雅澜风个人故事
34		0				听到这句话，我才恍然所觉。	0	2.6版本恩雅澜风个人故事
35		0				房间里除了恩雅身上的幽香外，还藏着一股让人食指大动的香气。	0	2.6版本恩雅澜风个人故事
36		0				我不由自主看向恩雅。此时少女忽然痴痴一笑，伸手戳了戳我的额头。	0	2.6版本恩雅澜风个人故事
37		6	恩雅澜风			现在是早餐时间~	0	2.6版本恩雅澜风个人故事
46		0				餐桌旁，我嗅着香味，大口地吃着恩雅准备的爱心早餐。	0	2.6版本恩雅澜风个人故事
47		0				满满的一大桌，光是看着就能想到恩雅花了多少心思准备。	0	2.6版本恩雅澜风个人故事
48		6	恩雅澜风			分析员，别急呀，还有很多哦，都是给你准备的。	0	2.6版本恩雅澜风个人故事
49		0				我咽下口中的食物，看向恩雅。她坐在我的身边，笑眯眯撑着下巴盯着我看。	0	2.6版本恩雅澜风个人故事
50		0	分析员战斗			你不吃吗？	0	2.6版本恩雅澜风个人故事
51		6	恩雅澜风			对我而言，比起吃东西，看着分析员吃我亲手做的东西，我会更容易感到满足。	0	2.6版本恩雅澜风个人故事
52		6	恩雅澜风			所以~不用担心我的，分析员。	0	2.6版本恩雅澜风个人故事
53		0				她笑着，脸上带着温柔的笑意，手指轻轻按在我的唇上，替我抹去了嘴边的油渍。	0	2.6版本恩雅澜风个人故事
54		0	分析员战斗			我们的角色是不是应该对调一下。	0	2.6版本恩雅澜风个人故事
55		6	恩雅澜风			只要你喜欢，当然可以。	0	2.6版本恩雅澜风个人故事
56		0				恩雅端起我的牛奶喝了一口，还故意让唇边留下了奶渍，然后在我眼前仰起小脸。	0	2.6版本恩雅澜风个人故事
57		0				这种备至的“宠溺”，让我的心中莫名窜过一种像是电流般酥麻的感受。不过啊……	0	2.6版本恩雅澜风个人故事
58		0	分析员战斗			这角色不是完全没有调过来吗。	0	2.6版本恩雅澜风个人故事
59		0				我无奈说着，伸手擦过她的嘴角，而在我的手指拂过她的嘴唇之时，恩雅忽然张开嘴，连着我的手指一起吞下去。	0	2.6版本恩雅澜风个人故事
59_1		9	恩雅澜风			嘿嘿，抱歉啊分析员，我是不是太贪心了呢？	0	
auto_59_1		0	分析员战斗			贪心？	0	
60		0				还没等我反应过来，她就吐出了我的手指，故作镇静，好似刚才什么都没发生一样，接过我的刀叉，替我切起了一块煎到恰到好处的肉排。	0	2.6版本恩雅澜风个人故事
61		6	恩雅澜风			分析员来尝尝这个吧。	0	2.6版本恩雅澜风个人故事
62		0				她看似毫不慌乱，可我能从她眉眼间看出一些依稀的仓促……以及想要遮掩的情绪。她像是在压制着某种冲动。	0	2.6版本恩雅澜风个人故事
63		0				我忽然想明白了一件事。	0	2.6版本恩雅澜风个人故事
64		0				想明白了她在克制着什么——	0	2.6版本恩雅澜风个人故事
65		0				也猜到了她为什么要克制。	0	2.6版本恩雅澜风个人故事
66		0				因为她是恩雅。	0	2.6版本恩雅澜风个人故事
67		0				这是独属于她的，温柔，包容的爱。	0	2.6版本恩雅澜风个人故事
68		0	分析员战斗			恩雅。	0	2.6版本恩雅澜风个人故事
69		6	恩雅澜风			分析员，还有什么需要吗？	0	2.6版本恩雅澜风个人故事
70		0	分析员战斗			我想加餐。	0	2.6版本恩雅澜风个人故事
71		6	恩雅澜风			……	0	2.6版本恩雅澜风个人故事
74		0	分析员战斗			偶尔，也可以不用考虑那么多的。	0	2.6版本恩雅澜风个人故事
75		6	恩雅澜风			原来如此……分析员看出来了啊。	0	2.6版本恩雅澜风个人故事
