字符串索引	标记	立绘位置	说话人	实际说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	disable	Remark
1		0				从耶洛沙回来后，米德加尔特，初冬。	0	3.4卜卜灵鉴个人故事
2		6	卜卜灵鉴			分析员——我在这里呢！	0	3.4卜卜灵鉴个人故事
3		0				与耶洛沙不同，米德加尔特的冬天来得迟缓而温柔。	0	3.4卜卜灵鉴个人故事
4		0				地上的落叶大多已经干枯，卜卜奔跑着踩过，脚下便响起一片沙沙声。	0	3.4卜卜灵鉴个人故事
5		6	卜卜灵鉴			分析员你看！我找到了什么。	0	3.4卜卜灵鉴个人故事
6		0				穿过微凉的空气，卜卜向着我跑来，站定，神秘兮兮地摊开手掌。	0	3.4卜卜灵鉴个人故事
7		0				一枚精致小巧的松果躺在她的掌心。	0	3.4卜卜灵鉴个人故事
8		0	分析员无帽			很漂亮，真不容易呢，卜卜还能找到这个。	0	3.4卜卜灵鉴个人故事
9		6	卜卜灵鉴			哼哼~卜卜可是采山货的高手哦。	0	3.4卜卜灵鉴个人故事
10		6	卜卜灵鉴			好些果实和草药只是被盖在了落叶下面，想仔细找找的话还是有不少的！	0	3.4卜卜灵鉴个人故事
11		6	卜卜灵鉴			对了，还有水边也是。寒冷的季节里，靠水的地方往往会格外温暖呢。	0	3.4卜卜灵鉴个人故事
12		0				卜卜的鼻尖微微泛红，像被山林的凉意轻点了一笔。	0	3.4卜卜灵鉴个人故事
13		0				她循着方位，走进山林深处，拨开有些稀疏的枝干，一方湖泊展现在我们眼前。	0	3.4卜卜灵鉴个人故事
14		0	卜卜灵鉴			咦，我们是不是来过……啊~原来是这里！	0	3.4卜卜灵鉴个人故事
15		0				卜卜兴奋地跑到湖边，湖中倒映出少女的面孔。	0	3.4卜卜灵鉴个人故事
16		6	卜卜灵鉴			playername还记得这里吗？	0	3.4卜卜灵鉴个人故事
17		6	卜卜灵鉴			只是过去了一个秋天，这里的景象却已经很不相同了呢。	0	3.4卜卜灵鉴个人故事
18		0				与上次和卜卜一起见到的景象相比，枝叶不过稍见舒朗，水色也只是空明几分。	0	3.4卜卜灵鉴个人故事
19		0				最为触动人心的不同，对我来说，其实只有水边那个更从容的少女而已。	0	3.4卜卜灵鉴个人故事
20		0				三个月前，初秋。	0	3.4卜卜灵鉴个人故事
20_1		0				世界树公司研发部。	0	
21		6	研发部代表			报告分析员，“丧钟”基本功能开发完毕。	0	3.4卜卜灵鉴个人故事
22		6	研发部代表			与之同步开发的，卜卜队员的战术套装“灵鉴”，也只剩下拓展模块部分的设计了。	0	3.4卜卜灵鉴个人故事
23		6	研发部代表			根据我们会议上的讨论，拓展模块既需要符合整体作战中的功能定位，也需要让卜卜队员用起来得心应手。	0	3.4卜卜灵鉴个人故事
