字符串索引	标记	立绘位置	说话人	实际说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	disable	Remark
1		0				有关那个地方，我的记忆已经相当模糊。	0	3.3米娅个人故事
2		0				直到抓着米娅的手，冲破天穹，直抵宇宙之中时，我才松了口气。	0	3.3米娅个人故事
3		0				远处，完全由金属铸成的移动城堡正静静地环绕着蔚蓝色的星球运动，一如既往。	0	3.3米娅个人故事
4		9	米娅星彩			那就是……槲寄生空间站。	0	3.3米娅个人故事
5		0				得益于包裹着我们的泰坦物质中的空气，我和米娅能够正常呼吸，也能听到彼此的声音，甚至连她逐渐加快的呼吸和心跳声都清晰可闻。	0	3.3米娅个人故事
6		0				果然，只要是我去过的地方，都能在这个世界中投影出来。	0	3.3米娅个人故事
7		0				而在这之中，自然也包括槲寄生空间站。	0	3.3米娅个人故事
8		0				在某个瞬间，有关自己如何进入槲寄生空间站的记忆几乎从脑中喷涌出来。	0	3.3米娅个人故事
9		0				但下一刻，这些记忆便被一双无形的手所阻拦撕碎，让我无迹可寻。	0	3.3米娅个人故事
10		0	分析员无帽			……	0	3.3米娅个人故事
11		0				深呼吸数次后，我强迫自己冷静下来。	0	3.3米娅个人故事
12		0				米娅显然看出了我的异样，但她并不清楚我与槲寄生空间站的渊源，因此只是默默地抓紧了我的手。	0	3.3米娅个人故事
13		0	分析员无帽			我没事的，我们走吧。	0	3.3米娅个人故事
14		0				以结构功能划分，槲寄生空间站可以分为外环、内环、核心、能源舱和中央电梯五个部分。	0	3.3米娅个人故事
15		0				凭着模糊的记忆，我找到了供航天器接入的外环入口。	0	3.3米娅个人故事
16		0				利用泰坦物质打开舱门后，我和米娅终于踏上了坚实的地面。	0	3.3米娅个人故事
17		0				这里仍然保持着我记忆中的模样，因此供氧和温控系统都还在正常运作。即便如此，我还是没有解除泰坦物质外壳的保护。	0	3.3米娅个人故事
18		0				归根结底，我对这个地方始终抱有十二分的警惕。	0	3.3米娅个人故事
19		0				米娅则是惊讶地环顾着空间站的内部。这座汇聚了人类科研心血的空间站里满是科研设备和智能系统，即使是对这些设备一无所知的人也能感觉到其价值。	0	3.3米娅个人故事
20		6	米娅星彩			分析员，你能将空间站的内部具象出来，也就是说……你来过这里，对吗？	0	3.3米娅个人故事
21		0				很快，她便想到了这件事情。	0	3.3米娅个人故事
22		0	分析员无帽			我上次来到这里，是为了阻止埃达。	0	3.3米娅个人故事
23		6	米娅星彩			……是降临事件吗？	0	3.3米娅个人故事
24		0				我点了点头，将目光投向走廊的尽头。	0	3.3米娅个人故事
25		0	分析员无帽			降临事件后，埃达切断了与公司的联系。为了夺回埃达以及空间站的控制权，我带着小队来到了这里。	0	3.3米娅个人故事
26		0	分析员无帽			就结果而言，我失败了。	0	3.3米娅个人故事
27		0	分析员无帽			我没能夺回埃达的控制权，反而被它囚禁，以至于失去了在空间站的三年间的记忆。	0	3.3米娅个人故事
28		0	分析员无帽			所以，在这条走廊的尽头，那扇门的后面应该什么都没有吧，因为我完全没有对那里的记忆了。	0	3.3米娅个人故事
29		0	分析员无帽			我最后记得的事情，便是在走廊上，朝着舷窗外面望去——	0	3.3米娅个人故事
30		0	分析员无帽			位于左边的，是美丽而巨大的湛蓝色星球。	0	3.3米娅个人故事
31		0	分析员无帽			位于右边的，则是小上一号，但同样迷人的白色卫星。	0	3.3米娅个人故事
32		0	分析员无帽			当时的我自然是无心欣赏它们的美丽，因此它们给我留下的印象，就只是庞大而已。	0	3.3米娅个人故事
