字符串索引	标记	立绘位置	说话人	实际说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	disable	Remark
1		4	米娅		Play_Vo_dlc33ep2_girl023_01	呜……这也太高了吧……就没有电梯能直达吗？	0	3.3主线剧情
2		5	恒沙代理		Play_Vo_dlc33ep2_npc100_01	很遗憾，汉诺塔内并未设置直达顶层的电梯。	0	3.3主线剧情
3		4	晴		Play_Vo_dlc33ep2_girl006b_01	你们平时都是这样……只用一块浮空踏板上去的吗？	0	3.3主线剧情
4		5	恒沙代理		Play_Vo_dlc33ep2_npc100_02	嗯，理论上是这样的，但实际上自从卡尔帕娜女士离世过后，那里就再也无人造访了。	0	3.3主线剧情
5		0	分析员夜魇			但恒沙的本体，一直都在那里注视着一切，对吧？	0	3.3主线剧情
6		6	米娅		Play_Vo_dlc33ep2_girl023_02	唔，就好像高居云端的神明大人一样，用天空划清了自己与凡人的界限……	0	3.3主线剧情
7		0				米娅嘟起小嘴，就这样当着代理人小姐的面吐槽道。	0	3.3主线剧情
8		6	恒沙代理		Play_Vo_dlc33ep2_npc100_03	您误会了，米娅小姐。	0	3.3主线剧情
9		6	恒沙代理		Play_Vo_dlc33ep2_npc100_04	卡尔帕娜女士，她毕生的理想就是创造一个所有人类都能不分高低贵贱，和谐共处的世界。	0	3.3主线剧情
10		6	恒沙代理		Play_Vo_dlc33ep2_npc100_05	而新恒提罗只是卡尔帕娜女士迈出的第一步，同时，也是她在当时条件下能够抵达的极限。	0	3.3主线剧情
11		0	恒沙代理		Play_Vo_dlc33ep2_npc100_06	总有一天，我们会彻底消除这片天空的分界线。	0	3.3主线剧情
12		6	米娅		Play_Vo_dlc33ep2_girl023_03	嗯……“总有一天”啊……	0	3.3主线剧情
13		0				米娅若有所思地重复了一遍代理人小姐的话，随后便将头扭了过去。	0	3.3主线剧情
14		0				盯着渐渐远离的地面，不再言语。	0	3.3主线剧情
15		6	恒沙代理		Play_Vo_dlc33ep2_npc100_07	分析员阁下，趁着抵达顶层还有一段时间，能否允许我说明下新恒提罗的现状？	0	3.3主线剧情
16		0	分析员夜魇			请便。	0	3.3主线剧情
17		6	恒沙代理		Play_Vo_dlc33ep2_npc100_08	那么……就从之前的入侵事件说起吧。	0	3.3主线剧情
18		0				她探出手指，在我们面前的空气上轻轻滑动过后，便投影出了熟悉的景象。	0	3.3主线剧情
19		0	恒沙代理		Play_Vo_dlc33ep2_npc100_09	您初次来访时，埃达曾借助艾尔莎小姐干扰防御系统的间隙，入侵了恒沙的数据中心。	0	3.3主线剧情
20		0	恒沙代理		Play_Vo_dlc33ep2_npc100_10	虽然当时没造成破坏，但却留下了一条无法修复的“通道”，同时一部分的用于维系歧路宇宙升级的模拟参数也被篡改了。	0	3.3主线剧情
21		9	晴		Play_Vo_dlc33ep2_girl006b_02	……那这次袭击也是埃达发起的吗？	0	3.3主线剧情
22		0	恒沙代理		Play_Vo_dlc33ep2_npc100_11	直接原因并非如此。我们早已隔离了那些被污染的数据，监控显示埃达并未主动通过通道入侵。	0	3.3主线剧情
23		0	恒沙代理		Play_Vo_dlc33ep2_npc100_12	然而……	0	3.3主线剧情
24		0				她将视线从投影上收回，转而投向了我。	0	3.3主线剧情
25		6	恒沙代理		Play_Vo_dlc33ep2_npc100_13	然而近期，隔离墙却被一种特殊的信息态抑制剂瓦解了。	0	3.3主线剧情
26		0	分析员夜魇			封闭血清吗……	0	3.3主线剧情
27		0				在卫城学院时用于对付埃达的封闭血清，难道说是因为那条通道的存在，也影响到了恒沙？	0	3.3主线剧情
28		6	恒沙代理		Play_Vo_dlc33ep2_npc100_14	并非如此……我们曾经解析过那种信息态抑制剂的代码，它似乎只是封闭血清的劣化版本。	0	3.3主线剧情
29		0				她摇了摇头，否定了我的猜测。	0	3.3主线剧情
30		6	恒沙代理		Play_Vo_dlc33ep2_npc100_15	而抑制剂被注入的时间点，也要略早于您对埃达使用封闭血清的时间。	0	3.3主线剧情
31		6	恒沙代理		Play_Vo_dlc33ep2_npc100_16	所以……	0	3.3主线剧情
32		0	分析员夜魇			是埃达同化了优格后，利用残留于优格体内的血清，自己研发出的抑制剂吧。	0	3.3主线剧情
33		6	恒沙代理		Play_Vo_dlc33ep2_npc100_17	……嗯。	0	3.3主线剧情
34		0				她将视线再次投向了面前悬浮的投影上。	0	3.3主线剧情
35		0	恒沙代理		Play_Vo_dlc33ep2_npc100_18	被篡改的数据外泄，污染了学习样本，由此引发了连锁反应……主系统，开始了不可逆转地崩溃。	0	3.3主线剧情
36		9	米娅		Play_Vo_dlc33ep2_girl023_04	所以在天界乐土出现的黑洞……	0	3.3主线剧情
37		0	恒沙代理		Play_Vo_dlc33ep2_npc100_19	那是崩溃的具象化表现。整个歧路宇宙都出现了大大小小的黑洞。	0	3.3主线剧情
38		0	恒沙代理		Play_Vo_dlc33ep2_npc100_20	为了阻止污染扩散，恒沙只能选择在保留基础功能后，进入休眠状态。	0	3.3主线剧情
39		9	米娅		Play_Vo_dlc33ep2_girl023_05	但污染已经无法清除了……天界乐土现在已经禁止登入了吧。	0	3.3主线剧情
40		4	晴		Play_Vo_dlc33ep2_girl006b_03	等等，那条连接着埃达的通道呢？	0	3.3主线剧情
41		5	恒沙代理		Play_Vo_dlc33ep2_npc100_21	还请放心，虽然隔离解除，但通道仍处于监控中。埃达并未趁机入侵。	0	3.3主线剧情
42		0	分析员夜魇			她现在正自顾不暇，已经没余力夺取其他AI的算力了。	0	3.3主线剧情
43		0	分析员夜魇			不过，有一点很奇怪。	0	3.3主线剧情
44		0				我注视着投影中的黑洞，突然意识到了什么。	0	3.3主线剧情
45		0				问题，还是出在“信息态抑制剂”上。	0	3.3主线剧情
46		0	分析员夜魇			信息态抑制剂，之所以能让类似优格与埃达这类拥有情感模块的人工智能停止运作。	0	3.3主线剧情
47		0	分析员夜魇			正因为情感模块，是基于最初的信息态技术开发的。	0	3.3主线剧情
48		0	分析员夜魇			但恒沙为什么也会被其影响？	0	3.3主线剧情
49		6	恒沙代理		Play_Vo_dlc33ep2_npc100_22	……	0	3.3主线剧情
