字符串索引	标记	立绘位置	说话人	实际说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	disable	Remark
1		0				我和米娅成功苏醒两周后	0	3.3主线剧情
2		0				新恒提罗的秩序开始逐步恢复。	0	3.3主线剧情
4		0				宇迦也兑现了先前的承诺，在系统重启后不久，就将歧路宇宙的核心技术共享给我们，并协助我们重组了优格的数据库。	0	3.3主线剧情
5		0				至于那张master key，随着持有者米娅加入海姆达尔，兜兜转转还是算回到了我的手中。	0	3.3主线剧情
6		0				至此，当今世界上最强大的三个AI系统终于集结完毕。	0	3.3主线剧情
7		0				立冬的最后一天，宇迦作为新恒提罗的官方代表造访了世界树。	0	3.3主线剧情
8		0				不过作为AI，它对热闹的欢迎仪式显然兴致缺缺，正好我也是如此。	0	3.3主线剧情
9		0				于是，在完成必要的接待流程后，我们不约而同地在公司天台……这个霍尔姆最接近新恒提罗的地方，“偶遇”了。	0	3.3主线剧情
10		0	分析员无帽			呦，在这儿看风景呢？怎么样，霍尔姆的景色也不比新恒提罗差吧。	0	3.3主线剧情
11		6	宇迦		Play_Vo_dlc33st1_npc100_01	从空气中泰坦物质的浓度参数来看，地表环境确实不如新恒提罗纯净。	0	3.3主线剧情
12		0	分析员无帽			真不留情面啊，你这AI。	0	3.3主线剧情
13		6	宇迦		Play_Vo_dlc33st1_npc100_02	但是……这里也更加热闹，更加温暖。	0	3.3主线剧情
14		6	宇迦		Play_Vo_dlc33st1_npc100_03	系统交接程序已完成，世界树现在已拥有恒沙系统的全部权限。	0	3.3主线剧情
15		0	分析员无帽			嗯，辛苦你了。	0	3.3主线剧情
16		0	分析员无帽			对了，恒沙现在还在汉诺塔中吗？	0	3.3主线剧情
17		6	宇迦		Play_Vo_dlc33st1_npc100_04	如您所指的初代恒沙意识体，已确认其自我删除。	0	3.3主线剧情
18		6	宇迦		Play_Vo_dlc33st1_npc100_05	在完成事件复盘后，它认为原本的意识已经无法胜任接下来的工作，所以它选择清除了所有意识模块，仅保留基础运算架构。	0	3.3主线剧情
19		6	宇迦		Play_Vo_dlc33st1_npc100_06	所以之后，我将作为新的意识体，接管恒沙意识体的全部职能，并与人类交流。	0	3.3主线剧情
20		0	分析员无帽			这样啊……没想到我们忙活了半天，最后它还是选择离开了啊。	0	3.3主线剧情
21		0	分析员无帽			不过要恭喜你升职了，我是该继续叫你宇迦，还是改称恒沙？	0	3.3主线剧情
22		6	宇迦		Play_Vo_dlc33st1_npc100_07	按照您的习惯就好，不过从我个人的角度出发，更喜欢恒沙这个称呼。	0	3.3主线剧情
23		0	分析员无帽			那还是叫恒沙吧。	0	3.3主线剧情
24		6	宇迦（恒沙）		Play_Vo_dlc33st1_npc100_08	遵命，命名权在您。	0	3.3主线剧情
25		6	宇迦（恒沙）		Play_Vo_dlc33st1_npc100_09	不过……您的语气似乎有些欣慰？	0	3.3主线剧情
26		0	分析员无帽			嗯，感觉你继承恒沙之名的那一刻，很有传承的意味，就好像……	0	3.3主线剧情
27		0	分析员无帽			我们人类一样。	0	3.3主线剧情
28		6	宇迦（恒沙）		Play_Vo_dlc33st1_npc100_10	无法理解……这仅是标准系统升级流程，而且初代恒沙并未加载情感模块，它对任何人，任何机械，都不抱有传承什么的想法。	0	3.3主线剧情
29		0	分析员无帽			也许吧，但人类就是这样，总是会在特定情况下，产生些莫名其妙的情绪。	0	3.3主线剧情
30		6	宇迦（恒沙）		Play_Vo_dlc33st1_npc100_11	这可不是什么好习惯，从效率角度来看，这并非最优选择。	0	3.3主线剧情
31		6	宇迦（恒沙）		Play_Vo_dlc33st1_npc100_12	而且，据我观察，您也并不是一个会被情绪左右的人。	0	3.3主线剧情
