关卡ID（5500-6500）	地图ID	局内阶段	RoomID	多诺探索层数ID	房间随机权重	房间类型	是否不传送门传送(1=不传送）	传送tag	是否传送到新阶段（是=1）	传送门tag（决定刷新哪批传送门）	是否为无尽模式结算点（1=是）	结算点（1=结算2=继续）	引导期间结算点（填写引导ID，引导未完成就继续执行）	任务期间结算点（填写任务ID，任务未完成就继续执行，引导限制优先）	交互点（配tag）	交互点类型（配置蓝图路径）	皮肤名	备注	AI导演Id	数值模板	房间Tag	逻辑地图	Task路径	房间BGM
LevelID	MapID	Stage	RoomID	CatchID	Weight	RoomType	Transmit	TransmitTag	GoToNext	DoorTag	EndlessPoint	Point	Guide_Point	Task_Point	InterActive	InteractClass	SkinName	Null	AIDirector	Strength	Tag	Logic	Task	BGM
5500	5500	1	0	1	1000		1	start		StartDoor							阶段1初始区域			easy		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch11.DonoDuelCatch11	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch11/DonoDuelCatch11_1.DonoDuelCatch11_1	
																								
5501	5500	1	1	2	1000	1	1			Door102			64107				阶段1_区域1_普通战斗			easy		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch11.DonoDuelCatch11	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch11/DonoDuelCatch11_2.DonoDuelCatch11_2	
																								
6111	5501	1	2	3	600	1		103		Door103							阶段1_区域2_普通战斗			normal		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch11.DonoDuelCatch11	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch12/DonoDuelCatch12_1.DonoDuelCatch12_1	
6112	5501	1	2	3	400	2		103		Door103							阶段1_区域2_精英战斗			normal		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch11.DonoDuelCatch11	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch12/DonoDuelCatch12_2.DonoDuelCatch12_2	
																								
6121	5501	1	3	4	500	1		104		Door104							阶段1_区域3_普通战斗			hard		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch11.DonoDuelCatch11	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch13/DonoDuelCatch13_1.DonoDuelCatch13_1	
6122	5501	1	3	4	300	2		104		Door104							阶段1_区域3_精英战斗			hard		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch11.DonoDuelCatch11	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch13/DonoDuelCatch13_2.DonoDuelCatch13_2	
