ID	//备注	关卡类型(0、通常关,1、Boss关,2、st剧情,3、重要,4、爬塔关,5、Boss挑战关,6、联机,7、ep剧情)	地图ID	波次ID	关卡总时长	波次后是否休整（1=休整）	战斗逻辑配置ID	出场怪物信息{{怪物编号,等级(填0不显示等级)}}	关联growintensity怪物强度模板	关卡详情是否显示怪物列表 0或不配显示奖励列表 1显示怪物列表	战斗力增减等级数	是否允许多重战斗	是否显示再次挑战	队伍规则	时效性队伍规则：{{试用Id,开启时间}}，有多组时最先开放的配最左边	Buff
ID	Comments	Type	MapID	WaveID	Time	Rest	FightID	Monster	LevelStrength	ShowListType	RecommendLevelOffset	MultipleFight	AgainFight	TeamRuleID	TimlyTeamRule	Buff
5505	剧情模式-正式关1		5505	{51100}	600			{51101,51102,51103,51104,51105}								
5506	剧情模式-正式关2		5505	{51200}	600			{51201,51202,51203,51204,51205}								
5507	剧情模式-正式关3		5505	{51300}	600			{51301,51302,51303,51304,51305}								
5508	剧情模式-正式关4		5505	{51400}	600			{51401,51402,51403,51404,51405}								
5509	剧情模式-正式关5		5505	{51500}	600			{51501,51502,51503,51504,51505}								
5510	剧情模式-正式关6		5505	{51600}	600			{51601,51602,51603,51604,51605}								
5511	剧情模式-正式关7		5505	{51700}	600			{51701,51702,51703,51704,51705}								
5512	剧情模式-正式关8		5505	{51800}	600			{51801,51802,51803,51804,51805}								
																
5513	挑战模式-挑战1		5505	{52100}	600			{52101,52102,52103,52104,52105}								
5514	挑战模式-挑战2		5506	{52200}	600			{52201,52202,52203,52204,52205}								
5515	挑战模式-挑战3		5507	{52300}	600			{52301,52302,52303,52304,52305}								
5516	挑战模式-挑战4		5508	{52400}	600			{52401,52402,52403,52404,52405}								
5517	挑战模式-挑战5		5509	{52500}	600			{52501,52502,52503,52504,52505}								
																
5518	无尽模式-无尽1		5509	{530100,530200,530300,530400,530500,530600,530700,530800,530900,531000}	600	1		{{530101,530102,530103,530104,530105},{530201,530202,530203,530204,530205},{530301,530302,530303,530304,530305},{530401,530402,530403,530404,530405},{530501,530502,530503,530504,530505},{530601,530602,530603,530604,530605},{530701,530702,530703,530704,530705},{530801,530802,530803,530804,530805},{530901,530902,530903,530904,530905},{531001,531002,531003,531004,531005}}								
