效果类型	备注	参数说明
EffectID	Comment	Des
1	敌人强度提升至X%	{倍率}
2	没有跳过按钮	
3	不能使用宝物的主动效果	
4	无法删除棋子	
5	不能刷新卡牌	
6	首次转动后，场上所有棋子转变为对应ID的棋子	{棋子ID}
7	禁用所有道具	
8	最多拥有X个宝物。之后跳过所有选宝	{个数}
9	在选棋获得X个棋子后跳过所有选棋	{个数}
10	本局游戏探梦等级最大为X	{等级数值}
11	初始获得X能量，跳过所有选棋，升级等级后获得Y次选棋	{能量数值,次数}
12	选棋时出现的X星棋子均为对应流派的棋子	{星级要求，流派ID}
13	流派强化天赋无效	
14	最终首领额外获得X强度	{血量数值}
15	首次转动后生命值-X	{数量}
16	每个怪物阶段减少1次转动次数	
17	发起攻击将只用当前X%能量	{比例数值}
18	最多拥有X个棋子，达到上限时则不能再获取	{个数}
19	初始获得X次选棋，前进时不会再弹出选棋，之后每次击败敌人时获得Y次选棋	{初始次数，后续次数}
20	使用【定制专辑】道具时，损失X生命值	{生命数值}
21	损失生命值的时候，随机删除X个礼物	{礼物个数}
22	提升漫溯等级时，随机删除X个棋子	{棋子个数}
23	漫溯等级提升所需的漫溯能量消耗提升X%	{提升数值}
24	默认跳过所有选礼，每消耗X个棋子后，额外触发Y次选礼	{棋子个数，选礼次数}
25	背包中棋子少于X个时，本次前进获得的能量乘以Y，否则乘以Z	{棋子个数，获得能量倍率Y，获得能量倍率Z}
26	前进时，棋子和宝物生成至少X个棋子，本次前进获得的能量乘以Y，否则乘以Z	{棋子个数，获得能量倍率Y，获得能量倍率Z}
27	前进时，棋子和宝物消除至少X个棋子，本次前进获得的能量乘以Y，否则乘以Z	{棋子个数，获得能量倍率Y，获得能量倍率Z}
