奖励ID	卡牌解锁奖励	天赋点数量({cash表id,数量}）	服装解锁
RewardID	CardUnlock	MoonNum	ClothUnlock
1	{13,14,15,16,17,18}	{52,0}	
2	{19,21,22,23,24,26,27,34,35,36,38,39,42,41,43,45,47,49,50,51,52,53,54,55,56,57}	{52,1}	
3		{52,1}	
4	{58,59,60,61,62,63,64,65,66,69,71,74}	{52,1}	
5		{52,2}	
6	{67,68,70,72,73,75,76,109,110,111,114,115,116,118,121}	{52,2}	
7		{52,2}	
8	{112,113,117,119,120,122}	{52,3}	
9		{52,3}	
10	{37,40,44,46,48,20,25,28,29,30,31,32,33,77,78,79,80,82,83,84,85}	{52,1}	
11		{52,2}	
12	{92,93,94,95,97,98,99,100,102,106}	{52,2}	
13		{52,2}	
14	{96,101,103,104,105,107,108}	{52,2}	
15		{52,2}	
16	{87,90,81,86,88,89,91,123,124,125,126,127,129,130,132,133,136}	{52,2}	
17		{52,2}	
18	{128,131,134,135,137,138}	{52,3}	
19		{52,3}	
20	{148,149,209}	{52,1}	
21		{52,1}	
22	{164,210}	{52,1}	
23		{52,1}	
24	{180,212,214}	{52,1}	
25		{52,1}	
26	{192,216,217}	{52,1}	
27		{52,1}	
28	{199,207,219}	{52,1}	
29		{52,1}	
30			{14}
31			{15}
32			{16}
33			{17}
34			{18}
35			{19}
36			{20}
37			{21}
38			{22}
39			{23}
40			{24}
41			{25}
42			{26}
