基础流程关卡ID	备注	默认少女	图标ID	名称Key	描述Key	解锁条件	难度	探险等级	敌人强度倍率	怪物列表	回合数量	流派ID	附加buffID	初始棋子ID	初始宝物ID	星级目标ID（{{id,{配置数值1,配置数值2}},{id,{	奖励ID	初始道具({道具id,数量})
LevelListID	Com	InitialRole	IconID	Name	Des	Condition	HardStage	DreamLevelID	Hard	BossListID	RoundNum	BuildID	BuffID	ChessZeroID	TreZeroID	StarMessID	RewardID	Items
1	A1-绘制绮丽	13	4104001	dreamcard.level_name01	dreamcard.level_desc01	{}	1	1	1	{{11,1},{11,1}}	{5,5}	{1}	{}	{1,1,2,5,5,8,19,19}	{9}	{{1,{}},{3,{2}},{4,{500}}}	1	{{101,0},{102,0},{103,5},{104,3},{105,0}}
2	A2-心灵小径	13	4104001	dreamcard.level_name02	dreamcard.level_desc02	{1}	1	1	1	{{12,1},{12,2}}	{6,6}	{1}	{}	{1,2,5,6,7}	{14}	{{2,{1}},{3,{2}},{4,{1000}}}	2	{{101,1},{102,1},{103,10},{104,5},{105,10}}
2	A2	13	4104001	dreamcard.level_name02	dreamcard.level_desc02	{1}	2	21	1	{{13,1},{13,2},{13,3}}	{6,6,7}	{1,2,3}	{}	{1,1,2,8,19,19,40,40}	{10}	{{1,{}},{7,{1000}},{3,{2}}}	3	{{101,1},{102,1},{103,10},{104,5},{105,10}}
3	A3-书阁求索	9	4104004	dreamcard.level_name03	dreamcard.level_desc03	{2}	1	2	1.5	{{12,1},{12,1},{12,3}}	{6,6,7}	{4,1}	{}	{2,53,49,50,50,50,58}	{15}	{{2,{1}},{4,{3000}},{3,{2}}}	4	{{101,1},{102,1},{103,10},{104,5},{105,10}}
3	A3	9	4104004	dreamcard.level_name03	dreamcard.level_desc03	{2}	2	4	1.2	{{13,1},{13,1},{13,2},{13,3}}	{6,6,6,7}	{4,1,2}	{}	{2,22,53,58,49,49,50,50}	{11}	{{10,{1,4}},{3,{3}},{14,{1,54}}}	5	{{101,1},{102,1},{103,20},{104,10},{105,20}}
3	A3	9	4104004	dreamcard.level_name03	dreamcard.level_desc03	{2}	3	5	1.4	{{13,1},{13,1},{13,1},{13,2},{13,3}}	{6,6,6,6,7}	{4,1,2,5}	{}	{2,22,53,58,49,63,50,65}	{11}	{{2,{2}},{10,{2,4}},{3,{4}}}	38	{{101,1},{102,1},{103,20},{104,10},{105,20}}
4	A4-海湾探宝	10	4104005	dreamcard.level_name04	dreamcard.level_desc04	{3}	1	2	1	{{14,1},{14,1},{14,1},{14,3}}	{6,6,6,7}	{5,1}	{}	{1,2,68,65,62,62,67,63}	{74}	{{2,{1}},{9,{6,600}},{13,{8,62}}}	6	{{101,1},{102,1},{103,20},{104,10},{105,20}}
4	A4	10	4104005	dreamcard.level_name04	dreamcard.level_desc04	{3}	2	4	1.4	{{14,1},{14,1},{14,1},{14,2},{14,3}}	{6,6,6,7,7}	{5,1,8}	{}	{1,2,63,63,67,68,71,62}	{75,75}	{{3,{4}},{6,{5,40000}},{13,{2,71}}}	7	{{101,1},{102,1},{103,20},{104,10},{105,20}}
4	A4	10	4104005	dreamcard.level_name04	dreamcard.level_desc04	{3}	3	5	1.6	{{14,1},{14,1},{14,1},{14,1},{14,2},{14,3}}	{6,6,6,6,7,7}	{5,1,8,4}	{}	{1,2,63,50,67,59,71,62}	{75}	{{1,{}},{6,{5,60000}},{13,{3,71}}}	39	{{101,1},{102,1},{103,20},{104,10},{105,20}}
