奖励列表ID（从1开始不和挑战积分奖励重复）	所需星级	奖励
MessID	NeedScore	Rewards
1	3	{{4,3,1,1,5000},{4,1,6,5,10}}
2	6	{{4,3,1,1,5000},{4,1,6,5,10}}
3	9	{{4,3,2,1,20},{4,1,6,5,20}}
4	12	{{4,3,1,1,5000},{4,1,6,5,10}}
5	15	{{4,3,1,1,5000},{4,1,6,5,10}}
6	18	{{4,3,2,1,20},{4,1,6,5,20}}
7	21	{{4,3,1,1,5000},{4,1,6,5,10}}
8	24	{{4,3,1,1,5000},{4,1,6,5,10}}
9	27	{{4,3,2,1,20},{11,1,35,1,1}}
10	30	{{4,3,1,1,5000},{4,1,6,5,10}}
11	33	{{4,3,1,1,5000},{4,1,6,5,10}}
12	36	{{4,3,2,1,20},{4,1,6,5,20}}
13	39	{{4,3,1,1,5000},{4,1,6,5,10}}
14	42	{{4,3,1,1,5000},{4,1,6,5,10}}
15	45	{{4,3,2,1,20},{4,1,6,5,20}}
16	48	{{4,3,1,1,5000},{4,1,6,5,10}}
17	51	{{4,3,1,1,5000},{4,1,6,5,10}}
18	54	{{4,3,2,1,20},{4,1,6,5,20}}
19	57	{{9,2,71,1,1},{4,1,6,5,10}}
20	60	{{4,3,1,1,5000},{4,1,6,5,10}}
21	63	{{4,3,2,1,20},{4,1,6,5,20}}
22	66	{{4,3,1,1,5000},{4,1,6,5,10}}
23	69	{{4,3,1,1,5000},{4,1,6,5,10}}
24	72	{{4,3,2,1,20},{13,1,35,1,1}}
25	75	{{4,3,1,1,5000},{4,1,6,5,10}}
26	78	{{4,3,1,1,5000},{4,1,6,5,10}}
27	81	{{4,3,2,1,20},{4,1,6,5,20}}
28	84	{{4,3,1,1,5000},{4,1,6,5,10}}
29	87	{{4,3,1,1,5000},{4,1,6,5,10}}
30	90	{{4,3,2,1,20},{4,1,6,5,20}}
31	93	{{4,3,1,1,5000},{4,1,6,5,10}}
32	96	{{4,3,1,1,5000},{4,1,6,5,10}}
33	99	{{4,3,2,1,20},{4,1,6,5,20}}
34	102	{{4,3,1,1,5000},{4,1,6,5,10}}
35	105	{{4,3,1,1,5000},{4,1,6,5,10}}
36	108	{{4,3,2,1,20},{4,1,6,5,20}}
37	111	{{4,3,1,1,5000},{4,1,6,5,10}}
38	114	{{4,3,1,1,5000},{4,1,6,5,10}}
39	117	{{4,3,2,1,20},{4,1,6,5,20}}
40	120	{{4,3,1,1,5000},{4,1,6,5,10}}
41	123	{{4,3,1,1,5000},{4,1,6,5,10}}
42	126	{{4,3,2,1,20},{13,1,41,1,1}}
