期数	积分	奖励
Ver	Score	Award
1	1000	{{4,3,2,1,20},{4,1,6,3,10}}
1	3000	{{4,3,1,1,20000},{4,1,6,3,10}}
1	5000	{{4,3,2,1,20},{4,1,6,3,10}}
1	7000	{{4,3,1,1,20000},{4,1,6,3,10}}
1	10000	{{4,3,2,1,60},{4,3,1,1,10000},{4,1,6,3,50}}
1	12000	{{4,3,1,1,20000},{4,1,6,3,10}}
1	15000	{{4,3,2,1,20},{4,1,6,3,10}}
1	20000	{{4,3,1,1,20000},{4,1,6,3,10}}
1	25000	{{4,3,2,1,60},{4,3,1,1,10000},{4,1,6,3,50}}
1	27000	{{4,3,1,1,20000},{4,1,6,3,10}}
1	30000	{{4,3,2,1,20},{4,3,1,1,10000},{4,1,6,3,10}}
1	33000	{{4,3,1,1,10000},{4,1,6,3,10}}
1	35000	{{10,1,3,1,1}}
2	1000	{{4,3,2,1,20},{5,29,1,1,10}}
2	3000	{{4,3,1,1,20000},{5,29,1,1,10}}
2	5000	{{4,3,2,1,20},{5,29,1,1,10}}
2	7000	{{4,3,1,1,20000},{5,29,1,1,10}}
2	10000	{{4,3,2,1,60},{4,3,1,1,10000},{5,29,1,1,50}}
2	12000	{{4,3,1,1,20000},{5,29,1,1,10}}
2	15000	{{4,3,2,1,20},{5,29,1,1,10}}
2	20000	{{4,3,1,1,20000},{5,29,1,1,10}}
2	25000	{{4,3,2,1,60},{4,3,1,1,10000},{5,29,1,1,50}}
2	27000	{{4,3,1,1,20000},{5,29,1,1,10}}
2	30000	{{4,3,2,1,20},{4,3,1,1,10000},{5,29,1,1,10}}
2	33000	{{4,3,1,1,10000},{5,29,1,1,10}}
2	35000	{{10,1,9,1,1}}
3	1000	{{4,3,2,1,20},{5,30,2,2,10}}
3	3000	{{4,3,1,1,20000},{5,30,2,2,10}}
3	5000	{{4,3,2,1,20},{5,30,2,2,10}}
3	7000	{{4,3,1,1,20000},{5,30,2,2,10}}
3	10000	{{4,3,2,1,60},{4,3,1,1,10000},{5,30,2,2,50}}
3	12000	{{4,3,1,1,20000},{5,30,2,2,10}}
3	15000	{{4,3,2,1,20},{5,30,2,2,10}}
3	20000	{{4,3,1,1,20000},{5,30,2,2,10}}
3	25000	{{4,3,2,1,60},{4,3,1,1,10000},{5,30,2,2,50}}
3	27000	{{4,3,1,1,20000},{5,30,2,2,10}}
3	30000	{{4,3,2,1,20},{4,3,1,1,10000},{5,30,2,2,10}}
3	33000	{{4,3,1,1,10000},{5,30,2,2,10}}
3	35000	{{10,1,23,1,1}}
4	1000	{{4,3,2,1,20},{5,29,4,1,10}}
4	3000	{{4,3,1,1,20000},{5,29,4,1,10}}
4	5000	{{4,3,2,1,20},{5,29,4,1,10}}
4	7000	{{4,3,1,1,20000},{5,29,4,1,10}}
4	10000	{{4,3,2,1,60},{4,3,1,1,10000},{5,29,4,1,50}}
4	12000	{{4,3,1,1,20000},{5,29,4,1,10}}
4	15000	{{4,3,2,1,20},{5,29,4,1,10}}
4	20000	{{4,3,1,1,20000},{5,29,4,1,10}}
4	25000	{{4,3,2,1,60},{4,3,1,1,10000},{5,29,4,1,50}}
4	27000	{{4,3,1,1,20000},{5,29,4,1,10}}
4	30000	{{4,3,2,1,20},{4,3,1,1,10000},{5,29,4,1,10}}
4	33000	{{4,3,1,1,10000},{5,29,4,1,10}}
4	35000	{{10,1,25,1,1}}
