怪物队列ID	怪物列表
Id	Monsters
1	{101,101,102,101,101,103,103,103,103,104,102,104,104,102,102,102,107,104,101,101,101,104,101,102,103,103,103,104,104,104,104}
2	{102,102,103,102,102,104,101,104,104,104,103,102,102,101,101,101,102,103,103,104,103,103,101,101,102,102,102,102}
3	{103,103,101,103,103,102,102,102,102,104,101,107,104,104,103,103,103,104,102,104,102,102,102,103,103,104,104,104,104}
4	{104,104,102,104,104,101,101,101,103,102,102,103,103,104,104,104,104,103,101,103,101,101,101,102,102,103,103,103,103,104,104,103,103}
5	{104,104,102,104,104,101,101,101,103,102,102,103,103,104,104,104,104,103,101,103,101,101,101,102,102,103,103,103,103,104,104,103,103}
6	{103,103,101,103,103,102,104,102,102,102,101,101,101,107,103,104,104,103,104,102,103,103,103,101,101,102,102,103,102,104,104,104,101,104}
7	{103,103,101,103,103,102,104,102,102,102,101,101,101,107,103,104,104,103,104,102,103,103,103,101,101,102,102,103,102,104,104,104,101,104}
8	{104,104,101,104,104,103,102,103,103,103,101,101,101,104,102,102,104,102,103,104,104,104,102,102,103,103,102,101,101,101}
9	{101,101,103,101,101,104,102,104,104,104,103,103,103,107,101,102,102,101,102,104,101,101,101,103,103,104,104,102,101,102,102,102,104}
10	{102,102,104,102,102,103,101,103,103,103,102,102,102,104,101,101,104,101,103,102,102,102,104,104,101,104,103,104,103,103,103}
11	{101,101,103,101,101,104,104,104,104,102,103,102,102,103,103,103,102,106,104,101,104,104,104,102,102,103,102,102,101,101,101,104,101,103,103,102,103,103,104,104,101,104,104,102,102,103,102,102}
12	{102,102,104,102,102,103,103,103,101,103,104,101,101,104,104,104,101,103,102,103,103,103,101,101,104,101,101,104,104,103,104,104,102,102,102,101,102,103,103,104,103,103,101,101,101,102,101}
13	{103,103,102,103,103,101,101,101,104,101,102,104,104,102,102,102,104,101,103,101,101,101,104,104,102,105,104,104,103,103,103,101,103,102,102,104,102,102,101,101,103,101,101,104,104,102,104,104}
14	{104,104,101,104,104,102,102,102,103,102,101,103,103,101,101,101,103,102,106,104,102,102,102,103,103,101,103,103,104,104,102,104,104,101,101,103,101,101,102,102,102,104,102,103,103,101,103,103}
15	{101,101,104,101,101,103,103,103,102,103,104,102,106,102,104,104,104,102,103,101,103,103,103,102,102,104,102,102,101,101,101,103,101,104,104,102,104,104,103,103,101,103,103,102,102,104,102,102}
16	{102,102,103,102,102,104,104,104,101,104,103,101,107,101,103,103,103,101,104,102,104,104,104,106,101,101,103,101,101,104,104,104,102,104,103,103,101,103,103,102,102,102,104,102,101,101,103,101,101}
