ID	备注	节点名称	图标	描述
ID	Comment	Name	Icon	Des
1	遭遇战-直面蜃景-战胜敌方可获取漠北星砂和随机秘宝奖励	bagrogue.EventName1	1001288	bagrogue.EventDes1
2	首领战斗-禁忌回响-战胜精英敌方可获取大量漠北星砂与随机秘宝奖励	bagrogue.EventName2	1001289	bagrogue.EventDes2
3	长关卡-梦魇回廊-战胜大量敌方可获得3个随机秘宝奖励	bagrogue.EventName12	1001455	bagrogue.EventDes12
4	楼层Boss-禁忌震鸣-战胜精英敌方可获得大量漠北星沙与随机奇器奖励	bagrogue.EventName13	1001456	bagrogue.EventDes13
5	直面终局-终局考验-拨开眼前迷雾，获得最终的战斗胜利，拿到独属于自己的故事结局	bagrogue.EventName3	1001290	bagrogue.EventDes3
6	奇遇-绿洲穿行-在绿洲行进的途中，可以意外获得各种奖励	bagrogue.EventName4	1001296	bagrogue.EventDes4
7	宝箱-珍奇馈赠-沿途搭救了村民，获得了一些珍贵的宝物	bagrogue.EventName5	1001292	bagrogue.EventDes5
8	背包扩充-铭文拓印-遗迹的铭文拓印帮助你更了解秘宝。获取后可以扩充背包，携带更多秘宝了	bagrogue.EventName6	1001295	bagrogue.EventDes6
9	女神祝福-空灵的咏唱-跟随歌声找到了一处藏宝地，可以获得极其珍贵的宝物	bagrogue.EventName7	1001294	bagrogue.EventDes7
10	剧情-奇遇抉择-蜃景中的一切抉择，都会影响到迷雾中的未来与最终的结局	bagrogue.EventName8	1001291	bagrogue.EventDes8
11	代价奖励-彷徨时刻-解决了异常事件，队员们得到了奖励但也承受了负面效果	bagrogue.EventName9	1001293	bagrogue.EventDes9
12	商店-沙漠商队-可使用漠北星沙在商队处购买各类秘宝	bagrogue.EventName10	1001297	bagrogue.EventDes14
13	随机-随机事件-前路被巨大风沙所遮挡，到达后才能看清来到了何处	bagrogue.EventName11	1001298	bagrogue.EventDes11
