ID	备注	关卡类型(0、通常关,1、Boss关,2、st剧情,3、重要,4、爬塔关,5、Boss挑战关,6、联机,7、ep剧情)	分组标识	地图ID	战斗逻辑配置ID	解锁条件(1：账号等级；2：Level ID，3：是否拥有某道具，4：曜日本专用是否通关xx关卡)	怪物BUFF	挑战类型（1：时间评级，2：杀敌数评级，3：总伤害评级）	体力消耗(包含进入和通关)	星级条件 {{1,300},{1,180},{2,2}}	出场怪物信息{{怪物编号,等级(填0不显示等级)}}	关联growintensity怪物强度模板	是否关闭等级压制	关卡详情是否显示怪物列表 0或不配显示奖励列表 1显示怪物列表	推荐战力	战斗力增减等级数	是否允许多重战斗	是否显示再次挑战	下一关ID	玩家经验值	角色经验值	队伍规则	时效性队伍规则：{{试用Id,开启时间}}，有多组时最先开放的配最左边	首次达成星级奖励	首通掉落ID	固定掉落ID	随机掉落ID	UI展示固定物品{{G,D,P,L,N}}	UI展示随机物品{{G,D,P,L,N}}	UI展示首通物品{{G,D,P,L,N}}	Boss概念图	关卡概念图	任务资源	Buff	关卡倒计时
ID	Comments	Type	GroupId	MapID	FightID	Condition	BUFF	ChallengeType	ConsumeVigor	StarCondition	Monster	LevelStrength	LevelPower	ShowListType	RecommendPower	RecommendLevelOffset	MultipleFight	AgainFight	NextID	PlayerExp	RoleExp	TeamRuleID	TimlyTeamRule	StarAward	FirstDropID	BaseDropID	RandomDropID	ShowAward	ShowRandomAward	ShowFirstAward	PictureBoss	PictureLevel	TaskPath	Buff	LevelTime
8310	背包肉鸽小怪关卡-地图8310-无精英1	0	1	8310	1				{0,0}		{4002004,4001005,4009013,4001017}	22	1	0			0	0		0	0			{}								1801000	DLC23Task/WrapRoguelike/Wrap0_1.Wrap0_1		300
8311	背包肉鸽小怪关卡-地图8310-无精英2	0	1	8310	1				{0,0}		{4002103,4001108,4002102,4001114,4002106,4001112}	22	1	0			0	0		0	0			{}								1801000	DLC23Task/WrapRoguelike/Wrap0_2.Wrap0_2		300
8312	背包肉鸽小怪关卡-地图8310-无精英3	0	1	8310	1				{0,0}		{4001301,4001303,4001304}	22	1	0			0	0		0	0			{}								1801000	DLC23Task/WrapRoguelike/Wrap0_3.Wrap0_3		300
8313	背包肉鸽小怪关卡-地图8311-无精英1	0	1	8311	1				{0,0}		{4001212,4001211,4001213,4001216,4001215}	22	1	0			0	0		0	0			{}								1801000	DLC23Task/WrapRoguelike/Wrap0_4.Wrap0_4		300
8314	背包肉鸽小怪关卡-地图8311-无精英2	0	1	8311	1				{0,0}		{400150603,400250603,400130404,400350603,400130104}	22	1	0			0	0		0	0			{}								1801000	DLC23Task/WrapRoguelike/Wrap0_5.Wrap0_5		300
8315	背包肉鸽小怪关卡-地图8311-无精英3	0	1	8311	1				{0,0}		{4001003,4002004,4001008,4002007,4001002,4001005}	22	1	0			0	0		0	0			{}								1801000	DLC23Task/WrapRoguelike/Wrap0_6.Wrap0_6		300
8316	背包肉鸽小怪关卡-地图8312-无精英1	0	1	8312	1				{0,0}		{4002004,4001005,4009013,4001017}	22	1	0			0	0		0	0			{}								1801000	DLC23Task/WrapRoguelike/Wrap0_1.Wrap0_1		300
8317	背包肉鸽小怪关卡-地图8312-无精英2	0	1	8312	1				{0,0}		{4002103,4001108,4002102,4001114,4002106,4001112}	22	1	0			0	0		0	0			{}								1801000	DLC23Task/WrapRoguelike/Wrap0_2.Wrap0_2		300
8318	背包肉鸽小怪关卡-地图8312-无精英3	0	1	8312	1				{0,0}		{4001301,4001303,4001304}	22	1	0			0	0		0	0			{}								1801000	DLC23Task/WrapRoguelike/Wrap0_3.Wrap0_3		300
8319	背包肉鸽小怪关卡-地图8313-无精英1	0	1	8313	1				{0,0}		{4001212,4001211,4001213,4001216,4001215}	22	1	0			0	0		0	0			{}								1801000	DLC23Task/WrapRoguelike/Wrap0_4.Wrap0_4		300
8320	背包肉鸽小怪关卡-地图8313-无精英2	0	1	8313	1				{0,0}		{400150603,400250603,400130404,400350603,400130104}	22	1	0			0	0		0	0			{}								1801000	DLC23Task/WrapRoguelike/Wrap0_5.Wrap0_5		300
8321	背包肉鸽小怪关卡-地图8313-无精英3	0	1	8313	1				{0,0}		{4001003,4002004,4001008,4002007,4001002,4001005}	22	1	0			0	0		0	0			{}								1801000	DLC23Task/WrapRoguelike/Wrap0_6.Wrap0_6		300
8322	背包肉鸽小怪关卡-地图8313-1精英1	0	2	8313	1				{0,0}		{4001108,4002106,4001112,5001110}	22	1	0			0	0		0	0			{}								1801000	DLC23Task/WrapRoguelike/Wrap1_1.Wrap1_1		300
8323	背包肉鸽小怪关卡-地图8313-1精英2	0	2	8313	1				{0,0}		{4001108,4002103,4001112,500110902}	22	1	0			0	0		0	0			{}								1801000	DLC23Task/WrapRoguelike/Wrap1_2.Wrap1_2		300
8324	背包肉鸽小怪关卡-地图8313-1精英3	0	2	8313	1				{0,0}		{4001112,4001114,4001108,5001101}	22	1	0			0	0		0	0			{}								1801000	DLC23Task/WrapRoguelike/Wrap1_3.Wrap1_3		300
8325	背包肉鸽小怪关卡-地图8314-1精英1	0	2	8314	1				{0,0}		{4001108,4002106,4001112,5001110}	22	1	0			0	0		0	0			{}								1801000	DLC23Task/WrapRoguelike/Wrap1_1.Wrap1_1		300
8326	背包肉鸽小怪关卡-地图8314-1精英2	0	2	8314	1				{0,0}		{4001108,4002103,4001112,500110902}	22	1	0			0	0		0	0			{}								1801000	DLC23Task/WrapRoguelike/Wrap1_2.Wrap1_2		300
8327	背包肉鸽小怪关卡-地图8314-1精英3	0	2	8314	1				{0,0}		{4001112,4001114,4001108,5001101}	22	1	0			0	0		0	0			{}								1801000	DLC23Task/WrapRoguelike/Wrap1_3.Wrap1_3		300
8328	背包肉鸽小怪关卡-地图8315-1精英1	0	2	8315	1				{0,0}		{4001108,4002106,4001112,5001110}	22	1	0			0	0		0	0			{}								1801000	DLC23Task/WrapRoguelike/Wrap1_1.Wrap1_1		300
