Id	标记	结局类型	对应boss关卡	备注	结局名称	结局描述	解锁选项描述	结局PV	地区限制目前可填：0国内外,1国内,2海外
Id	Flag	EndingType	BossLevel	Comment	EndingName	EndingDesc	UnlockAdventureName	EndingPV	Coverage
1	{1,1}	1	8395	结局1	bagrogue.EndingName5	bagrogue.EndingDes5	bagrogue.UnlockDes1		
2	{1,2}	2	8396	结局2	bagrogue.EndingName6	bagrogue.EndingDes6	bagrogue.UnlockDes2		
3	{1,3}	1	8395	结局1	bagrogue.EndingName5	bagrogue.EndingDes5	bagrogue.UnlockDes1		
4	{2,1}	1	8395	结局1	bagrogue.EndingName5	bagrogue.EndingDes5	bagrogue.UnlockDes1		
5	{2,2}	2	8396	结局2	bagrogue.EndingName6	bagrogue.EndingDes6	bagrogue.UnlockDes2		
6	{2,3}	1	8395	结局1	bagrogue.EndingName5	bagrogue.EndingDes5	bagrogue.UnlockDes1		
7	{3,1}	2	8396	结局2	bagrogue.EndingName6	bagrogue.EndingDes6	bagrogue.UnlockDes2		
8	{3,2}	2	8396	结局2	bagrogue.EndingName6	bagrogue.EndingDes6	bagrogue.UnlockDes2		
9	{3,3}	3	8591	真结局	bagrogue.EndingName7	bagrogue.EndingDes7			
10	{-1}	4		失败	bagrogue.EndingName1	bagrogue.EndingDes1			
