活动ID(期数)	等级	需要经验	奖励
ID	Level	NeedExp	AwardList
2	1	1000	
2	2	1300	{{4,3,2,1,40},{4,3,1,1,2000}}
2	3	1600	{{4,1,10,2,30},{4,3,1,1,2000}}
2	4	1900	{{5,1,1,3,5},{4,3,1,1,2000}}
2	5	2200	{{5,6,1,2,1},{4,3,1,1,2000}}
2	6	2600	{{5,9,1,3,1},{4,3,1,1,2000}}
2	7	3000	{{4,1,10,2,30},{4,3,1,1,2000}}
2	8	3400	{{4,3,2,1,40},{4,3,1,1,2000}}
2	9	3800	{{5,1,1,3,5},{4,3,1,1,2000}}
2	10	4300	{{5,9,1,3,1},{4,3,1,1,2000}}
2	11	4800	{{5,6,1,2,1},{4,3,1,1,2000}}
2	12	5300	{{4,1,10,2,30},{4,3,1,1,3000}}
2	13	5800	{{5,1,1,4,5},{4,3,1,1,3000}}
2	14	6300	{{4,3,2,1,40},{4,3,1,1,3000}}
2	15	6800	{{5,9,1,3,1},{4,3,1,1,3000}}
2	16	7400	{{4,1,10,2,30},{4,3,1,1,3000}}
2	17	8000	{{5,6,1,2,1},{4,3,1,1,3000}}
2	18	8600	{{5,1,1,4,5},{4,3,1,1,5000}}
2	19	9200	{{5,9,1,3,1},{4,3,1,1,5000}}
2	20	10000	{{4,3,2,1,40},{4,3,1,1,5000}}
