所属区域	Id(程序自动生成)	点名	位置	旋转	类型	对应的配置Id	自定义参数	所属设计区域
Area	Id	Name	Pos	Rot	Type	Index	CustomParam	DRegion
BranchPoint	216	int_bp_314_1001	{8305.13,21792.95,4184.74}	{0.0,0.0,0.0}	1	317		0
	217	int_bp_314_1002	{37243.22,21764.24,227.61}	{0.0,0.0,110.0}	1	317		0
	218	int_bp_314_1003	{18658.77,11473.41,2710.43}	{0.0,0.0,50.0}	1	317		0
	219	int_bp_314_1004	{-19489.18,21329.34,927.48}	{0.0,0.0,15.0}	1	317		0
	233	int_bp_314_101	{34697.0,16816.0,175.68}	{0.0,0.0,-160.0}	1	314		0
	224	int_bp_314_102	{-2260.55,23448.2,4467.19}	{0.0,0.0,-160.0}	1	314		0
	225	int_bp_314_103	{2405.93,43990.99,1679.02}	{0.0,0.0,-160.0}	1	314		0
	226	int_bp_314_104	{16014.78,24200.44,3532.5}	{0.0,0.0,15.0}	1	314		0
	410	int_bp_314_105	{34697.0,16816.0,175.68}	{0.0,0.0,-160.0}	1	314		0
	220	int_bp_314_2001	{-15542.0,-10446.0,60.0}	{0.0,0.0,15.0}	1	317		0
	221	int_bp_314_2002	{-16983.92,-35459.93,173.55}	{0.0,0.0,15.0}	1	317		0
	234	int_bp_314_201	{-12865.0,8663.0,248.61}	{0.0,0.0,134.99}	1	314		0
	227	int_bp_314_202	{-20078.96,7984.8,20.96}	{0.0,0.0,-160.0}	1	314		0
	228	int_bp_314_203	{-9998.96,-15345.19,2790.96}	{0.0,0.0,-160.0}	1	314		0
	229	int_bp_314_204	{-15313.24,-24602.01,292.05}	{0.0,0.0,-160.0}	1	314		0
	222	int_bp_314_3001	{11639.32,-6666.85,1061.76}	{0.0,0.0,15.0}	1	317		0
	223	int_bp_314_3002	{16648.27,-29157.92,236.83}	{0.0,0.0,15.0}	1	317		0
	235	int_bp_314_301	{34076.0,-20163.0,321.0}	{0.0,0.0,-74.99}	1	314		0
	230	int_bp_314_302	{58590.51,-20440.22,139.0}	{0.0,0.0,-160.0}	1	314		0
	231	int_bp_314_303	{17362.76,-42678.04,167.36}	{0.0,0.0,-160.0}	1	314		0
	232	int_bp_314_304	{-8038.79,-30090.9,6070.81}	{0.0,0.0,-160.0}	1	314		0
	411	int_bp_314_401	{26937.0,-34281.0,-50.0}	{0.0,0.0,-74.99}	1	314		0
	412	int_bp_315_106	{26937.0,-34281.0,-50.0}	{0.0,0.0,124.99}	1	315	{4550}	0



DLC3_Interaction_01	1	int_305_001	{36900.45,23191.98,-11.8}	{0.0,0.0,103.99}	1	305	{-1000,0,250,1}	0
	2	int_305_002	{8023.0,16642.0,2519.0}	{0.0,0.0,0.0}	1	305	{30,935,3,2}	0
	76	int_305_003	{23494.23,30937.13,-69.42}	{0.0,0.0,-45.0}	1	305	{-50,-953,55,3}	0
	106	int_305_004	{-7545.0,46548.0,-48.84}	{0.0,0.0,-30.0}	1	305	{692,544,31,4}	0



int01	86	int01_301_10	{22688.78,20985.96,1159.04}	{0.0,0.0,-140.0}	1	301		1
	211	int01_301_13	{19157.57,10507.63,2988.63}	{0.0,0.0,94.99}	1	301		1
	73	int01_301_2	{33110.5,15337.31,-35.51}	{0.0,0.0,-31.22}	1	301		1
	75	int01_301_4	{24425.17,24801.27,1119.31}	{0.0,0.0,0.0}	1	301		1
	105	int01_301_5	{28042.66,13283.85,1094.77}	{0.0,0.0,0.0}	1	301		1
	77	int01_301_6	{30857.03,20687.58,326.44}	{0.0,0.0,-100.0}	1	301		1
	78	int01_301_7	{27765.97,24078.19,138.6}	{0.0,0.0,25.0}	1	301		1
	160	int01_301_8	{21192.02,16357.43,2686.07}	{0.0,0.0,60.0}	1	301		1
	90	int01_301_9	{37477.22,21820.76,227.61}	{0.0,0.0,111.01}	1	301		1
	80	int01_302_2	{35204.73,17629.18,40.13}	{0.0,0.0,-110.0}	1	302		1
	82	int01_302_4	{31065.87,20889.43,229.79}	{0.0,0.0,-110.0}	1	302		1
	84	int01_302_6	{22672.98,21722.87,2520.04}	{0.0,0.0,-110.0}	1	302		1
	163	int01_302_9	{16909.78,23327.69,2700.99}	{-13.06,-7.43,60.85}	1	302		1
	171	int01_306_1	{33810.26,19251.17,227.61}	{0.0,0.0,-74.63}	1	306		1
	400	int01_308_1	{32769.94,14021.02,-38.09}	{0.0,0.0,-171.33}	1	308		1
	18	int01_310_1	{26996.48,16510.47,875.69}	{0.0,-24.99,0.0}	1	310		1
	89	int01_312_1	{18023.58,10748.75,2724.62}	{0.0,0.0,-170.0}	1	312		1
	174	int01_316_01	{28279.07,21243.56,601.74}	{0.0,0.0,-110.0}	1	316		1
	83	int01_316_02	{28064.07,20012.56,601.74}	{0.0,0.0,-110.0}	1	316		1
	85	int01_316_03	{28136.07,18964.56,601.74}	{0.0,0.0,-110.0}	1	316		1
	88	int01_316_04	{28289.07,17804.56,601.74}	{0.0,0.0,-110.0}	1	316		1
	213	int01_316_10	{26308.49,20210.53,859.7}	{0.0,0.0,-110.0}	1	316		1
	29	int01_316_20	{23770.06,11765.7,2423.4}	{0.0,0.0,-110.0}	1	316		1
	79	int01_316_22	{17668.69,16065.35,3742.27}	{0.0,0.0,0.0}	1	316		1
	243	int01_316_5	{33119.58,15245.12,630.34}	{0.0,0.0,-110.0}	1	316		1
	245	int01_316_7	{29529.08,7356.88,1936.32}	{0.0,0.0,-110.0}	1	316		1
	246	int01_316_8	{27771.77,13619.59,1977.43}	{0.0,0.0,-110.0}	1	316		1
	170	int01_320_1	{31475.05,12356.33,23.18}	{0.0,0.0,-110.0}	1	320	{11}	1
	181	int01_320_2	{22273.06,22326.17,2880.74}	{0.0,0.0,-110.0}	1	320	{12}	1



Int02	3	int02_301_1	{26966.3,-14881.44,8.12}	{0.0,0.0,10.0}	1	301		2
	49	int02_301_2	{26230.82,-1761.78,2.76}	{0.0,0.0,179.99}	1	301		2
	50	int02_301_3	{23877.16,-16679.4,153.73}	{0.0,0.0,-74.99}	1	301		2
	51	int02_301_4	{17312.52,-5531.09,161.71}	{0.0,0.0,-55.0}	1	301		2
