Id	组Id	点名	位置	任务区域	怪物Id	所属设计区域	特殊奖励	任务ID(对应task开启时不刷）
Index	GroupId	PointName	Position	RegionId	MonId	DRegion	DropGroup	TaskId
1	410	mon04_10_2	{-28248.5,12863.3,563.6}	0	4001007	4	0	
2	411	mon04_11_1	{-31915.9,14621.3,353.5}	0	4001004	4	0	
3	411	mon04_11_2	{-30905.9,15616.3,353.5}	0	4001015	4	0	
4	411	mon04_11_3	{-31455.9,15301.3,80.4}	0	4001004	4	0	
5	412	mon04_12_1	{-37626.5,4725.3,129.8}	0	4001005	4	0	
6	412	mon04_12_2	{-37726.5,5105.3,129.8}	0	4001003	4	0	
7	412	mon04_12_3	{-37286.5,5025.3,129.8}	0	4001005	4	0	
8	413	mon04_13_1	{-29252.8,812.2,80.4}	0	4001017	4	0	
9	413	mon04_13_2	{-28652.8,752.2,80.4}	0	4001004	4	0	
10	413	mon04_13_3	{-27773.0,719.7,354.5}	0	4001004	4	0	
11	401	mon04_1_4	{-33686.2,9157.0,94.7}	0	4001004	4	0	
12	401	mon04_1_5	{-32946.8,10049.5,94.7}	0	4001004	4	0	
13	401	mon04_1_6	{-33014.8,9798.6,177.2}	0	4001003	4	0	
14	402	mon04_2_2	{-35538.4,11858.8,521.8}	0	5001018	4	0	
15	403	mon04_3_2	{-29238.0,10481.6,200.0}	0	5001019	4	0	
16	404	mon04_4_4	{-26097.1,10592.6,225.0}	0	4001004	4	0	
17	404	mon04_4_5	{-26398.9,11357.7,94.7}	0	4001004	4	0	
18	404	mon04_4_6	{-26564.0,11703.5,94.7}	0	4001003	4	0	
19	405	mon04_5_3	{-24558.4,12210.1,717.1}	0	4001004	4	0	
20	405	mon04_5_4	{-24892.8,12135.6,717.1}	0	4001006	4	0	
21	406	mon04_6_2	{-25853.6,3497.1,1549.3}	0	5001001	4	0	
22	407	mon04_7_2	{-34616.8,6250.9,441.4}	0	5001009	4	0	
23	408	mon04_8_3	{-28642.4,5117.9,375.2}	0	4001006	4	0	
24	408	mon04_8_4	{-28316.5,5480.5,1017.7}	0	4001007	4	0	
25	409	mon04_9_2	{-32556.3,11586.7,985.4}	0	4001006	4	0	
26	610	mon06_10_1	{-10463.1,2580.6,19.1}	0	4001004	6	0	
27	610	mon06_10_2	{-10428.8,2283.6,95.5}	0	5002010	6	0	
28	611	mon06_11_1	{-10666.3,10182.0,-305.4}	0	4001004	6	0	
29	611	mon06_11_2	{-10761.3,10384.5,-328.9}	0	5001010	6	0	
30	612	mon06_12_1	{-15015.9,8151.0,-331.2}	0	4001004	6	0	
31	612	mon06_12_2	{-15236.4,8247.7,-331.2}	0	5001018	6	0	
32	613	mon06_13_1	{-18735.9,17156.3,420.6}	0	4001004	6	0	
33	613	mon06_13_2	{-20130.9,17589.7,96.6}	0	5001019	6	0	
34	613	mon06_13_3	{-20130.9,17264.7,96.6}	0	4001004	6	0	
35	614	mon06_14_1	{194.1,19816.3,80.4}	0	4001004	6	0	
36	614	mon06_14_2	{194.1,19566.3,80.4}	0	4001006	6	0	
37	614	mon06_14_3	{194.1,19286.3,80.4}	0	4001004	6	0	
38	614	mon06_14_4	{-175.9,20026.3,80.4}	0	5001001	6	0	
39	615	mon06_15_1	{2369.1,931.3,80.4}	0	4001006	6	0	
40	615	mon06_15_2	{2139.1,1216.3,80.4}	0	4001007	6	0	
41	601	mon06_1_2	{-15656.7,5099.0,422.8}	0	4001005	6	0	
42	602	mon06_2_2	{-9303.1,5950.4,578.0}	0	5001001	6	0	
43	603	mon06_3_2	{-14519.5,7832.8,-1127.9}	0	4001006	6	0	
44	604	mon06_4_2	{-7027.9,12396.1,591.6}	0	4001007	6	0	
45	605	mon06_5_2	{-19214.7,7455.2,60.7}	0	5002010	6	0	
46	606	mon06_6_2	{-3528.3,13194.4,10.2}	0	5001010	6	0	
47	607	mon06_7_3	{-2317.8,9026.3,21.8}	0	4001006	6	0	
48	607	mon06_7_4	{-2592.1,9732.0,21.8}	0	4001007	6	0	
49	608	mon06_8_3	{-2894.5,3876.5,39.4}	0	4001004	6	0	
50	608	mon06_8_4	{-3177.2,4176.2,39.4}	0	4001003	6	0	
51	609	mon06_9_3	{-17328.2,11849.9,20.5}	0	4001002	6	0	
52	609	mon06_9_4	{-17344.4,11527.3,20.5}	0	4001003	6	0	
53	910	mon09_10_1	{490.8,-14201.1,80.4}	0	4001003	9	0	
54	910	mon09_10_2	{221.3,-14089.6,80.4}	0	4001002	9	0	
55	911	mon09_11_1	{-10039.1,-18166.7,80.4}	0	4001004	9	0	
56	911	mon09_11_2	{-9792.3,-18151.8,80.4}	0	4008013	9	0	
