Id	点名	位置	任务区域	怪物Id	所属设计区域	特殊奖励	任务ID(对应task开启时不刷）
Index	PointName	Position	RegionId	MonId	DRegion	DropGroup	TaskId
1	mon01_1_1	{-44665.6,34066.3,95.6}	15	4001003	1	0	{101}
2	mon01_2_1	{-47743.6,27541.9,660.0}	15	4001004	1	0	{103,105}
3	mon01_2_2	{-47769.8,27444.4,660.0}	15	4001003	1	0	{103,105}
4	mon01_3_1	{-43468.1,27288.1,744.5}	13	4001002	1	0	{103,105}
5	mon01_5_1	{-39299.6,18337.5,80.4}	25	4001003	1	0	{205}
6	mon01_5_2	{-39589.7,18345.7,80.4}	25	4001004	1	0	{205}
9	mon01_6_1	{-40143.1,22463.2,364.6}	25	4001006	1	0	{205}
10	mon01_6_2	{-39292.3,22477.9,435.4}	25	4001004	1	0	{205}
12	mon01_7_1	{-40165.2,33924.7,95.6}	15	4001004	1	0	{101}
13	mon01_7_2	{-40874.5,33968.2,143.6}	15	4001004	1	0	{101}
14	mon01_8_1	{-41498.9,20828.4,95.6}	12	4001002	1	0	{102,105}
15	mon01_8_2	{-42089.4,20951.4,410.6}	15	4001003	1	0	{102,105}
16	mon01_9_1	{-46481.8,20687.5,95.6}	12	4001003	1	0	{102,105}
17	mon01_9_2	{-46758.2,20665.1,95.6}	12	4001004	1	0	{102,105}
18	mon02_10_1	{-34417.0,21953.0,1210.2}	24	5002010	2	0	{205,206}
19	mon02_11_1	{-36457.1,22949.6,619.6}	25	4001006	2	0	{205,206}
21	mon02_12_1	{-30529.4,23264.7,619.6}	25	4001004	2	0	{205,206}
23	mon02_13_1	{-35300.5,18736.2,1149.6}	23	4001004	2	0	{205,206}
24	mon02_13_2	{-33994.1,19101.0,1149.6}	23	4001004	2	0	{205,206}
26	mon02_14_1	{-29281.9,25619.3,502.5}	25	4001002	2	0	{205,206}
27	mon02_15_1	{-33589.1,24463.4,696.3}	25	4001002	2	0	{205,206}
28	mon02_1_1	{-34144.0,19502.0,95.2}	23	4001004	2	0	{205,206}
29	mon02_1_2	{-34196.0,18979.1,95.6}	23	4001003	2	0	{205,206}
30	mon02_2_1	{-24405.0,18090.0,188.0}	21	5001113	2	0	{201,205,206}
31	mon02_3_1	{-28316.6,21375.6,951.4}	23	4002002	2	0	{201,205,206}
32	mon02_3_2	{-27681.4,22192.1,684.0}	25	4001004	2	0	{201,205,206}
35	mon02_4_1	{-27446.4,28500.4,435.4}	25	4001106	2	0	{203,205,206}
36	mon02_5_1	{-24457.6,28771.7,95.6}	25	5001111	2	0	{203,205,206}
37	mon02_6_1	{-35412.9,27321.3,123.6}	25	4001108	2	0	{202,205,206}
39	mon02_7_1	{-33544.0,26983.0,123.6}	22	4001108	2	0	{202,205,206}
40	mon02_8_1	{-31520.3,28969.5,123.6}	25	4001004	2	0	{202,205,206}
41	mon02_8_2	{-31869.6,28620.2,123.6}	25	4001004	2	0	{202,205,206}
42	mon02_9_1	{-26676.2,24592.7,395.4}	25	4001108	2	0	{203,205,206}
44	mon04_10_1	{-28248.5,12863.3,563.6}	44	4002002	4	0	{403}
45	mon04_1_1	{-33686.2,9157.0,94.7}	43	4001004	4	0	{402,403,405}
46	mon04_1_2	{-32946.8,10049.5,94.7}	43	4001003	4	0	{402,403,405}
47	mon04_1_3	{-33014.8,9798.6,177.2}	43	4001004	4	0	{402,403,405}
48	mon04_2_1	{-35538.4,11858.8,521.8}	43	4001002	4	0	{402,403,405}
49	mon04_3_1	{-29238.0,10481.6,200.0}	43	4001006	4	0	{403,406}
50	mon04_4_1	{-26097.1,10592.6,225.0}	43	5001001	4	0	{403,406}
51	mon04_4_2	{-26398.9,11357.7,94.7}	43	4001004	4	0	{403,406}
52	mon04_4_3	{-26564.0,11703.5,94.7}	43	4001006	4	0	{403,406}
53	mon04_5_1	{-24558.4,12210.1,717.1}	43	4001005	4	0	{403,406}
54	mon04_5_2	{-24892.8,12135.6,717.1}	43	4001005	4	0	{403,406}
55	mon04_6_1	{-25853.6,3497.1,1549.3}	43	4001017	4	0	{401,404}
56	mon04_7_1	{-34616.8,6250.9,441.4}	42	5001110	4	0	{402,404}
57	mon04_8_1	{-28642.4,5117.9,375.2}	43	4001006	4	0	{401,402,404}
58	mon04_8_2	{-28316.5,5480.5,1017.7}	43	4001002	4	0	{401,402,404}
59	mon04_9_1	{-32556.3,11586.7,985.4}	43	4001002	4	0	{403,405}
60	mon06_10_1	{-10763.5,1665.1,574.9}	61	0	6	0	{601,602}}
62	mon06_11_1	{-10624.2,2890.6,19.1}	61	4001103	6	0	{601,602}}
64	mon06_12_1	{-10355.9,9774.3,-305.4}	61	4001003	6	0	{601,602}}
66	mon06_13_1	{-11109.8,10599.6,-328.9}	61	4001103	6	0	{601,602}}
68	mon06_14_1	{-14836.2,8159.1,-331.2}	61	4001108	6	0	{601}
70	mon06_15_1	{-15323.5,8519.6,-331.2}	61	4001003	6	0	{601}
71	mon06_1_1	{-15656.7,5099.0,422.8}	61	4001102	6	0	{601}
77	mon06_2_1	{-9303.1,5950.4,578.0}	61	4001102	6	0	{602}
81	mon06_3_1	{-14519.5,7832.8,-1127.9}	61	5002010	6	0	{601,603}}
88	mon06_4_1	{-7027.9,12396.1,591.6}	61	4001106	6	0	{604}
92	mon06_5_1	{-19214.7,7455.2,60.7}	44	4001108	6	0	{606}
94	mon06_6_1	{-3528.3,13194.4,10.2}	0	4001108	6	0	{604}
96	mon06_7_1	{-2317.8,9026.3,21.8}	0	4001106	6	0	{605}
97	mon06_7_2	{-2592.1,9732.0,21.8}	0	4001114	6	0	{605}
99	mon06_8_1	{-2894.5,3876.5,39.4}	65	4001103	6	0	{605}
100	mon06_8_2	{-3177.2,4176.2,39.4}	65	4001102	6	0	{605}
103	mon06_9_1	{-17328.2,11849.9,20.5}	61	5001101	6	0	{606}
104	mon06_9_2	{-17344.4,11527.3,20.5}	61	5001111	6	0	{606}
105	mon07_11_1	{-37626.5,4725.3,129.8}	0	4001108	7	0	
106	mon07_11_2	{-37726.5,5105.3,129.8}	0	4001108	7	0	
107	mon07_11_3	{-37286.5,5025.3,129.8}	0	4001108	7	0	
109	mon07_12_1	{-29252.8,812.2,80.4}	0	4001005	7	0	
110	mon07_12_2	{-28652.8,752.2,80.4}	0	4001005	7	0	
111	mon07_12_3	{-27773.0,719.7,354.5}	0	4001005	7	0	
113	mon07_1_1	{-31915.9,14621.3,353.5}	0	4001015	7	0	
114	mon07_1_2	{-30905.9,15616.3,353.5}	0	4001015	7	0	
115	mon07_1_3	{-31455.9,15301.3,80.4}	0	5001001	7	0	
118	mon07_2_1	{-18735.9,17156.3,420.6}	0	4001002	7	0	
119	mon07_2_2	{-20130.9,17876.3,96.6}	0	4001006	7	0	
120	mon07_2_3	{-20130.9,17551.3,96.6}	0	4001006	7	0	
122	mon07_3_1	{194.1,19816.3,80.4}	0	4001004	7	0	
123	mon07_3_2	{194.1,19566.3,80.4}	0	4001004	7	0	
124	mon07_3_3	{194.1,19286.3,80.4}	0	4001004	7	0	
125	mon07_3_4	{-175.9,20026.3,80.4}	0	4003016	7	0	
126	mon07_4_1	{2369.1,931.3,80.4}	0	4001112	7	0	
127	mon07_4_2	{2139.1,1216.3,80.4}	0	4001112	7	0	
128	mon07_5_1	{490.8,-14201.1,80.4}	112	4001006	7	0	
129	mon07_5_2	{221.3,-14089.6,80.4}	112	4001007	7	0	
130	mon07_6_1	{-10039.1,-18166.7,80.4}	0	4001004	7	0	
131	mon07_6_2	{-9792.3,-18151.8,80.4}	0	4001007	7	0	
132	mon07_7_1	{-19122.7,-18353.6,90.4}	0	4001006	7	0	
133	mon07_7_2	{-19017.7,-18258.6,90.4}	0	4001006	7	0	
134	mon07_8_1	{-20515.0,-10975.2,95.9}	0	4001006	7	0	
135	mon07_8_2	{-19725.6,-10655.0,96.5}	0	4001004	7	0	
137	mon09_14_1	{-12690.6,-6871.3,95.6}	95	4001006	9	0	{901,902,906}
138	mon09_15_1	{-7490.6,-5731.3,95.6}	96	4001007	9	0	{901,902,906}
139	mon09_1_1	{-15057.3,-2691.1,60.0}	92	4001004	9	0	{902,906}
140	mon09_1_2	{-14713.9,-4538.9,1073.0}	92	4001004	9	0	{902,906}
141	mon09_21_1	{-818.5,-6047.7,95.6}	0	4001002	9	0	
142	mon09_2_1	{-18955.8,-7445.0,112.5}	0	4001003	9	0	
143	mon09_2_2	{-19029.0,-8354.9,112.5}	0	4001004	9	0	
145	mon09_3_1	{-3312.6,-4893.5,420.0}	94	4002002	9	0	{904}
146	mon09_3_2	{-4832.0,-4169.0,60.0}	94	4001006	9	0	{904}
148	mon09_4_1	{-13769.3,-16145.6,95.6}	95	4001003	9	0	{905}
149	mon09_4_2	{-13648.4,-15694.5,95.6}	95	4001004	9	0	{905}
150	mon09_5_1	{-8801.4,-17343.2,418.4}	0	4001002	9	0	
151	mon09_7_1	{-17212.7,-8710.1,-1370.0}	91	5002010	9	0	{901,906}
153	mon09_8_1	{-17430.1,-14094.2,95.6}	95	4001004	9	0	{905}
154	mon09_8_2	{-17005.1,-14003.5,95.6}	95	4001003	9	0	{905}
156	mon09_9_1	{-8878.1,-3503.9,-869.6}	93	4001006	9	0	{903,906}
157	mon09_9_2	{-10215.5,-3005.6,-887.4}	93	4001006	9	0	{903,906}
158	mon11_1_2	{289.4,-21159.7,339.3}	112	4001102	11	0	{1102,1103}
159	mon11_2_1	{169.5,-31741.3,80.4}	111	4001106	11	0	{1101,1102}
160	mon11_3_1	{305.0,-23431.1,97.7}	112	4001106	11	0	{1102,1103}
161	mon11_4_1	{187.4,-27929.3,97.7}	112	4001106	11	0	{1102}
162	mon12_10_1	{-5119.8,-51461.2,95.6}	122	0	12	0	{1202}
163	mon12_10_3	{-7142.8,-50483.9,80.4}	122	4002006	12	0	{1202}
164	mon12_1_1	{-9425.8,-43880.4,95.6}	124	4001004	12	0	{1204}
165	mon12_1_2	{-7939.2,-42047.6,95.6}	124	4001004	12	0	{1204}
166	mon12_1_3	{-9671.9,-42821.3,95.6}	124	0	12	0	{1204}
167	mon12_2_1	{-2638.6,-46801.8,95.6}	0	4002003	12	0	{1202}
168	mon12_2_2	{-5840.7,-47795.2,700.0}	122	4001003	12	0	{1202}
169	mon12_2_3	{-4566.4,-48184.1,95.6}	122	4001004	12	0	{1202}
170	mon12_3_1	{-7390.0,-41470.0,95.6}	124	4002002	12	0	{1201,1204}
171	mon12_3_2	{-8390.0,-43150.0,95.6}	124	4002002	12	0	{1201,1204}
172	mon12_4_1	{-13599.8,-44571.2,1455.0}	124	4001002	12	0	{1204}
173	mon12_4_2	{-12432.8,-45043.9,1439.4}	124	4002002	12	0	{1204}
174	mon12_5_1	{-13300.5,-51459.6,95.6}	123	4001005	12	0	{1203,1206}
175	mon12_5_2	{-11760.7,-51605.2,95.6}	123	4001006	12	0	{1203,1206}
176	mon12_5_3	{-13887.4,-49713.5,95.6}	123	5001001	12	0	{1203,1206}
177	mon12_6_1	{-9910.5,-45929.6,357.7}	124	4001002	12	0	{1203,1206}
178	mon12_6_2	{-8227.4,-45303.5,95.6}	124	4001006	12	0	{1203,1206}
179	mon12_6_3	{-8270.7,-48145.2,95.6}	122	4001006	12	0	{1203,1206}
180	mon11_5_1	{-672.6,-34529.3,97.7}	111	4001104	11	0	{1101,1102}
181	mon11_5_2	{-870.2,-34240.4,403.3}	111	4001102	11	0	{1101,1102}
182	mon13_10_3	{12456.4,-51622.9,95.6}	133	5001111	13	0	{1303}
183	mon13_11_1	{2775.1,-51638.6,-1019.6}	134	4001103	13	0	{1304}
184	mon13_11_2	{2563.0,-51184.9,-1019.6}	134	4001103	13	0	{1304}
186	mon13_1_1	{4759.9,-39465.2,60.0}	135	4001004	13	0	{1305}
187	mon13_1_2	{4067.4,-36765.1,60.0}	0	4001002	13	0	{1305}
189	mon13_2_1	{6401.7,-45597.1,60.0}	0	4001003	13	0	
190	mon13_2_2	{6978.7,-45172.1,60.0}	0	4001004	13	0	
191	mon09_16_1	{-15386.0,-17253.5,95.6}	0	4001003	9	0	
192	mon13_3_1	{1922.4,-40696.1,478.0}	0	4001002	13	0	
