所属区域	Id(程序自动生成)	点名	位置	旋转	类型	对应的配置Id	自定义参数	所属设计区域
Area	Id	Name	Pos	Rot	Type	Index	CustomParam	DRegion
09	4	point_task_95	{-11329.0,-13458.01,605.0}	{0.0,0.0,0.0}	4	101		0
	5	point_task_96	{-10329.0,-7668.01,-949.99}	{0.0,0.0,0.0}	4	101		0



112	6	point_task_112	{384.35,-27044.16,0.01}	{0.0,0.0,0.0}	4	101		0



123	7	point_task_123	{-14807.39,-50984.12,0.0}	{0.0,0.0,0.0}	4	101		0



124	8	point_task_124	{-12666.49,-44336.92,0.0}	{0.0,0.0,0.0}	4	101		0



146	9	point_task_146	{-5195.62,-74904.63,-2095.0}	{0.0,0.0,0.0}	4	101		0



147	10	point_task_147	{-6423.5,-70537.45,10.0}	{0.0,0.0,0.0}	4	101		0



15	11	point_task_15	{-43635.9,27144.3,127.36}	{0.0,0.0,0.0}	4	101	{42}	0



25	12	point_task_25	{-33411.33,20131.74,14.84}	{0.0,0.0,0.0}	4	101		0



26	13	point_task_26	{-29751.22,26704.29,14.84}	{0.0,0.0,0.0}	4	101		0



43	14	point_task_43	{-34222.98,10071.55,14.25}	{0.0,0.0,0.0}	4	101		0



44	15	point_task_44	{-26911.17,5533.59,144.57}	{0.0,0.0,0.0}	4	101		0



61	16	point_task_61	{-13733.37,5357.87,-130.43}	{0.0,0.0,0.0}	4	101	{61}	0



Int00	17	int00_108_1	{-34590.0,33200.0,-1720.0}	{0.0,0.0,90.0}	1	108		0
	18	int00_109_1	{-35886.73,34246.91,-1719.46}	{0.0,0.0,-155.0}	1	109		0
	19	int00_118_1	{-39268.0,32664.4,-895.0}	{0.0,0.0,89.99}	1	107	{0}	0



Int01	20	int01_101_1	{-42789.0,30939.99,-126.8}	{0.0,0.0,159.97}	1	101	{11}	1
	21	int01_101_2	{-46523.66,18692.88,15.24}	{0.0,0.0,48.81}	1	101	{12}	1
	22	int01_101_3	{-43315.29,27832.62,664.49}	{0.0,0.0,-42.64}	1	101	{13}	1
	23	int01_101_4	{-42381.76,36946.66,-847.9}	{0.0,0.0,-85.61}	1	101	{14}	1
	24	int01_102_1	{-43634.27,29326.43,56.04}	{-5.82,-19.99,90.0}	1	102		1
	25	int01_102_10	{-41002.36,18365.99,273.85}	{0.0,20.0,49.99}	1	102		1
	26	int01_102_11	{-42267.0,21845.9,26.87}	{41.43,0.0,0.0}	1	102		1
	27	int01_102_12	{-42432.31,36719.45,-849.08}	{5.0,-4.99,0.0}	1	102		1
	28	int01_102_13	{-41458.89,35218.31,-923.48}	{5.0,-30.54,0.0}	1	102		1
	29	int01_102_14	{-40051.1,30078.99,20.72}	{0.0,23.99,0.0}	1	102		1
	30	int01_102_15	{-40474.01,21497.99,15.24}	{0.0,-28.33,0.0}	1	102		1
	31	int01_102_16	{-40583.37,19273.27,32.12}	{0.0,37.94,-28.72}	1	102		1
	32	int01_102_17	{-40537.0,17015.02,752.94}	{0.0,-34.32,90.0}	1	102		1
	33	int01_102_18	{-43571.0,19175.99,661.04}	{0.0,-19.99,90.0}	1	102		1
	34	int01_102_19	{-44807.33,17080.08,53.53}	{27.59,11.94,0.88}	1	102		1
	35	int01_102_2	{-41224.32,38578.18,214.62}	{0.0,25.53,0.0}	1	102		1
	36	int01_102_20	{-42753.04,37328.15,-923.48}	{5.0,-30.54,67.78}	1	102		1
	37	int01_102_21	{-44202.0,22155.87,-131.87}	{27.6,-17.18,43.67}	1	102		1
	38	int01_102_22	{-41964.32,23011.07,17.87}	{0.0,36.22,-179.99}	1	102		1
	39	int01_102_23	{-40469.41,24831.13,283.44}	{0.0,-30.0,69.99}	1	102		1
	40	int01_102_24	{-41359.43,28309.29,669.8}	{-3.92,0.0,36.39}	1	102		1
	41	int01_102_25	{-44477.02,41147.49,13.59}	{0.0,25.53,133.59}	1	102		1
	42	int01_102_26	{-44319.86,25353.68,47.82}	{0.0,24.7,-33.17}	1	102		1
	43	int01_102_27	{-43231.52,20774.9,-207.2}	{-12.09,18.39,-44.56}	1	102		1
	44	int01_102_28	{-40474.01,23820.2,15.24}	{-4.01,-33.94,-8.61}	1	102		1
	45	int01_102_29	{-43734.94,35264.27,12.67}	{-7.3,11.93,8.48}	1	102		1
	46	int01_102_3	{-45713.54,29137.52,4.22}	{26.15,-17.11,-32.2}	1	102		1
	47	int01_102_30	{-38634.25,24330.98,15.24}	{0.0,0.0,0.0}	1	102		1
	48	int01_102_31	{-39915.99,18623.49,15.24}	{-8.05,-9.82,80.37}	1	102		1
	49	int01_102_32	{-40096.0,32602.98,33.54}	{-10.02,-9.81,89.99}	1	102		1
	50	int01_102_33	{-46007.64,17531.62,21.83}	{25.64,6.65,-83.33}	1	102		1
	51	int01_102_34	{-46702.88,22487.89,32.06}	{18.03,32.31,174.53}	1	102		1
	52	int01_102_39	{-45082.96,32221.06,13.7}	{35.27,-2.98,-41.72}	1	102		1
	53	int01_102_4	{-40476.54,18539.25,29.59}	{-29.39,0.0,72.36}	1	102		1
	54	int01_102_40	{-41797.81,25873.9,669.27}	{0.0,29.29,0.33}	1	102		1
	55	int01_102_41	{-41928.07,24981.15,122.21}	{-28.83,-16.5,-12.69}	1	102		1
	56	int01_102_42	{-41974.13,25274.69,135.81}	{-13.96,38.17,-37.37}	1	102		1
	57	int01_102_43	{-41585.27,28474.84,205.4}	{0.0,21.07,0.0}	1	102		1
	58	int01_102_49	{-41168.7,34787.72,610.51}	{-179.99,-49.99,-139.99}	1	102		1
	59	int01_102_5	{-39826.73,28810.47,78.84}	{-4.2,31.48,-1.4}	1	102		1
	60	int01_102_6	{-41101.25,26420.99,132.86}	{0.0,32.0,0.0}	1	102		1
	61	int01_102_7	{-43352.15,23964.55,18.97}	{23.3,21.09,19.97}	1	102		1
	62	int01_102_8	{-41900.78,31677.02,-198.24}	{-10.53,27.23,34.07}	1	102		1
	63	int01_102_9	{-46573.88,25870.98,-397.99}	{10.34,11.02,34.03}	1	102		1
	64	int01_103_1	{-39593.0,19869.98,15.2}	{0.0,0.0,0.0}	1	103	{7215}	1
	65	int01_103_2	{-40869.0,32630.98,122.61}	{0.0,0.0,0.0}	1	103	{7221}	1
	66	int01_103_3	{-42033.0,36759.98,-698.25}	{0.0,0.0,0.0}	1	103	{7223}	1
	67	int01_104_1	{-42461.42,34681.26,-914.06}	{0.0,0.0,90.0}	1	104		1
	68	int01_104_10	{-45144.56,22040.73,63.04}	{0.0,0.0,0.0}	1	104		1
	69	int01_104_11	{-40062.92,18442.96,358.7}	{0.0,0.0,0.0}	1	104		1
