ID	区域	//备注	开放时间	解锁条件（1 账号等级 2 前置关卡）	dlc期数	类型（1主线 2复刷）	关卡列表	星级奖励 {{10,{{G,D,P,L,N},{G,D,P,L,N}}},{20,{{G,D,P,L,N},{G,D,P,L,N}}}}	概念图	关卡排序
ID	Coverage	Comment	OpenTime	Condition	DLCID	Type	Level	StarAward	Picture	LevelSort
1	0		{202308071000,202309210400}	{{1,1}}	1	1	{4001,4002,4003,4004,4005,4006,4007,4008,4009,4010,4011,4012,4020,4021,4022,4023,4024,4025,4026,4027,4028,4031,4032,4033,4034,4035}	{{12,{{5,23,1,1,20},{4,3,1,1,2000}}},{24,{{5,23,1,1,30},{4,3,1,1,3000}}},{33,{{4,3,2,1,60},{5,23,1,1,40},{4,3,1,1,4000}}}}	1800001	{{4020,4031},4021,4001,4002,{4022,4032},4023,4003,4004,4005,{4024,4033},4006,4007,4008,4009,{4025,4034},4010,4026,4011,4027,{4028,4035},4012}
2	0		{202308071000,202309210400}	{{1,1}}	1	2	{4101,4102,4103,4104,4105,4106}		1800001	{4101,4102,4103,4104,4105,4106}
3	0		{202309211000,202311020400}	{{1,1}}	2	2	{410,411,412,413,414,415}		1800001	{410,411,412,413,414,415}
4	0	dlc3主线	{202311021000,202312140400}	{{1,1}}	3	1	{4401,4402,4403,4404,4405,4406,4407,4408,4421,4422,4423,4424,4425,4426,4427,4428,4429,4431,4432}	{{8,{{4,1,10,1,10},{4,3,1,1,2000}}},{16,{{4,3,2,1,30},{4,1,10,1,20},{4,3,1,1,3000}}},{24,{{4,3,2,1,60},{4,1,10,1,30},{4,3,1,1,5000}}}}	1800001	{4421,{4401,4431},4402,4422,4403,4423,4404,4424,4405,4425,4426,4406,4427,4407,{4432,4408},4428,4429}
5	0	dlc3材料本	{202311021000,202312140400}	{{1,1}}	3	2	{4450,4451,4452,4453,4454}		1800001	{4450,4451,4452,4453,4454}
6	0	dlc4材料本	{202312141000,202401180400}	{{1,1}}	4	2	{4600,4601,4602,4603,4604,4605}		1800001	{4600,4601,4602,4603,4604,4605}
7	0	dlc5材料本	{202401181000,202403070400}	{{1,1}}	5	2	{4800,4801,4802,4803,4804,4805}		1800001	{4800,4801,4802,4803,4804,4805}
8	0	dlc6材料本	{202403071000,202404180400}	{{1,1}}	6	2	{5200,5201,5202,5203,5204,5205}		1800001	{5200,5201,5202,5203,5204,5205}
9	0	dlc7主线	{202404181000,202405300400}	{{1,1}}	7	1	{5401,5402,5403,5404,5405,5406,5407,5408,5421,5422,5423,5424,5425,5426,5427,5428,5429,5435}	{{8,{{5,29,3,1,10},{4,3,1,1,2000}}},{16,{{4,3,2,1,30},{5,29,3,1,20},{4,3,1,1,3000}}},{24,{{4,3,2,1,60},{5,29,3,1,30},{4,3,1,1,5000}}}}	1800001	{5421,5422,5401,5423,5402,5403,5424,5425,5404,5405,5426,5406,5427,5407,5428,5408,{5429,5435}}
