ID	//备注	关卡类型(0、通常关,1、Boss关,2、st剧情,3、重要,4、爬塔关,5、Boss挑战关,6、联机,7、ep剧情)	地图ID	战斗逻辑配置ID	解锁条件(1：账号等级；2：Level ID,3：是否拥有某道具,4：曜日本专用是否通关xx关卡)	体力消耗(包含进入和通关)	星级条件 {{1,300},{1,180},{2,2}}	出场怪物信息{{怪物编号,等级(填0不显示等级)}}	怪物强度模板	关卡详情是否显示怪物列表 0或不配显示奖励列表 1显示怪物列表	推荐战力	战斗力增减等级数	是否允许多重战斗	是否显示再次挑战	下一关ID	玩家经验值	角色经验值	队伍规则	时效性队伍规则：{{试用Id,开启时间}}，有多组时最先开放的配最左边	首次达成星级奖励	首通掉落ID	固定掉落ID	随机掉落ID	UI展示固定物品{{G,D,P,L,N}}	UI展示随机物品{{G,D,P,L,N}}	UI展示首通物品{{G,D,P,L,N}}	Boss概念图	关卡概念图	任务资源	dlc版本	关卡倒计时	是否直接进入剧情（1直接进入）	是否返回编队界面（1返回，不配进入下一关）	是否使用玩家最后使用的编队（1使用，不配不使用）	点击下一关返回章节列表（1返回，不配进入下一关）	能力适应阶段ID，对应level_adaptation.txt表	BuffEx
ID	Comments	Type	MapID	FightID	Condition	ConsumeVigor	StarCondition	Monster	LevelStrength	ShowListType	RecommendPower	RecommendLevelOffset	MultipleFight	AgainFight	NextID	PlayerExp	RoleExp	TeamRuleID	TimlyTeamRule	StarAward	FirstDropID	BaseDropID	RandomDropID	ShowAward	ShowRandomAward	ShowFirstAward	PictureBoss	PictureLevel	TaskPath	DLCVersion	LevelTime	NoSlotStory	OpenNextLevelTeam	UseLastTeam	BackChapter	RoleAdapteId	BuffEx
4001	CH01-L01-No.3	0	4001	1	{{2,4021}}	{0,0}	{{4,1,sp_weapontype5},{21,10},{9}}	{400901302,400101301,4001602,4001606}	1	0			0	0	4002			4001		{}	{7000}					{{4,3,2,1,50},{5,23,1,2,1}}		1801010	Dlc1Task01/Dlc1_Task01_01.Dlc1_Task01_01					1			
4002	CH01-L02-No.4	0	4002	1	{{2,4001}}	{0,0}	{{4,1,sp_weapontype5},{21,10},{9}}	{400901302,400101301,4001602,4001603,4001604,4001605}	1	0			0	0	4022			4001		{}	{7000}					{{4,3,2,1,50},{5,23,1,2,1}}		1801010	Dlc1Task01/Dlc1_Task01_02.Dlc1_Task01_02					1			
4003	CH01-L03	0	4003	1	{{2,4023}}	{0,0}	{{4,1,sp_weapontype5},{21,10},{9}}	{4001602,4001603,4001604,4001605,5001601}	1	0			0	0	4004			4001		{}	{7000}					{{4,3,2,1,50},{5,23,1,2,1}}		1801010	Dlc1Task01/Dlc1_Task01_03.Dlc1_Task01_03					1			
4004	CH01-L04	0	4004	1	{{2,4003}}	{0,0}	{{4,1,sp_weapontype5},{21,10},{9}}	{4001602,4001603,4001604,4001605,400101303,400101602}	1	0			0	0	4005			4002		{}	{7000}					{{4,3,2,1,50},{5,23,1,2,1}}		1801011	Dlc1Task01/Dlc1_Task01_04.Dlc1_Task01_04					1			
4005	CH01-L05	0	4005	1	{{2,4004}}	{0,0}	{{4,1,sp_weapontype5},{21,10},{9}}	{4001603,4001604,4001605,4001602}	1	0			0	0	4024			4002		{}	{7000}					{{4,3,2,1,50},{5,23,1,2,1}}		1801011	Dlc1Task01/Dlc1_Task01_05.Dlc1_Task01_05					1			
4006	CH01-L06	0	4006	1	{{2,4024}}	{0,0}	{{4,1,sp_weapontype5},{21,10},{9}}	{400101303,400701301,4001603,4001604,4001605,400101603}	1	0			0	0	4007			4002		{}	{7000}					{{4,3,2,1,50},{5,23,1,2,1}}		1801012	Dlc1Task01/Dlc1_Task01_06.Dlc1_Task01_06					1			
4007	CH01-L07	0	4007	1	{{2,4006}}	{0,0}	{{4,1,sp_weapontype5},{21,10},{9}}	{400101302,400101301,4001606,4001604,4001602,4001212,4001213}	1	0			0	0	4008			4001		{}	{7000}					{{4,3,2,1,50},{5,23,1,2,1}}		1801012	Dlc1Task01/Dlc1_Task01_07.Dlc1_Task01_07					1			
4008	CH01-L08	0	4008	1	{{2,4007}}	{0,0}	{{4,1,sp_weapontype5},{21,10},{9}}	{4001215,4001212,4001211,4001213}	1	0			0	0	4009			4001		{}	{7000}					{{4,3,2,1,50},{5,23,1,2,1}}		1801012	Dlc1Task01/Dlc1_Task01_08.Dlc1_Task01_08					1			
4009	CH01-L09	0	4009	1	{{2,4008}}	{0,0}	{{4,1,sp_weapontype5},{21,10},{9}}	{4001215,4001212,4001211,4001213,4001605,4001604,5001214}	1	0			0	0	4025			4001		{}	{7000}					{{4,3,2,1,50},{5,23,1,2,1}}		1801012	Dlc1Task01/Dlc1_Task01_09.Dlc1_Task01_09					1			
4010	CH01-L10	1	4010	1	{{2,4025}}	{0,0}	{{4,1,sp_weapontype5},{2,1},{9}}	{6001205}	1	0			0	0	4026			4001		{}	{7000}					{{4,3,2,1,50},{5,23,1,2,1}}	2200018	1801013	Dlc1Task01/Dlc1_Task01_10.Dlc1_Task01_10					1			
4011	CH01-L11	1	4011	1	{{2,4026}}	{0,0}	{{4,1,sp_weapontype5},{2,1},{9}}	{6001205}	1	0			0	0	4027			4004		{}	{7000}					{{4,3,2,1,50},{5,23,1,2,1}}	2200018	1801013	Dlc1Task01/Dlc1_Task01_11.Dlc1_Task01_11					1			
4012	CH01-L12	1	4012	1	{{2,4028}}	{0,0}		{6001205}	5	0			0	0						{}	{1009}					{{4,3,2,1,50}}	2200019	1801013	Dlc1Task01/Dlc1_Task01_12.Dlc1_Task01_12					1			
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
4020	Ep101-前序-No.1	7	50000	1	{{1,10}}	{0,0}							0	0	4021	0	0				{7001}			{{4,3,2,1,20},{5,23,1,2,1}}					Dlc1Task01/Dlc1_Task01_EP101.Dlc1_Task01_EP101			1					
4021	Ep102-No.2	7	50000	1	{{2,4020}}	{0,0}							0	0	4001	0	0				{7001}			{{4,3,2,1,20},{5,23,1,2,1}}					Dlc1Task01/Dlc1_Task01_EP102.Dlc1_Task01_EP102			1					
4022	DLC1-Ep2	7	50000	1	{{2,4002}}	{0,0}							0	0	4023	0	0				{7001}			{{4,3,2,1,20},{5,23,1,2,1}}					Dlc1Task01/Dlc1_Task01_EP02.Dlc1_Task01_EP02			1					
4023	DLC1-Ep3	7	50000	1	{{2,4022}}	{0,0}							0	0	4003	0	0				{7001}			{{4,3,2,1,20},{5,23,1,2,1}}					Dlc1Task01/Dlc1_Task01_EP03.Dlc1_Task01_EP03			1					
4024	DLC1-Ep4	7	50000	1	{{2,4005}}	{0,0}							0	0	4006	0	0				{7001}			{{4,3,2,1,20},{5,23,1,2,1}}					Dlc1Task01/Dlc1_Task01_EP04.Dlc1_Task01_EP04			1					
4025	DLC1-Ep5	7	50000	1	{{2,4009}}	{0,0}							0	0	4010	0	0				{7001}			{{4,3,2,1,20},{5,23,1,2,1}}					Dlc1Task01/Dlc1_Task01_EP05.Dlc1_Task01_EP05			1					
4026	DLC1-Ep6	7	50000	1	{{2,4010}}	{0,0}							0	0	4011	0	0				{7001}			{{4,3,2,1,20},{5,23,1,2,1}}					Dlc1Task01/Dlc1_Task01_EP06.Dlc1_Task01_EP06			1					
4027	DLC1-Ep7	7	50000	1	{{2,4011}}	{0,0}							0	0	4028	0	0				{7001}			{{4,3,2,1,20},{5,23,1,2,1}}					Dlc1Task01/Dlc1_Task01_EP07.Dlc1_Task01_EP07			1					
4028	DLC1-Ep8	7	50000	1	{{2,4027}}	{0,0}							0	0	0	0	0				{7001}			{{4,3,2,1,20},{5,23,1,2,1}}					Dlc1Task01/Dlc1_Task01_EP08.Dlc1_Task01_EP08			1					
																																					
