角色ID	注释（程序内不使用）	唯一（1为唯一出现，0为重复出现）	套组（用于buff分类成套）	Buff类型（1获得Modifire 2收益结算增加 3获得试用角色 4恢复行动力）	试用角色ID	SkillInfoId	收益结算增加百分比	价格	组别（用于buff图标归类）	图标	Buff名称	描述	描述备注	简略描述	在描述中的数值
ID	Desc	Only	Sets	Type	TrialID	Modifire	Percent	Price	Group	Icon	BuffName	Desc	DescComment	SimpleDesc	BuffParamPerCount
1001	安卡希雅-辉夜形态	1		3	100015			200			rogue.TxtShopRole	rogue.shoprole1			
1002	安卡希雅-「不予显示」	1		3	100001			100			rogue.TxtShopRole	rogue.shoprole2			
1003	鸣濑晴-旧日王牌	1		3	100007			100			rogue.TxtShopRole	rogue.shoprole3			
1004	恩雅-姐姐大人	1		3	100013			100			rogue.TxtShopRole	rogue.shoprole4			
1101	里芙-狂猎形态	1		3	103002			200			rogue.TxtShopRole	rogue.shoprole5			
1102	里芙-星期三	1		3	100002			100			rogue.TxtShopRole	rogue.shoprole6			
1103	琴诺-双面	1		3	100008			100			rogue.TxtShopRole	rogue.shoprole7			
1104	猫汐尔	1		3	100016			100			rogue.TxtShopRole	rogue.shoprole8			
1201	芙提雅-缄默形态	1		3	100014			200			rogue.TxtShopRole	rogue.shoprole9			
1202	a姬辰星-云篆	1		3	103001			200			rogue.TxtShopRole	rogue.shoprole10			
1203	芙提雅-小太阳	1		3	100004			100			rogue.TxtShopRole	rogue.shoprole11			
1204	a姬辰星	1		3	103004			100			rogue.TxtShopRole	rogue.shoprole12			
1301	芬妮-咎冠	1		3	100018			200			rogue.TxtShopRole	rogue.shoprole14			
1302	芬妮-黄金狮子	1		3	100009			100			rogue.TxtShopRole	rogue.shoprole15			
1303	妮塔-四手	1		3	100003			100			rogue.TxtShopRole	rogue.shoprole16			
1304	瑟瑞斯	1		3	103003			100			rogue.TxtShopRole	rogue.shoprole17			
1391	茉莉安-雨燕形态	1		3	100006			200			rogue.TxtShopRole	rogue.shoprole18			
1392	肴-冬至形态	1		3	100017			200			rogue.TxtShopRole	rogue.shoprole19			
1393	茉莉安-绷带小姐	1		3	100005			100			rogue.TxtShopRole	rogue.shoprole20			
1401	肴-养生专家	1		3	103005			100			rogue.TxtShopRole	rogue.shoprole21			
2001	恢复行动力	0		4				20		1001012	rogue.TxtShopMove	rogue.shopgoods2			
2002	战斗后获得的货币增加	1		2			50	50		1001011	rogue.buffname32	rogue.buff32	战斗后获得的青蓝之羽提升{1}%（下个节点生效）	rogue.buff32	{50}
3001	动能类型伤害提升60%	1		1		{8400012}		50		1001004	rogue.buffname33	rogue.buff33	动能类型伤害提升{1}%	rogue.buff33	{60}
3002	高温类型伤害提升60%	1		1		{8400013}		50		1001004	rogue.buffname34	rogue.buff34	高温类型伤害提升{1}%	rogue.buff34	{60}
3003	低温类型伤害提升60%	1		1		{8400014}		50		1001004	rogue.buffname35	rogue.buff35	低温类型伤害提升{1}%	rogue.buff35	{60}
