事件ID	备注	事件标题	事件标题备注	选项1	选项1备注	选项1切换后文本	后飘文本	选项1说明	选项效果1（1=回血，2=消耗代币回复生命，3=消耗生命回复代币，4=获得buff(对应buff.txt)，5=获得代币,6=进入战斗(对应level.txt)，7=消耗代币获得buff(对应buff.txt)，8=回复行动力）	选项2	选项2备注	选项2切换后文本	后飘文本	选项2说明	选项效果2	选项3	选项3备注	选项3切换后文本	后飘文本	选项3说明	选项效果3
ID	Comment	Title	TitleComment	Options1	Options1Comment	Options1Switch	Tips1	Tips1Comment	Effect1	Options2	Options2Comment	Options2Switch	Tips2	Tips2Comment	Effect2	Options3	Options3Comment	Options3Switch	Tips3	Tips3Comment	Effect3
1103	图1-上路-3路点	rogue.random1103		rogue.random1103desc1			rogue.random1103switch1	暴击率+	{4,1004}	rogue.random1103desc2			rogue.random1103switch2	换弹速度+	{4,1011}	rogue.random1103desc3			rogue.random1103switch3	弹匣容量+	{4,1003}
1104	图1-上路-4路点	rogue.random1104		rogue.random1104desc1			rogue.random1104switch1	暴击伤害+	{4,1002}	rogue.random1104desc2			rogue.random1104switch2	造成技能伤害后，射击伤害+，持续5秒，可叠5层	{4,4001}	rogue.random1104desc3			rogue.random1104switch3	回血	{1,25}
1107	图1-上路-7路点	rogue.random1107		rogue.random1107desc1			rogue.random1107switch1	瞄准射击伤害+	{4,1001}	rogue.random1107desc2			rogue.random1107switch2	弹匣容量-，射击伤害+（独立乘区）	{4,3002}	rogue.random1107desc3			rogue.random1107switch3	货币	{3,10,40}
1202	图1-中路-2路点	rogue.random1202		rogue.random1202desc1			rogue.random1202switch1	弹匣容量+	{4,1003}	rogue.random1202desc2			rogue.random1202switch2	防御力+	{4,1010}	rogue.random1202desc3			rogue.random1202switch3	战斗（货币+）	{6,4331}
1204	图1-中路-4路点	rogue.random1204		rogue.random1204desc1			rogue.random1204switch1	最大生命+	{4,1013}	rogue.random1204desc2			rogue.random1204switch2	瞄准射击伤害+	{4,1001}	rogue.random1204desc3			rogue.random1204switch3	常规技能使用间隔-	{4,1007}
1206	图1-中路-6路点	rogue.random1206		rogue.random1206desc1			rogue.random1206switch1	受到伤害降低-	{4,1012}	rogue.random1206desc2			rogue.random1206switch2	常规技能伤害+	{4,1005}	rogue.random1206desc3			rogue.random1206switch3	回血	{1,25}
1211	图1-中路-11路点	rogue.random1211		rogue.random1211desc1			rogue.random1211switch1	受治疗效果+	{4,1009}	rogue.random1211desc2			rogue.random1211switch2	防御力+	{4,1010}	rogue.random1211desc3			rogue.random1211switch3	瞄准射击伤害+	{4,1001}
1212	图1-中路-12路点	rogue.random1212		rogue.random1212desc1			rogue.random1212switch1	射击命中后恢复x生命，触发间隔y秒	{4,4005}	rogue.random1212desc2			rogue.random1212switch2	换弹速度+	{4,1011}	rogue.random1212desc3			rogue.random1212switch3	货币	{3,10,40}
1305	图1-下路-5路点	rogue.random1305		rogue.random1305desc1			rogue.random1305switch1	常规技能伤害+	{4,1005}	rogue.random1305desc2			rogue.random1305switch2	暴击率+	{4,1004}	rogue.random1305desc3			rogue.random1305switch3	回血	{1,25}
1306	图1-下路-6路点	rogue.random1306		rogue.random1306desc1			rogue.random1306switch1	爆发技能的伤害+	{4,1008}	rogue.random1306desc2			rogue.random1306switch2	切人后，常规技伤害+，持续n秒	{4,2004}	rogue.random1306desc3			rogue.random1306switch3	暴击伤害+	{4,1002}
1310	图1-下路-10路点	rogue.random1310		rogue.random1310desc1			rogue.random1310switch1	爆发技能量获取效率+	{4,1006}	rogue.random1310desc2			rogue.random1310switch2	生命-，常规技伤害+（独立乘区）	{4,3004}	rogue.random1310desc3			rogue.random1310switch3	货币	{3,10,40}
