商店期数（对应activities.txt）	所有类型	商品池1（最大概率为10000，每个商品池中刷新的商品总概率相加等于10000）	商品池2	是否可以重复购买（1=可以，0=否）	商品池3	是否可以重复购买（1=可以，0=否）	商品池4	是否可以重复购买（1=可以，0=否）	商品池5	是否可以重复购买（1=可以，0=否）	商品池6	是否可以重复购买（1=可以，0=否）
Periods	ID	Goods1	Goods2	Repeat2	Goods3	Repeat3	Goods4	Repeat4	Goods5	Repeat5	Goods6	Repeat6
101	1	{{1101,5000},{1202,5000}}	{{1204,3300},{1401,3300},{1304,3400}}	0	{{3028,3200},{3033,3400},{3034,3400}}	0	{{3018,3200},{3019,3400},{3024,3400}}	0	{{3003,5000},{3005,5000}}	0	{{3007,5000},{3008,5000}}	0
101	2	{{1101,5000},{1202,5000}}	{{1204,3300},{1401,3300},{1304,3400}}	0	{{3027,5000},{3032,5000}}	0	{{3015,3200},{3016,3400},{3021,3400}}	0	{{3001,3200},{3002,3400},{3004,3400}}	0	{{3009,4000},{3010,3000},{3011,3000}}	0
101	3	{{1101,5000},{1202,5000}}	{{1204,3300},{1401,3300},{1304,3400}}	0	{{3012,3200},{3013,3400},{3017,3400}}	0	{{3014,3200},{3025,3400},{3029,3400}}	0	{{3001,3200},{3003,3400},{3005,3400}}	0	{{3007,4000},{3008,3000},{3009,3000}}	0
101	4	{{1101,5000},{1202,5000}}	{{1204,3300},{1401,3300},{1304,3400}}	0	{{3018,3200},{3023,3400},{3030,3400}}	0	{{3012,3200},{3014,3400},{3015,3400}}	0	{{3002,3200},{3003,3400},{3004,3400}}	0	{{3009,3000},{3010,4000},{3011,3000}}	0
101	5	{{1101,5000},{1202,5000}}	{{1204,3300},{1401,3300},{1304,3400}}	0	{{3019,3200},{3035,3400},{3036,3400}}	0	{{3029,3200},{3031,3400},{3032,3400}}	0	{{3025,3200},{3026,3400},{3027,3400}}	0	{{2002,1600},{3001,1700},{3002,1700},{3004,1700},{3007,1600},{3008,1700}}	0
101	6	{{1101,5000},{1202,5000}}	{{1204,3300},{1401,3300},{1304,3400}}	0	{{3006,3200},{3020,3400},{3028,3400}}	0	{{3018,3200},{3021,3400},{3034,3400}}	0	{{3016,3200},{3024,3400},{3033,3400}}	0	{{3005,2000},{3009,2000},{3010,2000},{3011,2000},{3022,2000}}	0
101	7	{{1101,2000},{1202,2000},{1204,2000},{1401,2000},{1304,2000}}	{{3006,1400},{3012,1500},{3014,1400},{3015,1500},{3016,1400},{3018,1400},{3024,1400}}	0	{{3013,2500},{3019,2500},{3020,2500},{3022,2500}}	0	{{3017,1400},{3021,1500},{3023,1400},{3025,1500},{3026,1400},{3027,1400},{3028,1400}}	0	{{3029,2500},{3030,2500},{3031,2500},{3032,2500}}	0	{{3033,2500},{3034,2500},{3035,2500},{3036,2500}}	0
102	1	{{1101,5000},{1202,5000}}	{{1204,3300},{1401,3300},{1304,3400}}	0	{{3028,3200},{3033,3400},{3034,3400}}	0	{{3018,3200},{3019,3400},{3024,3400}}	0	{{3003,5000},{3005,5000}}	0	{{3007,5000},{3008,5000}}	0
102	2	{{1101,5000},{1202,5000}}	{{1204,3300},{1401,3300},{1304,3400}}	0	{{3025,5000},{3029,5000}}	0	{{3012,5000},{3020,5000}}	0	{{3002,3200},{3003,3400},{3004,3400}}	0	{{3009,3000},{3010,3000},{3011,4000}}	0
102	3	{{1101,5000},{1202,5000}}	{{1204,3300},{1401,3300},{1304,3400}}	0	{{3021,3200},{3023,3400},{3030,3400}}	0	{{3013,3200},{3014,3400},{3017,3400}}	0	{{3004,3200},{3011,3400},{3022,3400}}	0	{{3001,2500},{3002,2500},{3009,2500},{3010,2500}}	0
102	4	{{1101,5000},{1202,5000}}	{{1204,3300},{1401,3300},{1304,3400}}	0	{{3031,3200},{3032,3400},{3034,3400}}	0	{{3020,3200},{3025,3400},{3027,3400}}	0	{{3015,3200},{3016,3400},{3024,3400}}	0	{{2002,2000},{3001,2000},{3002,2000},{3009,2000},{3010,2000}}	0
102	5	{{1101,5000},{1202,5000}}	{{1204,3300},{1401,3300},{1304,3400}}	0	{{3012,3200},{3021,3400},{3022,3400}}	0	{{3017,3200},{3018,3400},{3019,3400}}	0	{{3007,3200},{3008,3400},{3011,3400}}	0	{{3003,3000},{3004,3000},{3005,4000}}	0
102	6	{{1101,2000},{1202,2000},{1204,2000},{1401,2000},{1304,2000}}	{{3006,1400},{3012,1500},{3014,1400},{3015,1500},{3016,1400},{3018,1400},{3024,1400}}	0	{{3013,2500},{3019,2500},{3020,2500},{3022,2500}}	0	{{3017,1400},{3021,1500},{3023,1400},{3025,1500},{3026,1400},{3027,1400},{3028,1400}}	0	{{3029,2500},{3030,2500},{3031,2500},{3032,2500}}	0	{{3033,2500},{3034,2500},{3035,2500},{3036,2500}}	0
103	1	{{1101,5000},{1202,5000}}	{{1204,3300},{1401,3300},{1304,3400}}	0	{{3028,3200},{3033,3400},{3034,3400}}	0	{{3018,3200},{3019,3400},{3024,3400}}	0	{{3003,5000},{3005,5000}}	0	{{3007,5000},{3008,5000}}	0
103	2	{{1101,5000},{1202,5000}}	{{1204,3300},{1401,3300},{1304,3400}}	0	{{3025,5000},{3029,5000}}	0	{{3012,5000},{3020,5000}}	0	{{3002,3200},{3003,3400},{3004,3400}}	0	{{3009,3000},{3010,3000},{3011,4000}}	0
103	3	{{1101,5000},{1202,5000}}	{{1204,3300},{1401,3300},{1304,3400}}	0	{{3021,3200},{3023,3400},{3030,3400}}	0	{{3013,3200},{3014,3400},{3017,3400}}	0	{{3004,3200},{3011,3400},{3022,3400}}	0	{{3001,2500},{3002,2500},{3009,2500},{3010,2500}}	0
103	4	{{1101,5000},{1202,5000}}	{{1204,3300},{1401,3300},{1304,3400}}	0	{{3031,3200},{3032,3400},{3034,3400}}	0	{{3020,3200},{3025,3400},{3027,3400}}	0	{{3015,3200},{3016,3400},{3024,3400}}	0	{{2002,2000},{3001,2000},{3002,2000},{3009,2000},{3010,2000}}	0
103	5	{{1101,5000},{1202,5000}}	{{1204,3300},{1401,3300},{1304,3400}}	0	{{3012,3200},{3021,3400},{3022,3400}}	0	{{3017,3200},{3018,3400},{3019,3400}}	0	{{3007,3200},{3008,3400},{3011,3400}}	0	{{3003,3000},{3004,3000},{3005,4000}}	0
103	6	{{1101,2000},{1202,2000},{1204,2000},{1401,2000},{1304,2000}}	{{3006,1400},{3012,1500},{3014,1400},{3015,1500},{3016,1400},{3018,1400},{3024,1400}}	0	{{3013,2500},{3019,2500},{3020,2500},{3022,2500}}	0	{{3017,1400},{3021,1500},{3023,1400},{3025,1500},{3026,1400},{3027,1400},{3028,1400}}	0	{{3029,2500},{3030,2500},{3031,2500},{3032,2500}}	0	{{3033,2500},{3034,2500},{3035,2500},{3036,2500}}	0
