组id	buff类型	buffid	备注	buff等级	随机权重	可获得次数								
GroupId	TypeId	BuffId	Comment	Level	Weight	AvailableTimes								
101	1001	1001	1级奇遇-攻击类	1	1000	2								
101	1001	1002	1级奇遇-攻击类	1	1000	2								
101	1001	1003	1级奇遇-攻击类	1	1000	2								
101	1002	1004	1级奇遇-恢复类	1	1000	1								
101	1002	1005	1级奇遇-恢复类	1	1000	1								
101	1002	1006	1级奇遇-技能类	1	1000	1								
101	1003	1007	1级奇遇-技能类	1	1000	1								
101	1003	1008	2级奇遇-攻击类	2	1000	1								
101	1003	1009	2级奇遇-攻击类	2	1000	1					根据天赋和难度取得buff库，buff库内的buff会分不同类型，配置时会规定玩家能获得的类型，实际buff即从对应类型中随机抽取			
101	1003	1010	2级奇遇-攻击类	2	1000	1					会有一个通用库，用于在以上算法无法取得任何buff时提供最保底的buff			
101	1004	1011	2级奇遇-恢复类	2	1000	1								
101	1004	1012	2级奇遇-恢复类	2	1000	1					商店和事件都支持使用固定id而不是buff库的配置			
101	1004	1013	2级奇遇-技能类	2	1000	1								
101	1004	1014	2级奇遇-技能类	2	1000	1								
101		1015	1级诅咒	1										
101		1016	1级诅咒	1										
			1级奇遇-攻击类											
			1级奇遇-攻击类											
			1级奇遇-攻击类											
			1级奇遇-恢复类											
			1级奇遇-恢复类						type	等级1	等级2	等级3	等级4	等级5
			1级奇遇-技能类						常规全局buff（奇遇）	1001	1002	1003	1004	1005
			1级奇遇-技能类						核心全局buff（宝藏）	2001	2002	2003	2004	2005
			2级奇遇-攻击类						常规个人buff（奇遇）	3001	3002	3003	3004	3005
			2级奇遇-攻击类						核心个人buff（祝福）	4001	4002	4003	4004	4005
			2级奇遇-攻击类						诅咒	5001	5002	5003	5004	5005
			2级奇遇-恢复类											
			2级奇遇-恢复类											
			2级奇遇-技能类											
			2级奇遇-技能类											
			1级诅咒											
			1级诅咒											
