商店ID	商品ID	GDPLN	Up定向池的限制，配置格式为{{定向卡池ID1,所选卡池ID…},{定向卡池ID2,所选卡池ID…}…}	//备注	固定位置	后置商品ID（需要按ID顺序解锁时配）	解锁条件	购买逻辑	售价	限购类型	限购数量	拥有数量限制（超过则不可购买）	超过限购提示（1或不配显示售罄标签，2显示下次刷新倒计时）	折扣类型（1按比例，2超值）	折扣{{概率,比例或超值}...}	上线时间	下线时间	是否隐藏限时标签	是否未上架时进行显示	是否提示防沉迷	是否显示后勤专属角色角标（1=显示，0或不配=不显示）	扩展参数
ShopId	GoodsId	GDPLN	GachaUpLimit	Common	PosIndex	NextID	Condition	Class	Price1	LimitType	LimitNum	LimitHaveNum	Tips	DiscountType	Discount	Begin	End	HideLimit	NotBeginShow	Addiction	ShowSupportHead	tbParam
101	10101	{1,13,1,1,1}		瑟瑞丝	1	10102		ordinary	{5,23,1,2,25}	5	1											
101	10102	{5,4,13,1,1}		瑟瑞丝碎片	1			ordinary	{5,23,1,1,15}	5	60											
101	10103	{6,5,118,1,1}		澄泥砚·辅助模块	3			ordinary	{5,23,1,1,150}	5	1											
101	10104	{5,1,1,3,8}		战斗记录3	12			ordinary	{5,23,1,1,18}	5	10											
101	10105	{5,1,1,4,5}		战斗记录4	8			ordinary	{5,23,1,1,35}	5	5											
101	10106	{5,9,1,2,10}		光纤轴突	13			ordinary	{5,23,1,1,18}	5	20											
101	10107	{5,9,1,3,1}		量子胞体	5			ordinary	{5,23,1,1,75}	5	6											
101	10108	{5,2,1,3,8}		强化套件3	14			ordinary	{5,23,1,1,18}	5	10											
101	10109	{5,2,1,4,5}		强化套件4	9			ordinary	{5,23,1,1,35}	5	5											
101	10110	{5,5,1,1,10}		合成颗粒	18			ordinary	{5,23,1,1,9}	5	10											
101	10111	{5,5,1,2,10}		芳烃塑料	15			ordinary	{5,23,1,1,18}	5	10											
101	10112	{5,5,1,3,4}		单极纤维	11			ordinary	{5,23,1,1,18}	5	10											
101	10113	{5,5,1,4,1}		碳原子板	4			ordinary	{5,23,1,1,100}	5	4											
101	10114	{5,3,1,3,8}		职级认证丙	16			ordinary	{5,23,1,1,16}	5	30											
101	10115	{5,3,1,4,5}		职级认证丁	10			ordinary	{5,23,1,1,30}	5	15											
101	10116	{5,6,1,2,1}		重修申请	6			ordinary	{5,23,1,1,75}	5	5											
101	10117	{4,3,1,1,10000}		通用银	17			ordinary	{5,23,1,1,15}	5	20											
101	10118	{4,1,6,5,100}		家具币	7			ordinary	{5,23,1,1,50}	5	6											
101	10119	{7,14,2,2,1}		云篆皮肤	2			ordinary	{5,23,1,1,400}	5	1											
																						
102	10205	{2,5,10,1,1}		欢喜	1			ordinary	{5,23,1,1,300}													
102	10201	{3,1,28,1,1}		赭毫	2			ordinary	{5,23,1,1,50}													
102	10202	{3,2,28,1,1}		玄铠	3			ordinary	{5,23,1,1,50}													
102	10203	{3,3,28,1,1}		金琅	4			ordinary	{5,23,1,1,50}													
102	10204	{4,3,1,1,200}		通用银	5			ordinary	{5,23,1,1,1}													
																						
103	10301	{5,21,1,5,1}		角色UP券	1			ordinary	{4,1,6,2,50}	5	5											
103	10302	{6,1,121,1,1}		集中点	2			ordinary	{4,1,6,2,100}	5	1											
103	10303	{2,4,11,1,1}		野蜂尾针	3			ordinary	{4,1,6,3,150}	5	1											
103	10304	{5,1,1,3,8}		战斗记录3	5			ordinary	{4,1,6,3,16}	5	15											
103	10305	{5,1,1,4,5}		战斗记录4	6			ordinary	{4,1,6,3,30}	5	8											
103	10306	{5,9,1,2,10}		光纤轴突	7			ordinary	{4,1,6,3,16}	5	30											
103	10307	{5,9,1,3,1}		量子胞体	8			ordinary	{4,1,6,3,75}	5	10											
103	10308	{5,2,1,3,8}		强化套件3	9			ordinary	{4,1,6,3,16}	5	10											
103	10309	{5,2,1,4,5}		强化套件4	10			ordinary	{4,1,6,3,30}	5	5											
103	10310	{5,5,1,1,10}		合成颗粒	11			ordinary	{4,1,6,3,8}	5	10											
103	10311	{5,5,1,2,10}		芳烃塑料	12			ordinary	{4,1,6,3,16}	5	10											
103	10312	{5,5,1,3,4}		单极纤维	13			ordinary	{4,1,6,3,16}	5	10											
103	10313	{5,5,1,4,1}		碳原子板	14			ordinary	{4,1,6,3,100}	5	5											
103	10314	{5,3,1,3,8}		职级认证丙	15			ordinary	{4,1,6,3,16}	5	30											
103	10315	{5,3,1,4,5}		职级认证丁	16			ordinary	{4,1,6,3,30}	5	15											
103	10316	{5,6,1,2,1}		重修申请	17			ordinary	{4,1,6,3,75}	5	10											
103	10317	{4,1,6,5,100}		家具币	18			ordinary	{4,1,6,2,25}	5	6											
103	10318	{4,3,1,1,15000}		通用银	19			ordinary	{4,1,6,3,20}	5	40											
																						
104	10401	{3,1,29,1,1}		s惠比寿	1			ordinary	{4,1,6,3,50}													
104	10402	{3,2,29,1,1}		s八雷神	2			ordinary	{4,1,6,3,50}													
104	10403	{3,3,29,1,1}		s火神	3			ordinary	{4,1,6,3,50}													
104	10405	{2,4,11,1,1}		野蜂尾针	4			ordinary	{4,1,6,3,300}													
104	10404	{4,3,1,1,200}		通用银	6			ordinary	{4,1,6,3,1}													
																						
105	10501	{5,21,1,5,1}		天启者共鸣誓约	4			ordinary	{22,40}	5	5											
105	10502	{6,2,123,1,1}		本相琥珀	3			ordinary	{22,200}	5	1											
105	10503	{2,1,14,1,1}		浮浪s	8			ordinary	{16,150}	5	1											
105	10504	{5,1,1,3,8}		战斗记录3	13			ordinary	{16,16}	5	15											
105	10505	{5,1,1,4,5}		战斗记录4	9			ordinary	{16,30}	5	8											
105	10506	{5,9,1,2,10}		光纤轴突	14			ordinary	{16,16}	5	30											
105	10507	{5,9,1,3,1}		量子胞体	7			ordinary	{16,75}	5	10											
105	10508	{5,2,1,3,8}		强化套件3	15			ordinary	{16,16}	5	10											
105	10509	{5,2,1,4,5}		强化套件4	10			ordinary	{16,30}	5	5											
105	10510	{5,5,1,1,10}		合成颗粒	20			ordinary	{16,8}	5	10											
105	10511	{5,5,1,2,10}		芳烃塑料	16			ordinary	{16,16}	5	10											
105	10512	{5,5,1,3,4}		单极纤维	11			ordinary	{16,16}	5	10											
