任务组分页ID	任务ID（注意：任务ID不能超过65500）	刷新规则(不配置为不刷新 1为每日刷新 2为每周刷新)	组ID，选取数量	权重	备注	分页名	任务名	任务介绍	任务或成就图标	标签{"颜色ID","表.key"})	排序	解锁条件	未解锁隐藏	前置任务id	领取奖励后是否在列表中显示	任务类型	检查值	扩展参数 不填为不限制	可执行次数	奖励列表	开始时间,格式	结束时间，格式同开始时间	隐藏倒计时	跳转界面	跳转参数	条件跳转	背景图	背景SPINE	地区限制目前可填：0国内外,1国内,2海外
GroupID	MissionID	RefreshRule	SelectRule	Weight	Common	GroupDes	Name	Describe	Icon	Tag	Priority	Condition	LockHide	PreID	ReceivedShow	Type	CheckValue	Param	FinishLimit	Rewards	StartTime	EndTime	HideTime	GotoUI	tbParam	ConditionGoto	BG	BGSpine	Coverage
1	10001	1			活动期间，登陆一次游戏	achievement_dlc.type1	achievement_dlc.Name3	achievement_dlc.Describe3		{"F8FBFF","achievement.icon1"}					1	11	1			{{5,23,1,1,5}}	[202308070400]	[202309210400]							
																													
1	10002				完成角色试用本——狂猎	achievement_dlc.type1	achievement_dlc.Name4	achievement_dlc.Describe4_1		{"46D8D9","achievement.icon3"}					1	2	1	{5001}		{{5,23,1,1,10},{4,3,1,1,2000}}	[202308310400]	[202309210400]				Activity.OpenActicity(25,2)			
																													
1	10004				完成角色试用本——云篆	achievement_dlc.type1	achievement_dlc.Name4	achievement_dlc.Describe4_3		{"46D8D9","achievement.icon3"}					1	2	1	{5002}		{{5,23,1,1,10},{4,3,1,1,2000}}	[202308070400]	[202308310400]				Activity.OpenActicity(18,3)			
1	10005				完成角色试用本——瑟瑞斯	achievement_dlc.type1	achievement_dlc.Name4	achievement_dlc.Describe4_4		{"46D8D9","achievement.icon3"}					1	2	1	{5003}		{{5,23,1,1,10},{4,3,1,1,2000}}	[202308070400]	[202308310400]				Activity.OpenActicity(18,4)			
																													
1	10006				完成关卡 丑·劫镖	achievement_dlc.type1	achievement_dlc.Name5	achievement_dlc.Describe5_4							1	2	1	{4001}		{{5,23,1,1,15},{4,3,1,1,2000}}	[202308070400]	[202309210400]	1	Dlc1Story	{1}				
1	10007				完成关卡 寅·内鬼	achievement_dlc.type1	achievement_dlc.Name5	achievement_dlc.Describe5_5							1	2	1	{4002}		{{5,23,1,1,15},{4,3,1,1,2000}}	[202308070400]	[202309210400]	1	Dlc1Story	{1}				
1	10008				完成关卡 卯·敌我	achievement_dlc.type1	achievement_dlc.Name5	achievement_dlc.Describe5_9							1	2	1	{4003}		{{5,23,1,1,15},{4,3,1,1,2000}}	[202308070400]	[202309210400]	1	Dlc1Story	{1}				
1	10009				完成关卡 辰·援护	achievement_dlc.type1	achievement_dlc.Name5	achievement_dlc.Describe5_10							1	2	1	{4004}		{{5,23,1,1,15},{4,3,1,1,2000}}	[202308070400]	[202309210400]	1	Dlc1Story	{1}				
1	10010				完成关卡 巳·游船	achievement_dlc.type1	achievement_dlc.Name5	achievement_dlc.Describe5_11							1	2	1	{4005}		{{5,23,1,1,15},{4,3,1,1,2000}}	[202308070400]	[202309210400]	1	Dlc1Story	{1}				
1	10011				完成关卡 午·混乱	achievement_dlc.type1	achievement_dlc.Name5	achievement_dlc.Describe5_14							1	2	1	{4006}		{{5,23,1,1,15},{4,3,1,1,2000}}	[202308070400]	[202309210400]	1	Dlc1Story	{1}				
1	10012				完成关卡 未·情谊	achievement_dlc.type1	achievement_dlc.Name5	achievement_dlc.Describe5_15							1	2	1	{4007}		{{5,23,1,1,15},{4,3,1,1,2000}}	[202308070400]	[202309210400]	1	Dlc1Story	{1}				
1	10013				完成关卡 申·危机	achievement_dlc.type1	achievement_dlc.Name5	achievement_dlc.Describe5_16							1	2	1	{4008}		{{5,23,1,1,15},{4,3,1,1,2000}}	[202308070400]	[202309210400]	1	Dlc1Story	{1}				
1	10014				完成关卡 酉·逼临	achievement_dlc.type1	achievement_dlc.Name5	achievement_dlc.Describe5_17							1	2	1	{4009}		{{5,23,1,1,15},{4,3,1,1,2000}}	[202308070400]	[202309210400]	1	Dlc1Story	{1}				
1	10015				完成关卡 戌·败退	achievement_dlc.type1	achievement_dlc.Name5	achievement_dlc.Describe5_20							1	2	1	{4010}		{{5,23,1,1,15},{4,3,1,1,2000}}	[202308070400]	[202309210400]	1	Dlc1Story	{1}				
1	10016				完成关卡 亥·除厄	achievement_dlc.type1	achievement_dlc.Name5	achievement_dlc.Describe5_22							1	2	1	{4011}		{{5,23,1,1,15},{4,3,1,1,2000}}	[202308070400]	[202309210400]	1	Dlc1Story	{1}				
1	10017				完成关卡 子·免灾	achievement_dlc.type1	achievement_dlc.Name5	achievement_dlc.Describe5_26							1	2	1	{4012}		{{5,23,1,1,15},{4,3,1,1,2000}}	[202308070400]	[202309210400]	1	Dlc1Story	{1}				
																													
1	10018				完成起于子半·简单	achievement_dlc.type1	achievement_dlc.Name6	achievement_dlc.Describe6_1							1	2	1	{4101}		{{5,23,1,1,10},{4,3,1,1,2000}}	[202308070400]	[202309140400]		Dlc1Refresh	{2}				
