结局ID	注释	结局类型(1.魅魔，2.事业2 3.好感结局 4.普通事业结局)	结局名字	结局buff描述	解锁条件	剧情触发数值（坚毅 智识 温柔 魅力 幽默）	前置剧情	所属少女	好感剧情路径	论坛标题名字（事业才显示）	论坛标题内容	论坛配图	论坛评论id1	论坛评论id2	论坛评论id3	论坛评论id4	论坛评论id5	论坛评论id6	论坛回复1	论坛回复2	论坛回复3	论坛回复4	论坛回复5	论坛回复6
id	Nul	Type	Name	BuffDes	UnLockDes	tbAbilityLimit	PreStory	Girl	Path	BBSName	Content	Img	Reviewerid1	Reviewerid2	Reviewerid3	Reviewerid4			Reply1	Reply2	Reply3	Reply4	Reply5	Reply6
1	天下无双分析员	1	season_ui.TxtRichManLoveEnd1_Name	season_ui.TxtRichManLoveEndDes1	season_ui.TxtRichManLoveEndUnlockDes5	{520,520,520,520,520}	{23}			season_ui.TxtRichManLoveEnd1_Name	season_ui.TxtRichManLoveEnd1_des	2005	season_ui.TxtRichManLoveEnd1_reviewer1	season_ui.TxtRichManLoveEnd1_reviewer2	season_ui.TxtRichManLoveEnd1_reviewer3	season_ui.TxtRichManLoveEnd1_reviewer4			season_ui.TxtRichManLoveEnd1_repo1	season_ui.TxtRichManLoveEnd1_repo2	season_ui.TxtRichManLoveEnd1_repo3	season_ui.TxtRichManLoveEnd1_repo4		
2	模范长官	2	season_ui.TxtRichManLoveEnd2_Name	season_ui.TxtRichManLoveEndDes2	season_ui.TxtRichManLoveEndUnlockDes6	{400,400,400,400,400}				season_ui.TxtRichManLoveEnd2_Name	season_ui.TxtRichManLoveEnd2_des	2006	season_ui.TxtRichManLoveEnd1_reviewer1	season_ui.TxtRichManLoveEnd1_reviewer5	season_ui.TxtRichManLoveEnd1_reviewer2	season_ui.TxtRichManLoveEnd1_reviewer6			season_ui.TxtRichManLoveEnd2_repo1	season_ui.TxtRichManLoveEnd2_repo2	season_ui.TxtRichManLoveEnd2_repo3	season_ui.TxtRichManLoveEnd2_repo4		
3	心动大赢家	5	season_ui.TxtRichManLoveEnd3_Name	season_ui.TxtRichManLoveEndDes3	season_ui.TxtRichManLoveEndUnlockDes7	{400,400,400,400,400}				season_ui.TxtRichManLoveEnd3_Name	season_ui.TxtRichManLoveEnd3_des	2007	season_ui.TxtRichManLoveEnd1_reviewer1	season_ui.TxtRichManLoveEnd1_reviewer6	season_ui.TxtRichManLoveEnd1_reviewer2	season_ui.TxtRichManLoveEnd1_reviewer5			season_ui.TxtRichManLoveEnd3_repo1	season_ui.TxtRichManLoveEnd3_repo2	season_ui.TxtRichManLoveEnd3_repo3	season_ui.TxtRichManLoveEnd3_repo4		
4	妙语鼓励师（温柔≥350，幽默≥350）	4	season_ui.TxtRichManLoveEnd4_Name	season_ui.TxtRichManLoveEndDes4	season_ui.TxtRichManLoveEndUnlockDes8	{0,0,350,0,350}				season_ui.TxtRichManLoveEnd4_Name	season_ui.TxtRichManLoveEnd4_des	2008	season_ui.TxtRichManLoveEnd1_reviewer1						season_ui.TxtRichManLoveEnd4_repo1					
5	心理咨询师（智识≥350，温柔≥350）	4	season_ui.TxtRichManLoveEnd5_Name	season_ui.TxtRichManLoveEndDes5	season_ui.TxtRichManLoveEndUnlockDes9	{0,350,350,0,0}				season_ui.TxtRichManLoveEnd5_Name	season_ui.TxtRichManLoveEnd5_des	2008	season_ui.TxtRichManLoveEnd1_reviewer2	season_ui.TxtRichManLoveEnd1_reviewer1					season_ui.TxtRichManLoveEnd5_repo1	season_ui.TxtRichManLoveEnd5_repo2				
6	语言艺术家（智识≥350，幽默≥350）	4	season_ui.TxtRichManLoveEnd6_Name	season_ui.TxtRichManLoveEndDes6	season_ui.TxtRichManLoveEndUnlockDes10	{0,350,0,0,350}				season_ui.TxtRichManLoveEnd6_Name	season_ui.TxtRichManLoveEnd6_des	2008	season_ui.TxtRichManLoveEnd1_reviewer2						season_ui.TxtRichManLoveEnd6_repo1					
7	生活艺术家（智识≥350，魅力≥350）	4	season_ui.TxtRichManLoveEnd7_Name	season_ui.TxtRichManLoveEndDes7	season_ui.TxtRichManLoveEndUnlockDes11	{0,350,0,350,0}				season_ui.TxtRichManLoveEnd7_Name	season_ui.TxtRichManLoveEnd7_des	2008	season_ui.TxtRichManLoveEnd1_reviewer5	season_ui.TxtRichManLoveEnd1_reviewer2					season_ui.TxtRichManLoveEnd7_repo1	season_ui.TxtRichManLoveEnd7_repo2				
8	派对策划师（温柔≥350，魅力≥350）	4	season_ui.TxtRichManLoveEnd8_Name	season_ui.TxtRichManLoveEndDes8	season_ui.TxtRichManLoveEndUnlockDes12	{0,0,350,350,0}				season_ui.TxtRichManLoveEnd8_Name	season_ui.TxtRichManLoveEnd8_des	2009	season_ui.TxtRichManLoveEnd1_reviewer1	season_ui.TxtRichManLoveEnd1_reviewer2					season_ui.TxtRichManLoveEnd8_repo1	season_ui.TxtRichManLoveEnd8_repo2				
9	品质收藏家（魅力≥350，幽默≥350）	4	season_ui.TxtRichManLoveEnd9_Name	season_ui.TxtRichManLoveEndDes9	season_ui.TxtRichManLoveEndUnlockDes13	{0,0,0,350,350}				season_ui.TxtRichManLoveEnd9_Name	season_ui.TxtRichManLoveEnd9_des	2009	season_ui.TxtRichManLoveEnd1_reviewer2						season_ui.TxtRichManLoveEnd9_repo1					
10	杰出探险家（坚毅≥350，智识≥350）	4	season_ui.TxtRichManLoveEnd10_Name	season_ui.TxtRichManLoveEndDes10	season_ui.TxtRichManLoveEndUnlockDes14	{350,350,0,0,0}				season_ui.TxtRichManLoveEnd10_Name	season_ui.TxtRichManLoveEnd10_des	2009	season_ui.TxtRichManLoveEnd1_reviewer2	season_ui.TxtRichManLoveEnd1_reviewer6					season_ui.TxtRichManLoveEnd10_repo1	season_ui.TxtRichManLoveEnd10_repo2				
11	峭壁攀登者（坚毅≥350，温柔≥350）	4	season_ui.TxtRichManLoveEnd11_Name	season_ui.TxtRichManLoveEndDes11	season_ui.TxtRichManLoveEndUnlockDes15	{350,0,350,0,0}				season_ui.TxtRichManLoveEnd11_Name	season_ui.TxtRichManLoveEnd11_des	2010	season_ui.TxtRichManLoveEnd1_reviewer2	season_ui.TxtRichManLoveEnd1_reviewer5					season_ui.TxtRichManLoveEnd11_repo1	season_ui.TxtRichManLoveEnd11_repo2				
12	极限新星（坚毅≥350，魅力≥350）	4	season_ui.TxtRichManLoveEnd12_Name	season_ui.TxtRichManLoveEndDes12	season_ui.TxtRichManLoveEndUnlockDes16	{350,0,0,350,0}				season_ui.TxtRichManLoveEnd12_Name	season_ui.TxtRichManLoveEnd12_des	2010	season_ui.TxtRichManLoveEnd1_reviewer2	season_ui.TxtRichManLoveEnd1_reviewer6					season_ui.TxtRichManLoveEnd12_repo1	season_ui.TxtRichManLoveEnd12_repo2				
13	诙谐的勇者（坚毅≥350，幽默≥350）	4	season_ui.TxtRichManLoveEnd13_Name	season_ui.TxtRichManLoveEndDes13	season_ui.TxtRichManLoveEndUnlockDes17	{350,0,0,0,350}				season_ui.TxtRichManLoveEnd13_Name	season_ui.TxtRichManLoveEnd13_des	2010	season_ui.TxtRichManLoveEnd1_reviewer1						season_ui.TxtRichManLoveEnd13_repo1					
14	事业-一星结局1	4	season_ui.TxtRichManLoveEnd14_Name	season_ui.TxtRichManLoveEndDes14	season_ui.TxtRichManLoveEndUnlockDes18	{180,0,0,0,0}				season_ui.TxtRichManLoveEnd14_Name	season_ui.TxtRichManLoveEnd14_des	2011												
15	事业-一星结局2	4	season_ui.TxtRichManLoveEnd15_Name	season_ui.TxtRichManLoveEndDes15	season_ui.TxtRichManLoveEndUnlockDes19	{0,180,0,0,0}				season_ui.TxtRichManLoveEnd15_Name	season_ui.TxtRichManLoveEnd15_des	2011												
16	事业-一星结局3	4	season_ui.TxtRichManLoveEnd16_Name	season_ui.TxtRichManLoveEndDes16	season_ui.TxtRichManLoveEndUnlockDes20	{0,0,180,0,0}				season_ui.TxtRichManLoveEnd16_Name	season_ui.TxtRichManLoveEnd16_des	2011												
17	事业-一星结局4	4	season_ui.TxtRichManLoveEnd17_Name	season_ui.TxtRichManLoveEndDes17	season_ui.TxtRichManLoveEndUnlockDes21	{0,0,0,180,0}				season_ui.TxtRichManLoveEnd17_Name	season_ui.TxtRichManLoveEnd17_des	2011												
18	事业-一星结局5	4	season_ui.TxtRichManLoveEnd18_Name	season_ui.TxtRichManLoveEndDes18	season_ui.TxtRichManLoveEndUnlockDes22	{0,0,0,0,180}				season_ui.TxtRichManLoveEnd18_Name	season_ui.TxtRichManLoveEnd18_des	2011												
19	平凡之路	4	season_ui.TxtRichManLoveEnd19_Name	season_ui.TxtRichManLoveEndDes19	season_ui.TxtRichManLoveEndUnlockDes23	{0,0,0,0,0}				season_ui.TxtRichManLoveEnd19_Name	season_ui.TxtRichManLoveEnd19_des	2011												
																								
20	里芙结局剧情	3	season_ui.TxtRichManLoveEndName20	season_ui.TxtRichManLoveEndDes20	season_ui.TxtRichManLoveEndUnlockDes1	{520,520,0,0,0}	{4}	1	Richman/girl002a_event_05			2001												
21	芬妮结局剧情	3	season_ui.TxtRichManLoveEndName21	season_ui.TxtRichManLoveEndDes21	season_ui.TxtRichManLoveEndUnlockDes2	{0,0,520,520,0}	{8}	2	Richman/girl008a_event_05			2003												
22	茉莉安结局剧情	3	season_ui.TxtRichManLoveEndName22	season_ui.TxtRichManLoveEndDes22	season_ui.TxtRichManLoveEndUnlockDes3	{0,520,0,0,520}	{12}	3	Richman/girl005a_event_05			2002												
23	后宫结局剧情	3	season_ui.TxtRichManLoveEndName23	season_ui.TxtRichManLoveEndDes23	season_ui.TxtRichManLoveEndUnlockDes4	{520,520,520,520,520}	{4,8,12}		Richman/girl_event_all			2004												
