地图组	//备注	地图Id	权重	事件类型	组合事件的子类型	房间Tag列表，逗号隔开	关卡诅咒（出现概率，诅咒库）	威胁值	代币掉落	战后Buff数量	随机buff库	道具宝箱物品(id+数量)	Buff宝箱	货币宝箱	休整回血比率和价格	复活回血比例和价格	休整解除诅咒价格	休整商店id	老虎机ID（id，次数，每次花费）	连战房间波次buff{buff库，等级区间，所需完成波数}
GroupId	Null	MapId	Weight	MapType	MapSubType	Tags	Curse	Danger	Drop	BuffNum	BuffGroups	ItemBox	BuffBox	CoinBox	RestHeal	RestRebirth	RestRemoveCurse	RestStoreId	BingoId	ChaosWaveBuff
start	出生点	1				start														
fight_easy	简单战斗	1001	10000	101		easy		3	30	2	{{101},{1,2}}									
fight_easy_vip	简单战斗-必出4级buff	1002	10000	101		easy		3	30	2	{{101},{4,4}}									
fight_easy_magic	简单战斗-必出附魔buff	1003	10000	101		easy		3	30	2	{{105},{1,3}}									
fight_easy_personal	简单战斗-必出个人buff	1004	10000	101		easy		3	30	2	{{104},{1,2}}									
fight_normal	普通战斗	2001	10000	101		normal	{100,601}	4	50	2	{{101},{2,3}}									
fight_normal_vip	普通战斗-必出4级buff	2002	10000	101		normal	{100,601}	4	50	2	{{101},{4,4}}									
fight_normal_magic	普通战斗-必出附魔buff	2003	10000	101		normal	{100,601}	4	50	2	{{105},{2,4}}									
fight_normal_personal	普通战斗-必出个人buff	2004	10000	101		normal	{100,601}	4	50	2	{{104},{2,3}}									
fight_hard	困难战斗	3001	10000	101		hard	{500,601}	5	60	2	{{101},{3,4}}									
fight_hard_vip	困难战斗-必出5级buff	3002	5000	101		hard	{500,601}	5	60	2	{{202},{4,5}}									
fight_hard_vip	困难战斗-必出5级buff且专属	3003	5000	101		hard	{500,601}	5	60	2	{{201},{4,5}}									
fight_hard_magic	困难战斗-必出附魔buff	3004	10000	101		hard	{500,601}	5	60	2	{{105},{4,5}}									
fight_hard_personal	困难战斗-必出个人buff	3005	10000	101		hard	{500,601}	5	60	2	{{104},{4,5}}									
fight_boss	boss-特别的4-5级库	4001	10000	102		boss	{2500,601}	4	120	2	{{203},{4,5}}									
fight_finboss	boss	4002	10000	102		boss		0												
																				
fight_hard_dlc9	困难战斗-dlc9奖励加强	3006	10000	101		hard	{400,601}	5	80	2	{{106},{3,5}}									
fight_boss_dlc9	boss-dlc9奖励加强	4003	10000	102		boss	{2000,601}	4	150	2	{{204},{4,5}}									
																				
fight_bonus_tianlou	趣味关-天楼	4101	10000	103		fun_area08		7												
fight_bonus_ball	滚球战斗	4102	10000	104		challenge		5	80	2	{{101},{3,4}}									
mystery	神秘房间	4201	10000	105		mystery		5												
																				
fight_infinity	无尽关卡	7001	10000	802		inf														
fight_chaos	连战激斗	7002	10000	106		chaos	{500,601}	4	100	2										{{{101},{2,3},1},{{101},{3,4},3},{{101},{4,5},6}}
																				
random_nofight_easy	非战斗随机-buff宝箱-3-4级buff	5001	2500	701	{5,2,3}	lounge		9					{{101},{3,4}}							
random_nofight_easy	非战斗随机-道具宝箱-1个一般道具	5002	1000	701	{5,2,3}	lounge		9				{{2,5,6},{1}}								
random_nofight_easy	非战斗随机-货币宝箱-60-80块	5003	2000	701	{5,2,3}	lounge		9						{60,80}						
random_nofight_easy	非战斗随机-商店-低级商店	5004	2500	701	{5,2,3}	lounge		9										101		
random_nofight_easy	非战斗随机-小休整	5005	2000	701	{5,2,3}	lounge		9							{3000,50}		50			
random_nofight_normal	非战斗随机-buff宝箱-4-5级buff	5101	2500	701	{5,2,3}	lounge		11					{{101},{4,5}}							
random_nofight_normal	非战斗随机-道具宝箱-2个一般道具	5102	1000	701	{5,2,3}	lounge		11				{{2,5,6},{2}}								
random_nofight_normal	非战斗随机-货币宝箱-90-120块	5103	2000	701	{5,2,3}	lounge		11						{90,120}						
random_nofight_normal	非战斗随机-商店-中级商店	5104	2500	701	{5,2,3}	lounge		11										102		
random_nofight_normal	非战斗随机-小休整	5105	2000	701	{5,2,3}	lounge		11							{3000,50}		50			
random_nofight_hard	非战斗随机-buff宝箱-5级buff	5201	2500	701	{5,2,3}	lounge		14					{{101},{5,5}}							
random_nofight_hard	非战斗随机-道具宝箱-1个好道具	5202	1000	701	{5,2,3}	lounge		14				{{1,3,4,6},{1}}								
random_nofight_hard	非战斗随机-货币宝箱-130-160块	5203	2000	701	{5,2,3}	lounge		14						{130,160}						
random_nofight_hard	非战斗随机-商店-高级商店	5204	2500	701	{5,2,3}	lounge		14										103		
random_nofight_hard	非战斗随机-小休整	5205	2000	701	{5,2,3}	lounge		14							{3000,50}		50			
																				
random_havefight_easy	含战斗随机-buff宝箱-3-4级buff	6001	2200	701	{1,5,2,3}	lounge		7					{{101},{3,4}}							
random_havefight_easy	含战斗随机-道具宝箱-1个一般道具	6002	800	701	{1,5,2,3}	lounge		7				{{2,5,6},{1}}								
random_havefight_easy	含战斗随机-货币宝箱-60-80块	6003	1000	701	{1,5,2,3}	lounge		7						{60,80}						
random_havefight_easy	含战斗随机-商店-低级商店	6004	1000	701	{1,5,2,3}	lounge		7										101		
random_havefight_easy	含战斗随机-小休整	6005	500	701	{1,5,2,3}	lounge		7							{3000,50}		50			
random_havefight_easy	含战斗随机-简单战斗	6006	4500	702	{1,5,2,3}	easy		7	10	2	{{101},{1,2}}									
random_havefight_normal	含战斗随机-buff宝箱-4-5级buff	6101	2200	701	{1,5,2,3}	lounge		9					{{101},{4,5}}							
random_havefight_normal	含战斗随机-道具宝箱-1个一般道具	6102	800	701	{1,5,2,3}	lounge		9				{{2,5,6},{1}}								
random_havefight_normal	含战斗随机-货币宝箱-90-120块	6103	1000	701	{1,5,2,3}	lounge		9						{90,120}						
random_havefight_normal	含战斗随机-商店-中级商店	6104	1000	701	{1,5,2,3}	lounge		9										102		
random_havefight_normal	含战斗随机-小休整	6105	500	701	{1,5,2,3}	lounge		9							{3000,50}		50			
random_havefight_normal	含战斗随机-普通战斗	6106	4500	702	{1,5,2,3}	normal	{100,601}	9	20	2	{{101},{2,3}}									
random_havefight_hard	含战斗随机-buff宝箱-5级buff	6201	2200	701	{1,5,2,3}	lounge		11					{{101},{5,5}}							
random_havefight_hard	含战斗随机-道具宝箱-1个好道具	6202	800	701	{1,5,2,3}	lounge		11				{{1,3,4,6},{1}}								
random_havefight_hard	含战斗随机-货币宝箱-130-160块	6203	1000	701	{1,5,2,3}	lounge		11						{130,160}						
random_havefight_hard	含战斗随机-商店-高级商店	6204	1000	701	{1,5,2,3}	lounge		11										103		
random_havefight_hard	含战斗随机-小休整	6205	500	701	{1,5,2,3}	lounge		11							{3000,50}		50			
random_havefight_hard	含战斗随机-困难战斗	6206	4500	702	{1,5,2,3}	hard	{500,601}	11	30	2	{{101},{3,4}}									
																				
shop_level1	商店-低级	7001	10000	601		lounge		13										101		
shop_level2	商店-中级	7002	10000	601		lounge		16										102		
shop_level3	商店-高级	7003	10000	601		lounge		20										103		
relx_normal	小休整	8001	10000	201		lounge		10							{3000,50}		50			
relx_rare_1	大休整-垃圾商店	8101	10000	201		lounge		16							{3000,50}	{3000,100}	50	101		
relx_rare_2	大休整-一般商店	8102	10000	201		lounge		20							{3000,50}	{3000,100}	50	102		
relx_rare_3	大休整-好商店	8103	10000	201		lounge		25							{3000,50}	{3000,100}	50	103		
bingo_level1	老虎机-低级（40块，2-4级buff）	7101	10000	602		gacha		25											{1,10,30}	
bingo_level2	老虎机-高级（100块，3-5级buff）	7102	10000	602		gacha		25											{2,5,50}	
																				
reward_easy	福利随机-buff宝箱-3-4级buff	9001	6500	401		lounge		10					{{101},{3,4}}							
reward_easy	福利随机-道具宝箱-1个一般道具	9002	1500	401		lounge		10				{{2,5,6},{1}}								
reward_easy	福利随机-货币宝箱-70-90块	9003	2000	401		lounge		10						{70,90}						
reward_normal	福利随机-buff宝箱-4-5级buff	9001	6500	401		lounge		13					{{101},{4,5}}							
reward_normal	福利随机-道具宝箱-2个一般道具	9002	1500	401		lounge		13				{{2,5,6},{2}}								
reward_normal	福利随机-货币宝箱-100-130块	9003	2000	401		lounge		13						{100,130}						
