地图Id	总Npc数量	Npc数据
Id	TotalNpc	NpcData
1001	8	{{4001004,2},{4001006,6}}
1002	12	{{4001002,2},{4001003,2},{4001004,8}}
1003	12	{{4001004,8},{4001006,2},{4001007,2}}
1004	10	{{4001004,6},{4001006,2},{4001007,2}}
1005	10	{{4001004,5},{4001005,2},{4001008,3}}
1006	10	{{4001004,3},{4001008,3},{4002003,2},{4002007,2}}
1007	10	{{5002010,2},{400901304,8}}
1008	14	{{4001103,4},{4001107,2},{4001108,4},{4001112,4}}
1009	5	{{5001019,1},{4008013,4}}
1010	3	{{5001110,1},{5002110,1},{5003110,1}}
1011	10	{{4001103,2},{4001108,3},{4001116,3},{4002106,2}}
1012	10	{{4001008,5},{4002006,2},{4002007,3}}
1013	10	{{4001004,5},{4001005,2},{4003006,3}}
1014	10	{{400100403,3},{400160202,5},{400160601,2}}
1015	10	{{4001108,5},{4001116,3},{4002103,2}}
1016	9	{{400130103,6},{400250602,3}}
1017	7	{{4001212,5},{400121102,2}}
1018	11	{{4001008,11}}
1019	7	{{4001603,7}}
1020	1	{{500110902,1}}
2001	18	{{4001004,3},{4001005,3},{4001008,12}}
2002	15	{{4001108,3},{400110802,12}}
2003	10	{{5001203,1},{4001212,9}}
2004	22	{{4001116,11},{4001301,11}}
2005	14	{{4001103,2},{4001108,3},{4001112,2},{4001116,5},{4002106,2}}
2006	14	{{4001103,2},{4001108,3},{4001112,2},{4001116,3},{4002103,2},{4003102,2}}
2007	14	{{4001211,2},{4001212,6},{4001213,2},{4001215,2},{4001216,2}}
2008	14	{{4001005,2},{4001007,3},{4002003,2},{4002004,3},{4002006,2},{400160601,2}}
2009	2	{{5001001,1},{5001019,1}}
2010	16	{{4001008,14},{4002002,2}}
2011	2	{{500110901,1},{500110902,1}}
2012	4	{{5001501,2},{5001504,2}}
2013	9	{{5001019,1},{4001002,2},{4001006,4},{4001017,2}}
2014	10	{{4001301,6},{4001303,2},{4001304,2}}
2015	11	{{4001215,2},{400121102,2},{400121203,7}}
2016	13	{{4001602,3},{400101603,1},{400101604,1},{400160302,2},{400160401,2},{400901302,4}}
2017	14	{{400130103,4},{400130403,5},{400250602,5}}
2018	14	{{4001212,7},{4001213,2},{4001215,2},{4001216,3}}
2019	14	{{4001108,3},{4001112,2},{4001114,3},{4001116,2},{4002103,2},{4002106,2}}
2020	14	{{4001005,2},{4001007,3},{4002003,2},{4002004,3},{4002006,2},{400160601,2}}
2021	14	{{4001004,3},{4002007,2},{4002016,2},{400160202,5},{400160601,2}}
2022	17	{{4001002,2},{4001005,9},{4002007,2},{4002016,2},{400160202,2}}
2023	11	{{5001302,1},{5001305,1},{4001301,2},{4001303,2},{4001304,3},{4001306,2}}
2024	16	{{4001602,3},{4001604,5},{4001605,4},{400160401,4}}
2025	16	{{5001402,1},{400130103,7},{400130403,2},{400150602,3},{400250602,3}}
2026	15	{{400110802,15}}
2027	7	{{5001209,1},{400121102,6}}
2028	11	{{4001602,7},{4001604,2},{400160302,2}}
2029	25	{{4001306,25}}
2030	3	{{5001110,1},{5002110,1},{5003110,1}}
2031	11	{{5001111,1},{4001108,3},{4001112,2},{4001116,3},{400111401,2}}
2032	14	{{4001007,3},{4002003,2},{4002004,3},{4002006,2},{4003016,2},{400160202,2}}
2033	10	{{4001212,5},{4001213,2},{4001215,3}}
2034	10	{{4001005,2},{4001007,2},{4001017,1},{4002003,2},{4002004,3}}
2035	12	{{5001402,1},{400130103,4},{400130403,2},{400250602,5}}
3001	11	{{5001019,1},{500201003,1},{400100403,1},{400901304,8}}
3002	10	{{5001010,1},{500201003,1},{4001002,2},{4001004,5},{4001016,1}}
3003	6	{{5001010,1},{4001004,2},{4001005,3}}
3004	18	{{500201003,1},{4001003,1},{4001008,11},{4001017,2},{400100304,1},{400100601,2}}
3005	2	{{5001501,1},{5001504,1}}
3006	2	{{5001018,1},{5001019,1}}
3007	6	{{4001004,1},{4001008,5}}
3008	1	{{6001003,1}}
3009	12	{{5001001,1},{4001002,1},{4001008,10}}
3010	11	{{5001019,1},{4001004,3},{4001008,5},{4001015,1},{4001017,1}}
3011	9	{{5001018,1},{5001019,1},{4002003,2},{4002004,5}}
3012	10	{{5001001,1},{5001019,1},{4002003,2},{4002004,3},{4003004,3}}
3013	12	{{5001402,1},{4001007,3},{400130103,4},{400130403,1},{400150602,3}}
3014	6	{{5001402,1},{400130103,3},{400350602,2}}
3015	6	{{5001019,1},{4001004,2},{4001017,1},{4002006,2}}
3016	3	{{5001207,1},{4001215,2}}
3017	1	{{5001505,1}}
3018	17	{{5001001,1},{5002010,1},{4001002,2},{4001003,3},{4001004,5},{4001007,3},{4002002,2}}
3019	14	{{5001010,1},{5001018,1},{4001003,1},{4001004,9},{4001006,2}}
3020	14	{{500201003,1},{4001002,2},{4001005,6},{4002007,2},{400160202,2},{400301609,1}}
3021	12	{{5001209,1},{400121102,2},{400121203,9}}
3022	9	{{500110901,1},{500110902,1},{400111601,7}}
3023	13	{{5001111,1},{4001104,1},{4001108,3},{4001116,3},{4002102,1},{4002103,2},{4003103,2}}
3024	13	{{5002110,1},{4001108,3},{4001114,2},{4001116,5},{4002106,1},{4003102,1}}
3025	12	{{5001402,1},{400130103,7},{400130403,3},{400150602,1}}
3026	12	{{500110901,1},{500110902,1},{4001103,2},{4001108,3},{4001116,5}}
3027	13	{{4001002,1},{4001104,1},{4001112,3},{4001114,2},{4002003,2},{4002004,3},{4002104,1}}
3028	12	{{5001019,1},{4001002,1},{4002004,3},{4002006,2},{4003003,2},{400100403,3}}
3029	11	{{5001019,1},{4001016,1},{4001017,1},{4002004,3},{400160202,5}}
3030	13	{{5001101,1},{5001110,1},{4001103,2},{4001112,3},{4001114,2},{4001116,3},{4002102,1}}
3031	8	{{5001203,1},{5001204,1},{400121102,6}}
3032	11	{{5001302,1},{5001308,1},{4001301,4},{4001304,3},{4001306,2}}
3033	14	{{5001601,1},{4001602,3},{4001604,3},{4001605,4},{400101602,1},{400160401,2}}
3034	11	{{5001402,1},{5001403,1},{400130103,6},{400250602,3}}
3035	11	{{5001018,1},{5001019,1},{4002003,2},{4002004,6},{4002016,1}}
3036	11	{{5001010,1},{4001004,3},{4001008,3},{4001016,1},{4001017,1},{4002004,2}}
3037	9	{{5001019,2},{4001008,2},{4002004,5}}
3038	12	{{5001101,1},{4001103,2},{4001108,3},{4001112,3},{4001114,2},{4002102,1}}
3039	6	{{5001402,1},{400130103,3},{400350602,2}}
