赛季ID	地图ID	点位id	位置	主线路追踪顺序	备注	初始状态（0隐藏 1可见）	解锁所需道具（藏宝图）	连线关系	点位类型（1起点，2奖励，3商店，4试用，5特殊门，6万能钥匙兑换，7buff）	点位类型为商店、特殊们时需要显示的icon	奖励道具	冒险道具奖励	试用角色ID	特殊门ID	BuffID
JourneyID	PeriodsID	ID	Position	CameraOrder	comment	DisplayStatus	UnlockCondition	Line	EventType	Icon	Reward	DoorUnlockItem	TrialID	DoorID	BuffID
2	1	1	1	23		1		{29}	2		{5,6,1,2,1}				
2	1	2	2	22		1		{28,29,30}	2		{4,1,6,5,30}				
2	1	3	3			1		{30}	2		{5,21,2,5,1}				
2	1	4	4	21		1		{27,28,51}	2		{13,1,14,1,1}				
2	1	5	5			1		{51}	2			{4,1}			
2	1	6	6	20		1		{26,27}	2		{5,6,1,2,1}				
2	1	7	7	19		1		{25,26}	2		{4,2,1,4,3}				
2	1	8	8	18		1		{24,25,50}	2		{5,5,1,3,3}				
2	1	9	9			0	{4,5,6}	{50}	2		{4,3,2,1,100}				
2	1	10	10	17		1		{23,24}	2		{4,3,1,1,60000}				
2	1	11	11	16		1		{21,22}	2		{5,6,1,2,1}				
2	1	12	12	15		1		{20,21,45}	2		{5,5,1,2,18}				
2	1	13	13			1		{45,46,47}	2		{5,5,1,3,3}				
2	1	14	14			1		{47,48}	2		{5,5,1,1,24}				
2	1	15	15			1		{48,49}	2		{5,6,1,2,1}				
2	1	16	16			1		{49}	2			{6,1}			
2	1	17	17			1		{46}	2			{9,1}			
2	1	18	18	14		1		{19,20,43}	2		{5,2,1,4,5}				
2	1	19	19	13		1		{18,19,42}	2		{4,3,1,1,40000}				
2	1	20	20			1		{43,44}	2		{5,21,2,5,1}				
2	1	21	21			1		{44}	2			{5,1}			
2	1	22	22			1		{42}	2			{3,1}			
2	1	23	23	12		1		{12,18}	2		{5,5,1,4,1}				
2	1	24	24			1		{10,11,41}	2		{5,5,1,2,12}				
2	1	25	25			0	{1,2,3}	{41}	2		{4,3,2,1,100}				
2	1	26	26	10		1		{16,17}	2			{1,1}			
2	1	27	27	9		1		{15,16,39}	2		{5,2,1,3,20}				
2	1	28	28			1		{14,15}	2		{5,6,1,2,1}				
