ID（不能修改，只能移除）	怪物id	//备注	//类型备注	掉落概率(多组，{数量,概率}, 概率从大到小配)(最大数量判断不要超过1023）	对应道具	怪物类型	铭牌最大数量
ID	MonsterId	Comment	TypeComment	DropRandom	Item	MonsterType	RikiMaxCount
1	4001002	灯泡-郊狼	普通	{{{40,10000},{20,1500},{0,600}},{{112,10000},{72,1500},{0,600}},{{200,10000},{152,1500},{0,600}}}	{4,1,27,1}	1	3
2	4001005	钢珠-郊狼	普通	{{{40,10000},{20,1500},{0,600}},{{112,10000},{72,1500},{0,600}},{{200,10000},{152,1500},{0,600}}}	{4,1,27,1}	1	3
3	4001006	喷壶-郊狼	普通	{{{40,10000},{20,1500},{0,600}},{{112,10000},{72,1500},{0,600}},{{200,10000},{152,1500},{0,600}}}	{4,1,27,1}	1	3
4	4001015	简易哨兵-郊狼	普通	{{{20,10000},{10,1500},{0,600}},{{56,10000},{36,1500},{0,600}},{{100,10000},{76,1500},{0,600}}}	{4,1,27,1}	1	3
5	4001017	链斧-郊狼	普通	{{{30,10000},{15,1500},{0,600}},{{84,10000},{54,1500},{0,600}},{{150,10000},{114,1500},{0,600}}}	{4,1,27,1}	1	3
6	4003003	螺钉-郊狼	普通	{{{100,10000},{50,1500},{0,600}},{{280,10000},{180,1500},{0,600}},{{500,10000},{380,1500},{0,600}}}	{4,1,27,1}	1	3
7	4003004	螺帽-郊狼	普通	{{{80,10000},{40,1500},{0,600}},{{224,10000},{144,1500},{0,600}},{{400,10000},{304,1500},{0,600}}}	{4,1,27,1}	1	3
8	4003006	喷壶-郊狼	普通	{{{80,10000},{40,1500},{0,600}},{{224,10000},{144,1500},{0,600}},{{400,10000},{304,1500},{0,600}}}	{4,1,27,1}	1	3
9	4003007	通条-郊狼	普通	{{{80,10000},{40,1500},{0,600}},{{224,10000},{144,1500},{0,600}},{{400,10000},{304,1500},{0,600}}}	{4,1,27,1}	1	3
10	5001001	炉子-郊狼	精英	{{{40,10000},{20,1500},{0,600}},{{112,10000},{72,1500},{0,600}},{{200,10000},{152,1500},{0,600}}}	{4,1,27,2}	2	3
11	5001009	自走炮-郊狼	精英	{{{20,10000},{10,1500},{0,600}},{{56,10000},{36,1500},{0,600}},{{100,10000},{76,1500},{0,600}}}	{4,1,27,2}	2	3
12	5001010	铁锤-郊狼	精英	{{{30,10000},{15,1500},{0,600}},{{84,10000},{54,1500},{0,600}},{{150,10000},{114,1500},{0,600}}}	{4,1,27,2}	2	3
13	5001018	猛火-郊狼	精英	{{{30,10000},{15,1500},{0,600}},{{84,10000},{54,1500},{0,600}},{{150,10000},{114,1500},{0,600}}}	{4,1,27,2}	2	3
14	5001019	重壁-郊狼	精英	{{{30,10000},{15,1500},{0,600}},{{84,10000},{54,1500},{0,600}},{{150,10000},{114,1500},{0,600}}}	{4,1,27,2}	2	3
15	5002010	喇叭-郊狼	精英	{{{20,10000},{10,1500},{0,600}},{{56,10000},{36,1500},{0,600}},{{100,10000},{76,1500},{0,600}}}	{4,1,27,2}	2	3
16	400160202	鼹鼠无人机-郊狼	普通	{{{20,10000},{10,1500},{0,600}},{{56,10000},{36,1500},{0,600}},{{100,10000},{76,1500},{0,600}}}	{4,1,27,1}	1	3
17	5001113	净化贤者-降临团	精英	{{{50,10000},{25,1500},{0,600}},{{140,10000},{90,1500},{0,600}},{{250,10000},{190,1500},{0,600}}}	{4,1,27,2}	2	3
18	5001118	赐福者-降临团	精英	{{{40,10000},{20,1500},{0,600}},{{112,10000},{72,1500},{0,600}},{{200,10000},{152,1500},{0,600}}}	{4,1,27,2}	2	3
19	4001104	武装会员-降临团	普通	{{{200,10000},{100,1500},{0,600}},{{560,10000},{360,1500},{0,600}},{{1000,10000},{760,1500},{0,600}}}	{4,1,27,1}	1	3
20	4001108	会员-降临团	普通	{{{150,10000},{75,1500},{0,600}},{{420,10000},{270,1500},{0,600}},{{750,10000},{570,1500},{0,600}}}	{4,1,27,1}	1	3
21	500110902	审判官-降临团	精英	{{{50,10000},{25,1500},{0,600}},{{140,10000},{90,1500},{0,600}},{{250,10000},{190,1500},{0,600}}}	{4,1,27,2}	2	3
22	4003106	爆破会员-降临团	普通	{{{200,10000},{100,1500},{0,600}},{{560,10000},{360,1500},{0,600}},{{1000,10000},{760,1500},{0,600}}}	{4,1,27,1}	1	3
23	5003110	净化官-降临团	精英	{{{30,10000},{15,1500},{0,600}},{{84,10000},{54,1500},{0,600}},{{150,10000},{114,1500},{0,600}}}	{4,1,27,2}	2	3
