ID	角色id	//角色名称备注	推荐buff列表
ID	RoleID	RoleComment	SuggestBuff
1	{1,1,1,1}	安卡希雅-「不予显示」	{20,54,202,402,3,55,112,108,11,92,97,129,98,50,139,94}
2	{1,1,2,1}	安卡希雅-辉夜形态	{54,20,108,3,50,55,112,139,11,232,233}
3	{1,2,1,1}	里芙-星期三	{54,108,1,61,50,78,3,55,76,140,203,101}
4	{1,2,2,1}	里芙-狂猎形态	{54,20,108,78,206,3,61,19,1,76,50,205,79,55,74,80,119,112}
5	{1,2,3,1}	里芙-无限之视	{50,108,54,61,1,3,258,20,55,259,79,19,74,119,68}
6	{1,3,1,1}	妮塔-四手	{207,208}
7	{1,3,2,1}	妮塔-悸响	{20,54,402,55,50,60,108,3,92,11,113,112,8}
8	{1,4,1,1}	芙提雅-小太阳	{118,210,20,54,78,55,74,115,80,404,76,50,16,11,79}
9	{1,4,2,1}	芙提雅-缄默形态	{54,234,20,108,3,235,112,129,131,55,50,402,97,96,91}
10	{1,4,3,1}	芙提雅-驰掣	{268,54,1,79,74,55,80,78,61,37,38,401,28,50,11,68}
11	{1,5,1,1}	茉莉安-绷带小姐	{211,212,37,54,55}
12	{1,5,2,1}	茉莉安-雨燕形态	{54,50,214,19,139,37,61,55,401,132,28}
13	{1,5,3,1}	茉莉安-幽潮	{108,3,50,54,20,61,1,101,402,55,112}
14	{1,6,1,1}	鸣濑晴-旧日王牌	{215,216}
15	{1,6,2,1}	鸣濑晴-藏锋	{20,54,3,108,50,112,243,55,134,242,402,92,97,11,129,48}
16	{1,7,1,1}	琴诺-双面	{217,218}
17	{1,7,2,1}	琴诺-悖谬	{54,108,3,20,50,61,252,1,55,253,19,112,78,76,101,16,74}
18	{1,8,1,1}	芬妮-黄金狮子	{54,219,20,55,50,19,61,108,3,118,79,48,139,78}
19	{1,8,2,1}	芬妮-咎冠	{61,1,54,108,50,78,74,101,76,221,80,261,79,55,119}
20	{1,8,3,1}	芬妮-辉耀	{54,50,1,61,55,261,260,119}
21	{1,10,1,1}	肴-养生专家	{223}
22	{1,10,2,1}	肴-冬至	{54,1,50,61,3,225,101,55,401,129,226}
23	{1,10,3,1}	肴-夜天光	{274,275}
24	{1,11,1,1}	恩雅-姐姐大人	{229}
25	{1,11,2,1}	恩雅-羽蜕	{254,255}
26	{1,11,3,1}	恩雅-澜风	{20,54,402,55,50,108,3,92,11,112,129,97,276,277}
27	{1,12,1,1}	猫汐尔	{230}
28	{1,12,2,1}	猫汐尔-溯影	{54,55,245}
29	{1,13,1,1}	a瑟瑞斯-小金鱼	{239}
30	{1,13,2,1}	瑟瑞斯-瞬刻	{108,3,50,61,1,101,54,257,256,55}
31	{1,14,1,1}	辰星	{236,237}
32	{1,14,2,1}	辰星-云篆	{54,20,108,78,61,1,240,19,3,50,76,79,74,80,55,241,139,119}
33	{1,14,3,1}	辰星-琼弦	{20,54,402,55,50,108,3,139,28,92,11,113,95,272,273}
34	{1,15,1,1}	凯茜娅-蓝闪	{54,1,248,108,50,249,118,74,55,80,119,115,101,3,111,76,77}
35	{1,15,2,1}	凯茜娅-朝翼	{108,3,50,61,1,101,54,264,265,134,20,55,137,112,139,16}
36	{1,16,1,1}	伊切尔-豹豹	{251}
37	{1,17,1,1}	苔丝-魔术师	{246,247}
38	{1,18,1,1}	薇蒂雅-龙舌兰	{54,20,263,262,3,402,108,55,92,129,97,112,11,94}
39	{1,20,1,1}	卜卜-小天师	{1,50,108,54,61,270,271,3,101,111,55,74,11,115,77}
40	{1,21,1,1}	奈莉德	{20,54,402,55,50,60,108,3,53,92,11,113,112,95,4,129}
41	{1,18,2,1}	薇蒂雅-天鹅座	{2,3,9,17,20,81,100,282,283}
42	{1,15,3,1}	凯茜娅-狂诗	{1,11,12,28,50,54,55,62,61,68,69,74,76,77,78,79,80,104,105,110,111,114,118,119,120,140,284,285}
43	{1,17,2,1}	苔丝-绮幻	{286,287}
44	{1,22,1,1}	克罗瑞娜	{2,3,4,8,43,45,52,53,54,55,57,58,60,88,288,289}
45	{1,8,4,1}	芬妮-澄意	{2,3,11,20,50,54,55,57,108,112,114,122,124,134,290,291,406}
46	{1,13,3,1}	瑟瑞斯-悠游	{292,293}
