ID	库ID	//备注	//备注2	类型（1.属性 2.buff）	对象（1.无人机，2玩家）	属性类型和随机范围(最大值1023)	buff效果（modifier+等级）	概率	词条描述	描述数值	buff分组（同组覆盖）	buff等级
ID	GroupId	Comment	Comment2	Type	TargetType	ValueRange	BuffId	Weight	Des	BuffParamPerCount	BuffJurisdictionID	StrengthLevel
1	103	高级动力组	无人机属性-攻击	1	1	{Attack={560,800}}		2000	rogue3.uav_AttributeDes1			
2	103	高级动力组	无人机属性-全元素类伤害加成	1	1	{AlllEmentDamageBonus={28,40}}		2000	rogue3.uav_AttributeDes2			
3	103	高级动力组	队员属性-最大生命	1	2	{HealthMax={700,1000}}		600	rogue3.uav_AttributeDes6			
4	103	高级动力组	队员属性-暴击率	1	2	{Critical={18,25}}		600	rogue3.uav_AttributeDes7			
5	103	高级动力组	队员属性-暴击伤害增幅	1	2	{CriticalDamageAddtion={21,30}}		600	rogue3.uav_AttributeDes8			
6	103	高级动力组	队员属性-技能急速	1	2	{SkillCDQuick={35,50}}		600	rogue3.uav_AttributeDes9			
7	103	高级动力组	队员属性-技能伤害	1	2	{AllSkillDamageBonus={20,28}}		600	rogue3.uav_AttributeDes10			
8	103	高级动力组	buff-攻击力提升	2	1		{{7010434,12}}	150	rogue3.uav_BuffDes1	{32}	1	12
9	103	高级动力组	buff-攻击力提升	2	1		{{7010434,11}}	150	rogue3.uav_BuffDes1	{30}	1	11
10	103	高级动力组	buff-攻击力提升	2	1		{{7010434,10}}	150	rogue3.uav_BuffDes1	{28}	1	10
11	103	高级动力组	buff-攻击力提升	2	1		{{7010434,9}}	150	rogue3.uav_BuffDes1	{26}	1	9
12	103	高级动力组	buff-玩家射击附带额外伤害	2	2		{{7010436,12}}	150	rogue3.uav_BuffDes2	{10,0.1}	2	12
13	103	高级动力组	buff-玩家射击附带额外伤害	2	2		{{7010436,11}}	150	rogue3.uav_BuffDes2	{9.5,0.1}	2	11
14	103	高级动力组	buff-玩家射击附带额外伤害	2	2		{{7010436,10}}	150	rogue3.uav_BuffDes2	{9,0.1}	2	10
15	103	高级动力组	buff-玩家射击附带额外伤害	2	2		{{7010436,9}}	150	rogue3.uav_BuffDes2	{8.5,0.1}	2	9
16	103	高级动力组	buff-每隔一段时间治疗玩家	2	2		{{7010439,12}}	150	rogue3.uav_BuffDes5	{5,4}	5	12
17	103	高级动力组	buff-每隔一段时间治疗玩家	2	2		{{7010439,11}}	150	rogue3.uav_BuffDes5	{5,3.8}	5	11
18	103	高级动力组	buff-每隔一段时间治疗玩家	2	2		{{7010439,10}}	150	rogue3.uav_BuffDes5	{5,3.6}	5	10
19	103	高级动力组	buff-每隔一段时间治疗玩家	2	2		{{7010439,9}}	150	rogue3.uav_BuffDes5	{5,3.4}	5	9
20	103	高级动力组	buff-无人机攻击低血量敌人造成巨额伤害	2	1		{{7010444,12}}	150	rogue3.uav_BuffDes8	{30,20,500}	8	12
21	103	高级动力组	buff-无人机攻击低血量敌人造成巨额伤害	2	1		{{7010444,11}}	150	rogue3.uav_BuffDes8	{30,20,480}	8	11
22	103	高级动力组	buff-无人机攻击低血量敌人造成巨额伤害	2	1		{{7010444,10}}	150	rogue3.uav_BuffDes8	{30,20,460}	8	10
