唯一Id	类型	Pos	Rot	区域	传送点	时间类型	自定义参数1	自定义参数2	自定义参数3
Id	Type	Pos	Rot	Area	TimeType	TeleportPoint	CustomParam1	CustomParam2	CustomParam3
1	10000	{-33401.6,-35540.7,0.0}	{0.0,0.0,0.0}	0	0	{0.0,0.0,0.0,0.0}	0	0	0
2	10001	{66950.4,31360.7,0.0}	{0.0,0.0,0.0}	0	0	{0.0,0.0,0.0,0.0}	0	0	0
3	0	{-1316.3,-13458.7,72.9}	{0.0,0.0,0.0}	4	0	{-826.8,-13458.7,143.2,-180.0}	574	0	0
4	23	{-13352.8,4100.7,2897.5}	{0.0,0.0,0.0}	2	0	{0.0,0.0,0.0,0.0}	605	5	0
5	23	{-18434.2,6381.2,3651.6}	{0.0,0.0,0.0}	2	0	{0.0,0.0,0.0,0.0}	606	3	0
6	23	{-17140.8,1367.8,2659.3}	{0.0,0.0,0.0}	2	0	{0.0,0.0,0.0,0.0}	607	4	0
7	0	{-10722.0,2384.3,1564.5}	{0.0,0.0,0.0}	2	0	{0.0,0.0,0.0,0.0}	618	12	0
8	0	{-18938.0,2513.3,2379.1}	{0.0,0.0,0.0}	2	0	{0.0,0.0,0.0,0.0}	619	12	0
9	0	{-14753.8,806.0,2005.6}	{0.0,0.0,0.0}	2	0	{0.0,0.0,0.0,0.0}	620	12	0
10	0	{-14872.6,9934.4,1709.8}	{0.0,0.0,0.0}	2	0	{0.0,0.0,0.0,0.0}	621	12	0
11	0	{-16445.8,4616.1,2046.6}	{0.0,0.0,0.0}	2	0	{0.0,0.0,0.0,0.0}	622	12	0
12	0	{-20269.2,7730.1,2585.7}	{0.0,0.0,0.0}	2	0	{0.0,0.0,0.0,0.0}	623	12	0
13	0	{-12272.2,8410.5,1932.5}	{0.0,154.8,0.0}	2	0	{-12272.2,8410.5,1932.5,154.8}	642	10	0
14	0	{-18286.1,494.6,1907.3}	{0.0,0.0,0.0}	2	0	{-18286.1,494.6,1907.3,0.0}	643	10	0
15	0	{-16405.0,4362.5,1865.3}	{0.0,165.2,0.0}	2	0	{-16405.0,4362.5,1865.3,165.2}	644	10	0
16	0	{-15976.8,8467.3,1976.1}	{0.0,104.2,0.0}	2	0	{-15976.8,8467.3,1976.1,104.2}	645	10	0
17	1	{-9942.9,6770.7,1811.4}	{0.0,0.0,0.0}	2	0	{0.0,0.0,0.0,0.0}	578	0	0
18	0	{-11439.9,7811.0,1891.6}	{0.0,0.0,0.0}	2	0	{-11045.3,7811.0,1891.2,-180.0}	530	19	42
19	0	{-16198.8,8189.1,1886.1}	{0.0,-64.4,0.0}	2	0	{-15944.8,7659.8,1891.2,115.6}	527	19	21
20	0	{-18109.4,2560.9,1981.3}	{0.0,87.7,0.0}	2	0	{-18085.9,3147.5,1987.5,-92.3}	528	19	23
21	0	{-15881.4,519.1,1987.5}	{0.0,-108.4,0.0}	2	0	{-15754.6,899.9,1987.5,-108.4}	529	19	24
22	0	{-17059.9,5031.5,1808.8}	{0.0,-90.0,0.0}	2	0	{-16277.8,5033.3,1945.5,180.0}	515	3	0
23	0	{-17421.5,1954.6,1907.3}	{0.0,0.0,0.0}	2	0	{-17162.8,2473.1,1987.5,-90.0}	505	4	0
24	0	{-14256.6,5079.5,1811.0}	{0.0,90.0,0.0}	2	0	{-14994.9,5079.5,1891.2,-0.0}	517	5	0
25	7	{-13572.6,8913.6,1811.0}	{0.0,-90.0,0.0}	2	0	{0.0,0.0,0.0,0.0}	0	13	0
26	5	{-13704.3,4775.6,1811.0}	{0.0,0.0,0.0}	2	0	{-9119.8,1658.5,1217.0,-180.0}	537	202	202
27	5	{-16365.0,7056.4,1827.6}	{0.0,0.0,0.0}	2	0	{-10709.7,6716.7,1891.2,-180.0}	538	204	204
28	5	{2454.6,1355.7,466.7}	{0.0,0.0,0.0}	1	0	{-4081.0,1600.2,536.0,0.0}	539	225	225
29	0	{-12113.0,6299.6,1908.2}	{0.0,0.0,0.0}	2	0	{-12113.0,6855.2,1891.2,-90.0}	556	0	0
30	0	{-14759.0,7906.3,1908.2}	{0.0,0.0,0.0}	2	0	{-13936.5,8338.7,1893.6,-151.2}	557	0	0
31	0	{-14144.2,4923.8,1908.2}	{0.0,0.0,0.0}	2	0	{-14984.1,4913.7,1891.2,0.0}	558	0	0
32	0	{-17224.6,6702.2,1892.9}	{0.0,0.0,0.0}	2	0	{-16858.6,6702.2,1891.2,-180.0}	559	0	0
33	0	{-17725.0,2904.6,1958.1}	{0.0,0.0,0.0}	2	0	{-17192.0,2904.6,1987.5,-180.0}	560	0	0
34	0	{-13352.4,1547.7,1873.4}	{0.0,-76.4,0.0}	2	0	{-13449.8,1949.7,1891.2,-76.4}	561	0	0
35	0	{-15355.0,6360.5,1938.3}	{0.0,0.0,0.0}	2	0	{-14494.8,6360.5,1891.6,-180.0}	608	0	0
36	0	{-12122.6,4369.7,1811.4}	{0.0,-180.0,0.0}	2	0	{-7753.3,16514.7,0.0,90.0}	595	0	0
37	0	{-19801.7,3966.3,1981.0}	{0.0,0.0,0.0}	2	0	{-19407.7,3959.3,1891.2,-180.0}	545	0	0
38	0	{-16884.0,8493.4,1981.0}	{0.0,-88.9,0.0}	2	0	{-16883.7,8099.4,1891.2,91.1}	552	0	0
39	0	{-14567.1,8903.8,1981.4}	{0.0,0.0,0.0}	2	0	{-14173.2,8896.8,1893.6,-180.0}	590	0	0
