唯一Id	类型	Pos	Rot	区域	时间类型	自定义参数1	自定义参数2	自定义参数3
Id	Type	Pos	Rot	Area	TimeType	CustomParam1	CustomParam2	CustomParam3
1	10000	{-100000.0,-84756.0,0.0}	{0.0,90.0,0.0}	0	0	0	0	0	
2	10001	{100000.0,115244.0,0.0}	{0.0,90.0,0.0}	0	0	0	0	0	
3	7	{-39481.8,-61300.7,4479.8}	{0.0,25.0,0.0}	1	0	0	13	0	
4	7	{-33023.1,-29376.9,8209.8}	{0.0,50.8,0.0}	1	0	0	13	0	
5	7	{-20585.2,-47350.9,7456.1}	{0.0,130.4,0.0}	1	0	0	13	0	
6	7	{-16931.7,-32661.6,8384.0}	{0.0,91.7,0.0}	1	0	0	13	0	
7	7	{-60992.0,-45556.8,4615.8}	{0.0,-97.6,0.0}	1	0	0	13	0	
8	7	{-35292.0,-49070.3,6916.5}	{0.0,158.9,0.0}	1	0	0	13	0	
9	7	{-63052.9,-31621.2,4730.2}	{0.0,-36.3,0.0}	1	1	544	12	0	
10	7	{-60227.3,-29424.5,4728.7}	{0.0,2.7,0.0}	1	1	545	12	0	
11	7	{-53636.3,-28774.5,6108.4}	{40.6,0.0,-90.0}	1	1	546	12	0	
12	7	{-54974.3,-47354.5,6302.1}	{-44.1,0.0,90.0}	1	1	549	12	0	
13	7	{-60151.3,-47474.0,5360.0}	{32.8,13.6,22.2}	1	1	637	12	0	
14	7	{-39603.0,-40570.8,7351.5}	{0.0,0.0,0.0}	1	1	638	12	0	
15	7	{-42594.1,-43703.1,6821.6}	{0.0,-51.8,0.0}	1	1	639	12	0	
16	7	{-39076.6,-47818.1,7679.5}	{6.0,-44.3,51.5}	1	1	640	12	0	
17	7	{-32957.6,-50299.8,7067.4}	{-25.6,-1.4,11.2}	1	1	641	12	0	
18	7	{-28000.6,-49040.0,7392.9}	{0.0,0.0,-90.0}	1	1	642	12	0	
19	7	{-29140.1,-31184.6,9301.5}	{0.0,-28.8,0.0}	1	1	643	12	0	
20	7	{-30032.7,-24674.2,8648.3}	{-54.1,0.0,0.0}	1	1	644	12	0	
21	7	{-19061.8,-22227.0,10008.2}	{0.0,0.0,0.0}	1	1	645	12	0	
22	7	{-19099.5,-18724.0,10216.7}	{0.0,-61.7,90.0}	1	1	646	12	0	
23	7	{-7889.8,-9958.2,7991.1}	{0.0,0.0,39.7}	1	1	647	12	0	
24	7	{-4913.1,-32212.2,9114.9}	{-9.0,0.2,178.7}	1	1	648	12	0	
25	7	{-12466.4,-34556.0,8443.8}	{-9.8,-19.7,68.5}	1	1	649	12	0	
26	7	{-15486.8,-49278.8,8297.9}	{-6.5,38.3,-72.8}	1	1	650	12	0	
27	7	{-18781.6,-58137.4,6936.1}	{0.0,0.0,0.0}	1	1	651	12	0	
28	7	{-29315.8,-64084.6,5000.1}	{-2.6,-15.1,-61.6}	1	1	652	12	0	
29	7	{-64152.7,-34344.2,5084.1}	{0.0,0.0,0.0}	1	2	854	15	0	
30	7	{-52030.9,-28695.8,6359.3}	{0.0,0.0,0.0}	1	2	855	15	0	
31	7	{-54229.7,-41486.1,7314.5}	{0.0,0.0,0.0}	1	2	856	15	0	
32	7	{-39257.5,-42503.4,7540.8}	{0.0,0.0,0.0}	1	2	857	15	0	
33	7	{-32567.9,-40672.4,6280.9}	{0.0,0.0,0.0}	1	2	858	15	0	
34	7	{-64186.4,-48860.7,5063.2}	{0.0,0.0,0.0}	1	2	859	15	0	
35	7	{-55022.3,-47599.4,7518.2}	{0.0,0.0,0.0}	1	2	860	15	0	
36	7	{-46935.3,-46304.2,7452.9}	{0.0,0.0,0.0}	1	2	861	15	0	
37	7	{-39318.6,-51996.4,8338.6}	{0.0,0.0,0.0}	1	2	862	15	0	
38	7	{-39249.2,-58254.2,5850.7}	{0.0,0.0,0.0}	1	2	863	15	0	
39	7	{-32788.8,-67073.6,4791.9}	{0.0,0.0,0.0}	1	2	864	15	0	
40	7	{-11933.0,-31702.9,8640.4}	{0.0,0.0,0.0}	1	2	865	15	0	
41	7	{-30219.0,-35356.1,9756.2}	{0.0,0.0,0.0}	1	2	866	15	0	
42	7	{-21698.3,-60940.9,5477.3}	{0.0,0.0,0.0}	1	2	867	15	0	
43	7	{-18215.8,-57373.1,7733.3}	{0.0,0.0,0.0}	1	2	868	15	0	
44	7	{-26225.2,-56618.0,9014.8}	{0.0,0.0,0.0}	1	2	869	15	0	
45	7	{-22115.3,-47522.6,8660.8}	{0.0,0.0,0.0}	1	2	870	15	0	
46	7	{-28004.1,-48370.2,7633.6}	{0.0,0.0,0.0}	1	2	871	15	0	
47	7	{-26855.1,-40077.4,7405.5}	{0.0,0.0,0.0}	1	2	872	15	0	
48	7	{-40844.1,-30689.7,8686.4}	{0.0,0.0,0.0}	1	2	873	15	0	
49	7	{-58164.1,-33425.1,6573.3}	{0.0,0.0,0.0}	1	2	874	15	0	
50	7	{-57907.7,-29095.2,5713.7}	{0.0,0.0,0.0}	1	2	875	15	0	
51	7	{-61566.8,-38930.9,5369.2}	{0.0,0.0,0.0}	1	2	876	15	0	
52	7	{-49344.5,-36219.0,7629.5}	{0.0,0.0,0.0}	1	2	877	15	0	
53	7	{-38595.1,-35917.0,8059.5}	{0.0,0.0,0.0}	1	2	878	15	0	
54	7	{-30911.1,-31084.9,9441.0}	{0.0,0.0,0.0}	1	2	879	15	0	
55	7	{-34560.9,-25966.8,9913.4}	{0.0,0.0,0.0}	1	2	880	15	0	
56	7	{-40623.2,-25084.2,9309.2}	{0.0,0.0,0.0}	1	2	881	15	0	
57	7	{-32516.9,-48177.3,7992.9}	{0.0,0.0,0.0}	1	2	882	15	0	
58	7	{-21420.1,-40791.1,9355.2}	{0.0,0.0,0.0}	1	2	883	15	0	
59	7	{-22881.5,-31505.5,9775.4}	{0.0,0.0,0.0}	1	2	884	15	0	
60	7	{-18880.5,-22104.4,10451.6}	{0.0,0.0,0.0}	1	2	885	15	0	
61	7	{-23493.9,-26305.0,9969.6}	{0.0,0.0,0.0}	1	2	886	15	0	
62	7	{-10766.7,-8449.9,10443.3}	{0.0,0.0,0.0}	1	2	887	15	0	
63	7	{-8450.0,-20798.8,11159.0}	{0.0,0.0,0.0}	1	2	888	15	0	
64	7	{-15421.4,-24031.6,9923.8}	{0.0,0.0,0.0}	1	2	889	15	0	
65	7	{-4786.9,-31438.4,9652.4}	{0.0,0.0,0.0}	1	2	890	15	0	
66	7	{-9620.9,-39069.9,8608.7}	{0.0,0.0,0.0}	1	2	891	15	0	
67	7	{-7428.6,-48039.9,9110.5}	{0.0,0.0,0.0}	1	2	892	15	0	
68	7	{-16876.6,-47692.3,8334.1}	{0.0,0.0,0.0}	1	2	893	15	0	
69	7	{-40179.0,-61274.1,5085.8}	{0.0,0.0,0.0}	1	1	653	12	0	
