id	解锁条件(例{{1,1}})（1账号等级 2前置关卡 3获得某个道具 20劝降等级）	地图Id	战斗逻辑配置	星级条件 {{1,300},{1,180},{2,2}}	出场怪物	怪物强度模板	UI展示首通奖励	首通掉落ID	Boss概率图	关卡概念图	是否关闭等级压制（0或不填默认开启、1关闭）	任务资源	关卡Buff(SkillForPlayer)	关卡环境效果（条件类型，条件参数，BuffID）	试玩角色	关卡展示怪物等级
ID	Condition	MapID	FightID	StarCondition	Monster	LevelStrength	ShowFirstAward	FirstDropID	PictureBoss	PictureLevel	LevelPower	TaskPath	Buff	BuffForMonTeam	TrialCard	ShowLevelOffset
5820	{{20,5}}	5820	1	{{31,1},{1,60}}	{4001004,4001005}	17	{{5,3,1,3,1},{4,3,1,1,1000}}	{7080}		1801000	1	DLC9Task/Pal/Tower/pal_tower_01.pal_tower_01	{5000055}		{100001,100002,100009}	1
5821	{{2,5820}}	5821	1	{{31,1},{1,60}}	{4003004,4002006}	17	{{5,1,1,3,1},{4,3,1,1,1000}}	{7081}		1801000	1	DLC9Task/Pal/Tower/pal_tower_02.pal_tower_02	{5000055}		{100001,100002,100009}	1
5822	{{2,5821}}	5822	1	{{31,1},{1,60}}	{4001004,4002007,4001015}	17	{{5,3,1,3,1},{4,3,1,1,1000}}	{7080}		1801000	1	DLC9Task/Pal/Tower/pal_tower_03.pal_tower_03	{5000055}		{100001,100002,100009}	2
5823	{{2,5822}}	5823	1	{{31,1},{1,60}}	{4002004,4002006,4001007,4002002}	17	{{5,1,1,3,1},{4,3,1,1,1000}}	{7081}		1801000	1	DLC9Task/Pal/Tower/pal_tower_04.pal_tower_04	{5000055}		{100001,100002,100009}	2
5824	{{2,5823}}	5824	1	{{31,1},{1,60}}	{4002004,5002010,5001010}	17	{{5,3,1,4,1},{4,3,1,1,1000}}	{7082}		1801000	1	DLC9Task/Pal/Tower/pal_tower_05.pal_tower_05	{5000055}		{100001,100002,100009}	3
5825	{{2,5824}}	5825	1	{{31,1},{1,60}}	{4002004,4002007,4002002,4001015}	17	{{5,3,1,3,1},{4,3,1,1,1000}}	{7080}		1801000	1	DLC9Task/Pal/Tower/pal_tower_06.pal_tower_06	{5000055}		{100001,100002,100009}	3
5826	{{2,5825}}	5826	1	{{31,1},{1,60}}	{4001013,4002006,4001015,4001017}	17	{{5,1,1,3,1},{4,3,1,1,1000}}	{7081}		1801000	1	DLC9Task/Pal/Tower/pal_tower_07.pal_tower_07	{5000055}		{100001,100002,100009}	4
5827	{{2,5826}}	5827	1	{{31,1},{1,60}}	{4003003,4002002,5001001,400160601}	17	{{5,3,1,3,1},{4,3,1,1,1000}}	{7080}		1801000	1	DLC9Task/Pal/Tower/pal_tower_08.pal_tower_08	{5000055}		{100001,100002,100009}	4
5828	{{2,5827}}	5828	1	{{31,1},{1,75}}	{34003007,400100403,34003006,34001015}	17	{{5,1,1,3,1},{4,3,1,1,1000}}	{7081}		1801000	1	DLC9Task/Pal/Tower/pal_tower_09.pal_tower_09	{5000055}		{100001,100002,100009}	5
5829	{{2,5828}}	5829	1	{{31,1},{1,60}}	{4001004,5001018,5001019,400160202}	17	{{5,3,1,4,1},{4,3,1,1,1000}}	{7082}		1801000	1	DLC9Task/Pal/Tower/pal_tower_10.pal_tower_10	{5000055}		{100001,100002,100009}	5
5830	{{2,5829}}	5830	1	{{31,1},{1,60}}	{4001108,4002103,4001112}	17	{{5,3,1,3,2},{4,3,1,1,1000}}	{7083}		1801000	1	DLC9Task/Pal/Tower/pal_tower_11.pal_tower_11	{5000055}		{100001,100002,100009}	6
5831	{{2,5830}}	5831	1	{{31,1},{1,60}}	{4001116,4002106,4001112,4003102}	17	{{5,1,1,3,2},{4,3,1,1,1000}}	{7084}		1801000	1	DLC9Task/Pal/Tower/pal_tower_12.pal_tower_12	{5000055}		{100001,100002,100009}	6
5832	{{2,5831}}	5832	1	{{31,1},{1,60}}	{4001112,4001114,4001108,4003106,4002103}	17	{{5,3,1,3,2},{4,3,1,1,1000}}	{7083}		1801000	1	DLC9Task/Pal/Tower/pal_tower_13.pal_tower_13	{5000055}		{100001,100002,100009}	7
5833	{{2,5832}}	5833	1	{{31,1},{1,60}}	{4001108,4002106,4001116,5001101,4003102}	17	{{5,1,1,3,2},{4,3,1,1,1000}}	{7084}		1801000	1	DLC9Task/Pal/Tower/pal_tower_14.pal_tower_14	{5000055}		{100001,100002,100009}	7
