id	地图Id	战斗逻辑配置	出场怪物	怪物强度模板	获得积分({类型, 参数下限,参数上限,积分下限，积分上限} 1：剩余时间百分比 2：击杀怪物数量 3：总伤害量)	是否关闭等级压制（0或不填默认开启、1关闭）	任务资源	关卡Buff(SkillForPlayer)	试玩角色	//DLC期数备注
ID	MapID	FightID	Monster	LevelStrength	Score	LevelPower	TaskPath	Buff	TrialCard	Desc
5880	5880	1	{4001301,4001304,4001306,5001307,4001003,4003004,400160202,4001008,5001009,4003007,5001018,5001019,400160601,4001108,4001116,500110902,5002110,4001112,4002104,5003110,4003106,4002103,5001118,5001001,5002010,4002006,5001101,4001212,4001211,5001205,5001206,5001208,5001209}	17	{{2,{1,100},{10,1000},{25,2500},{50,5000},{70,6500},{90,8000},{100,8500},{200,10000}}}	1	DLC9Task/Pal/Endless/pal_endless_1.pal_endless_1	{5000055}	{100001,100002,100009}	2.0版本-DLC9
5897	5897	1	{4001301,4001304,4001306,5001307,4001003,4003004,400160202,4001008,5001009,4003007,5001018,5001019,400160601,4001108,4001116,500110902,5002110,4001112,4002104,5003110,4003106,4002103,5001118,5001001,5002010,4002006,5001101,4001212,4001211,5001205,5001206,5001208,5001209}	17	{{2,{10,100},{30,1000},{50,2500},{80,5000},{120,6000},{160,7000},{200,8000},{350,10000}}}	1	DLC9Task/Pal/Endless/pal_endless_2.pal_endless_2	{5000055}	{100001,100002,100009}	2.1版本-DLC10
5898	5898	1	{4001301,4001304,4001306,5001307,4001003,4003004,400160202,4001008,5001009,4003007,5001018,5001019,400160601,4001108,4001116,500110902,5002110,4001112,4002104,5003110,4003106,4002103,5001118,5001001,5002010,4002006,5001101,4001212,4001211,5001205,5001206,5001208,5001209}	17	{{2,{10,100},{30,1000},{50,2500},{80,5000},{110,6000},{150,7000},{200,8000},{350,10000}}}	1	DLC9Task/Pal/Endless/pal_endless_3.pal_endless_3	{5000055}	{100001,100002,100009}	2.2版本-DLC11
5899	5899	1	{4001301,4001304,4001306,5001307,4001003,4003004,400160202,4001008,5001009,4003007,5001018,5001019,400160601,4001108,4001116,500110902,5002110,4001112,4002104,5003110,4003106,4002103,5001118,5001001,5002010,4002006,5001101,4001212,4001211,5001205,5001206,5001208,5001209}	17	{{2,{10,100},{30,1000},{50,2500},{80,5000},{110,6000},{160,7000},{250,8000},{400,10000}}}	1	DLC9Task/Pal/Endless/pal_endless_4.pal_endless_4	{5000055}	{100001,100002,100009}	2.3版本-DLC12
5900	5900	1	{4001301,4001304,4001306,5001307,4001003,4003004,400160202,4001008,5001009,4003007,5001018,5001019,400160601,4001108,4001116,500110902,5002110,4001112,4002104,5003110,4003106,4002103,5001118,5001001,5002010,4002006,5001101,4001212,4001211,5001205,5001206,5001208,5001209}	17	{{2,{10,100},{30,1000},{50,2500},{80,5000},{120,6000},{160,7000},{250,8000},{400,10000}}}	1	DLC9Task/Pal/Endless/pal_endless_5.pal_endless_5	{5000055}	{100001,100002,100009}	2.4版本-DLC13
810	810	1	{400930102,4001306,4001310,4001217,4002605,4003004,400160202,4001603,4001605,4001212,4001213,5001607,4002605,400250603,400130104,400100403,400100601,4002106,4001508,5001509,4002605,5001312,400930102,5001309,4001215,4001216,4001213,400121102,500120601,4001506,4002506,500100902,400250602}	17	{{2,{10,100},{30,1000},{50,2500},{80,5000},{120,6000},{140,7000},{250,8000},{400,10000}}}	1	DLC9Task/Pal/Endless/pal_endless_6.pal_endless_6	{5000055}	{100001,100002,100009}	2.5版本-DLC14
811	811	1	{4001301,4001304,4001306,5001307,4001003,4003004,400160202,4001008,5001009,4003007,5001018,5001019,400160601,4001108,4001116,500110902,5002110,4001112,4002104,5003110,4003106,4002103,5001118,5001001,5002010,4002006,5001101,4001212,4001211,5001205,5001206,5001208,5001209}	17	{{2,{10,100},{30,1000},{50,2500},{80,5000},{120,6000},{140,7000},{250,8000},{400,10000}}}	1	DLC9Task/Pal/Endless/pal_endless_7.pal_endless_7	{5000055}	{100001,100002,100009}	2.6版本-DLC15
812	812	1	{4001301,4001304,4001306,5001307,4001003,4003004,400160202,4001008,5001009,4003007,5001018,5001019,400160601,4001108,4001116,500110902,5002110,4001112,4002104,5003110,4003106,4002103,5001118,5001001,5002010,4002006,5001101,4001212,4001211,5001205,5001206,5001208,5001209}	17	{{2,{10,100},{30,1000},{50,2500},{80,5000},{120,6000},{140,7000},{250,8000},{400,10000}}}	1	DLC9Task/Pal/Endless/pal_endless_8.pal_endless_8	{5000055}	{100001,100002,100009}	2.7版本-DLC16
813	813	1	{4001301,4001304,4001306,5001307,4001003,4003004,400160202,4001008,5001009,4003007,5001018,5001019,400160601,4001108,4001116,500110902,5002110,4001112,4002104,5003110,4003106,4002103,5001118,5001001,5002010,4002006,5001101,4001212,4001211,5001205,5001206,5001208,5001209}	17	{{2,{10,100},{30,1000},{50,2500},{80,5000},{120,6000},{140,7000},{250,8000},{400,10000}}}	1	DLC9Task/Pal/Endless/pal_endless_9.pal_endless_9	{5000055}	{100001,100002,100009}	2.8版本-DLC17
