期数id	开启时间	结束时间	奖励时间	解锁条件(例{{1,1}})（1账号等级 2前置关卡 3获得某个道具 20劝降等级）	无尽试炼ID	地区限制目前可填：0国内外,1国内,2海外	//DLC期数备注
Id	StartTime	EndTime	AwardTime	Condition	TrialId	Coverage	Desc
1	[202404181000]	[202405300400]	[202405310400]	{{20,15}}	5880		DLC7
2	[202407110400]	[202408220400]	[202408230400]	{{20,15}}	5880		DLC9
3	[202408230400]	[202409260400]	[202409270400]	{{20,15}}	5897		DLC10
4	[202409270400]	[202411070400]	[202411080400]	{{20,15}}	5898		2.2版本-DLC11
5	[202411080400]	[202412190400]	[202412200400]	{{20,15}}	5899		2.3版本-DLC12
6	[202412200400]	[202501230400]	[202501240400]	{{20,15}}	5900		2.4版本-DLC13
7	[202501240400]	[202503060400]	[202503070400]	{{20,15}}	810		2.5版本-DLC14
8	[202503070400]	[202504170400]	[202504180400]	{{20,15}}	811		2.6版本
9	[202504180400]	[202505290400]	[202505300400]	{{20,15}}	812		2.7版本
10	[202505300400]	[202507100400]	[202507110400]	{{20,15}}	813		2.8版本
11	[202507110400]	[202508210400]	[202508220400]	{{20,15}}	814		3.0版本
12	[202508220400]	[202509250400]	[202509260400]	{{20,15}}	815		3.1版本
13	[202509260400]	[202511060400]	[202511070400]	{{20,15}}	816		3.2版本
14	[202511070400]	[202512180400]	[202512190400]	{{20,15}}	817		3.3版本
15	[202512190400]	[202601290400]	[202601300400]	{{20,15}}	818		3.4版本
16	[202601300400]	[202603120400]	[202603130400]	{{20,15}}	819		3.5版本
17	[202605080400]	[202606190400]	[202606200400]	{{20,15}}	820		3.6版本
18	[202605150400]	[202606250400]	[202606260400]	{{20,15}}	821		3.7版本
