OutBuffId	OutLevel	描述	适用植物类型	特定类别	SkillInfo	Modifier	CustomBuff	SpecialTag	BuffLevel
OutBuffId	OutLevel	Desc	BaseType	SpecType	SkillInfo	Modifier	CustomBuff	SpecialTag	BuffLevel
110001		辣椒生产能力提升10% / 20%	1				9900001		1
110002		辣椒价格降低20%	1				9900009		1
110003		辣椒cd降低10%	1				9900042		1
110004		大辣椒生产能力提高10% / 20%	1	1			9900001		1
110005		玉米射手攻击力提高5%	2			3900120			1
110006		玉米射手血量提高5%	2			3900121			1
110007		玉米射手价格降低20%	2				9900009		1
110008		玉米射手cd降低10%	2				9900042		1
110009		连发玉米射手射速提高5%	2	1			9900011		1
110010		连发玉米射手攻击提高5%	2	1		3900122			1
110011		冰冻玉米减速提高15%	2	3		3900295			1
110036		冰冻玉米减速提高30%	2	3		3900296			1
110012		火焰玉米灼烧提高15% / 30%	2	2		3900124			1
110013		西蓝花攻击提高5%	3			3900125			1
110014		西蓝花血量提高5%	3			3900126			1
110015		西蓝花价格降低20%	3				9900009		1
110016		西蓝花cd降低10%	3				9900042		1
110017		大西蓝花血量提高10%	3	1		3900128			1
110018		大西蓝花攻击提高20%	3	1		3900127			1
110019		南瓜血量提高20%	5			3900129			1
110020		南瓜价格降低20%	5				9900009		1
110021		南瓜cd降低10%	5				9900042		1
110022		【关卡策划修改】铁壁南瓜血量提高20%	5	1		3900130			1
110023		爆炸南瓜攻击提高15%	5	1		3900131			1
110024		火焰南瓜血量提高20%	5	3		3900132			1
110025		火焰南瓜灼烧伤害提高15%	5	3		3900133			1
110026		冰冻南瓜血量提高20%	5	2		3900134			1
110027		冰冻南瓜减速提高50%	5	2		3900152			1
110028		胡萝卜攻击提高5%	4			3900136			1
110029		【关卡策划修改】胡萝卜血量提高5%	4			3900137			1
110030		胡萝卜价格下降20%	4				9900009		1
110031		胡萝卜cd下降10%	4				9900042		1
110032		超级胡萝卜攻击提高20%	4	2		3900141			1
