ID(10000-19999)	期数	名称	备注	描述	描述中的数值	图标	激活消耗	备注	解锁条件(1表示通关某个关卡2表示需要点亮某个前置节点)	技能增益Id	Skill等级(关卡内使用)
ID	Schedule	Name		Des	DesParam	Icon	ActiveCos		UnlockCondition	SkillId	Level
10000	1	farmwar.farmwar_skillname_01	火辣时刻	farmwar.farmwar_skilldes_01	{10}	4830007	1	椒类蔬菜伙伴生产麻辣能量的产量提高10%	{{1,8712}}	110001	1
10001	1	farmwar.farmwar_skillname_02	火辣时刻	farmwar.farmwar_skilldes_02	{10}	4830007	1	椒类蔬菜伙伴生产麻辣能量的产量提高20%	{{1,8712},{2,10000}}	110001	2
10002	1	farmwar.farmwar_skillname_03	效率提升	farmwar.farmwar_skilldes_03	{10}	4830004	1	种植椒类蔬菜伙伴所需的麻辣能量降低10%	{{1,8712},{2,10001}}	110002	1
10003	1	farmwar.farmwar_skillname_04	茁壮成长	farmwar.farmwar_skilldes_04	{20}	4830002	2	椒类蔬菜伙伴的种植冷却时间降低20%	{{1,8712},{2,10002}}	110003	1
10004	1	farmwar.farmwar_skillname_05	火辣时刻	farmwar.farmwar_skilldes_05	{10}	4830007	1	火辣战椒生产麻辣能量的产量提高10%	{{1,8714}}	110004	1
10005	1	farmwar.farmwar_skillname_06	火辣时刻	farmwar.farmwar_skilldes_06	{10}	4830007	2	火辣战椒生产麻辣能量的产量提高20%	{{1,8714},{2,10004}}	110004	2
10006	1	farmwar.farmwar_skillname_07	大力肥料	farmwar.farmwar_skilldes_07	{5}	4830000	1	玉米射手类蔬菜伙伴的攻击力提高5%	{{1,8712}}	110005	1
10007	1	farmwar.farmwar_skillname_08	健康肥料	farmwar.farmwar_skilldes_08	{25}	4830001	1	玉米射手类蔬菜伙伴的最大生命提高25%	{{1,8712},{2,10006}}	110006	1
10008	1	farmwar.farmwar_skillname_09	效率提升	farmwar.farmwar_skilldes_09	{10}	4830004	1	种植玉米射手类蔬菜伙伴所需麻辣能量降低10%	{{1,8712},{2,10007}}	110007	1
10009	1	farmwar.farmwar_skillname_10	茁壮成长	farmwar.farmwar_skilldes_10	{20}	4830002	2	玉米射手类蔬菜伙伴的种植冷却时间降低20%	{{1,8712},{2,10008}}	110008	1
10011	1	farmwar.farmwar_skillname_12	大力肥料	farmwar.farmwar_skilldes_12	{10}	4830000	1	爆米花射手、飓风玉米射手的攻击力提高10%	{{1,8717}}	110010	1
10012	1	farmwar.farmwar_skillname_13	保鲜低温	farmwar.farmwar_skilldes_13	{10}	4830006	1	清凉玉米射手、急冻玉米射手减速提高10%	{{1,8717}}	110011	1
10013	1	farmwar.farmwar_skillname_14	保鲜低温	farmwar.farmwar_skilldes_14	{10}	4830006	2	清凉玉米射手、急冻玉米射手减速提高20%	{{1,8717},{2,10012}}	110036	2
10014	1	farmwar.farmwar_skillname_15	猛火烹饪	farmwar.farmwar_skilldes_15	{10}	4830005	1	爆炒玉米射手、火辣玉米射手灼烧提高10%	{{1,8717}}	110012	1
10015	1	farmwar.farmwar_skillname_16	猛火烹饪	farmwar.farmwar_skilldes_16	{10}	4830005	2	爆炒玉米射手、火辣玉米射手灼烧提高20%	{{1,8717},{2,10014}}	110012	2
10016	1	farmwar.farmwar_skillname_17	大力肥料	farmwar.farmwar_skilldes_17	{5}	4830000	1	花菜类蔬菜伙伴的攻击力提高5%	{{1,8712}}	110013	1
10017	1	farmwar.farmwar_skillname_18	健康肥料	farmwar.farmwar_skilldes_18	{25}	4830001	1	花菜类蔬菜伙伴的最大生命提高25%	{{1,8712},{2,10016}}	110014	1
10018	1	farmwar.farmwar_skillname_19	效率提升	farmwar.farmwar_skilldes_19	{10}	4830004	1	种植花菜类蔬菜伙伴所需的麻辣能量降低10%	{{1,8712},{2,10017}}	110015	1
10019	1	farmwar.farmwar_skillname_20	茁壮生长	farmwar.farmwar_skilldes_20	{20}	4830002	2	花菜类蔬菜伙伴的种植冷却时间降低20%	{{1,8712},{2,10018}}	110016	1
10020	1	farmwar.farmwar_skillname_21	健康肥料	farmwar.farmwar_skilldes_21	{50}	4830001	2	碰碰花菜的最大生命提高50%	{{1,8718}}	110017	1
10021	1	farmwar.farmwar_skillname_22	大力肥料	farmwar.farmwar_skilldes_22	{10}	4830000	1	碰碰花菜的攻击力提高10%	{{1,8718},{2,10020}}	110018	1
10022	1	farmwar.farmwar_skillname_23	健康肥料	farmwar.farmwar_skilldes_23	{5}	4830001	1	南瓜类蔬菜伙伴的最大生命提高5%	{{1,8713}}	110019	1
10023	1	farmwar.farmwar_skillname_24	效率提升	farmwar.farmwar_skilldes_24	{10}	4830004	1	种植南瓜类蔬菜伙伴所需麻辣能量降低10%	{{1,8713},{2,10022}}	110020	1
10024	1	farmwar.farmwar_skillname_25	茁壮成长	farmwar.farmwar_skilldes_25	{20}	4830002	2	南瓜类蔬菜伙伴的种植冷却时间降低20%	{{1,8713},{2,10023}}	110021	1
10026	1	farmwar.farmwar_skillname_27	大力肥料	farmwar.farmwar_skilldes_27	{50}	4830000	2	爆裂南瓜守卫的攻击力提高50%	{{1,8718}}	110023	1
10027	1	farmwar.farmwar_skillname_28	健康肥料	farmwar.farmwar_skilldes_28	{10}	4830001	1	火爆南瓜守卫的最大生命提高10%	{{1,8718}}	110024	1
10028	1	farmwar.farmwar_skillname_29	猛火烹饪	farmwar.farmwar_skilldes_29	{20}	4830005	1	火爆南瓜守卫施加的灼烧效果伤害提高20%	{{1,8718},{2,10027}}	110025	1
10029	1	farmwar.farmwar_skillname_30	健康肥料	farmwar.farmwar_skilldes_30	{10}	4830001	1	寒冰南瓜守卫的最大生命提高10%	{{1,8718}}	110026	1
10030	1	farmwar.farmwar_skillname_31	保鲜低温	farmwar.farmwar_skilldes_31	{20}	4830006	1	寒冰南瓜守卫施加的降低移动速度效果提高20%	{{1,8718},{2,10029}}	110027	1
10031	1	farmwar.farmwar_skillname_32	大力肥料	farmwar.farmwar_skilldes_32	{5}	4830000	1	胡萝卜类蔬菜伙伴的攻击力提高5%	{{1,8714}}	110028	1
10032	1	farmwar.farmwar_skillname_33	健康肥料	farmwar.farmwar_skilldes_33	{50}	4830001	1	胡萝卜类蔬菜伙伴的最大生命提高50%	{{1,8714},{2,10031}}	110029	1
10033	1	farmwar.farmwar_skillname_34	效率提升	farmwar.farmwar_skilldes_35	{10}	4830004	1	种植胡萝卜类蔬菜伙伴所需的麻辣能量降低10%	{{1,8714},{2,10032}}	110030	1
10034	1	farmwar.farmwar_skillname_35	茁壮成长	farmwar.farmwar_skilldes_36	{20}	4830002	2	胡萝卜类蔬菜伙伴的种植冷却时间降低20%	{{1,8714},{2,10033}}	110031	1
10036	1	farmwar.farmwar_skillname_37	大力肥料	farmwar.farmwar_skilldes_37	{10}	4830000	2	重火萝卜炮手、狂袭萝卜炮手攻击提高10%	{{1,8719}}	110032	1
10037	1	farmwar.farmwar_skillname_38	堂堂袭击	farmwar.farmwar_skilldes_38	{25}	4830000	1	浓缩麻辣能量弹辣椒炸弹伤害提高25%	{{1,8712}}	110033	1
10038	1	farmwar.farmwar_skillname_39	堂堂袭击	farmwar.farmwar_skilldes_39	{25}	4830000	1	浓缩麻辣能量弹辣椒炸弹伤害提高50%	{{1,8712},{2,10037}}	110033	2
10039	1	farmwar.farmwar_skillname_40	堂堂袭击	farmwar.farmwar_skilldes_40	{25}	4830000	1	浓缩麻辣能量弹辣椒炸弹伤害提高75%	{{1,8712},{2,10038}}	110033	3
10040	1	farmwar.farmwar_skillname_41	堂堂袭击	farmwar.farmwar_skilldes_41	{25}	4830000	2	浓缩麻辣能量弹辣椒炸弹伤害提高100%	{{1,8712},{2,10039}}	110033	4
10041	1	farmwar.farmwar_skillname_42	加倍幸运	farmwar.farmwar_skilldes_42	{40}	4830009	1	加倍幸运获取幸运圆饼的效率提高40%	{{1,8712}}	110034	1
10042	1	farmwar.farmwar_skillname_43	加倍幸运	farmwar.farmwar_skilldes_43	{20}	4830009	1	加倍幸运获取幸运圆饼的效率提高60%	{{1,8712},{2,10041}}	110034	2
10043	1	farmwar.farmwar_skillname_44	加倍幸运	farmwar.farmwar_skilldes_44	{20}	4830009	1	加倍幸运获取幸运圆饼的效率提高80%	{{1,8712},{2,10042}}	110034	3
10044	1	farmwar.farmwar_skillname_45	加倍幸运	farmwar.farmwar_skilldes_45	{20}	4830009	2	加倍幸运获取幸运圆饼的效率提高100%	{{1,8712},{2,10043}}	110034	4
10045	1	farmwar.farmwar_skillname_45	加倍幸运	farmwar.farmwar_skilldes_45	{20}	4830009	2	加倍幸运获取幸运圆饼的效率提高100%	{{1,8712},{2,10043}}	114514	3
10046	1	farmwar.farmwar_skillname_45	加倍幸运	farmwar.farmwar_skilldes_45	{20}	4830009	2	加倍幸运获取幸运圆饼的效率提高100%	{{1,8712},{2,10043}}	114514	4
