序号	备注	抽卡稀有度	GDPL	权重	UP标记（1为UP，2为New)	是否进入UP选择范围(若填1则进入以上的选择列表)
ID	Desc	Rarity	GDPL	Weight	UPTag	UPSelectTag
1	无声雷电	3	{2,1,1,1}	100		
2	铸铁卫士	3	{2,1,2,1}	100		
3	旧日叹息	4	{2,1,3,1}	100		
4	归来	4	{2,1,5,1}	100		
5	偏头痛	3	{2,1,6,1}	100		
6	黑衣拿破仑	3	{2,1,7,1}	100		
7	安全线	3	{2,1,8,1}	100		
8	电离水母	4	{2,1,9,1}	100		
9	正在施工	4	{2,1,10,1}	100		
10	北极狐	4	{2,1,11,1}	100		
11	军舰鸟	4	{2,1,12,1}	100		
12	次氯酸	4	{2,1,13,1}	100		
13	星尘回忆	5	{2,1,17,1}	100		1
14	百战老兵	5	{2,1,18,1}	100		1
15	简易扳手	3	{2,2,1,1}	100		
16	冬青木	3	{2,2,2,1}	100		
17	深海呼唤	4	{2,2,3,1}	100		
18	奥林匹斯	5	{2,2,4,1}	100		1
19	喧哗现场	4	{2,2,5,1}	100		
20	湖中女神	3	{2,2,7,1}	100		
21	甜甜灵魂	4	{2,2,8,1}	100		
22	朗姆风暴	3	{2,2,10,1}	100		
23	钢之白桦林	3	{2,2,11,1}	100		
24	魅惑爪痕	4	{2,2,12,1}	100		
25	湿地公园	4	{2,2,13,1}	100		
26	炙热年代	4	{2,2,15,1}	100		
27	迷乱迪斯科	4	{2,2,16,1}	100		
28	虎鲸号角	5	{2,2,17,1}	100		1
29	太空骑手	5	{2,2,19,1}	100		1
30	有人在吗	3	{2,3,1,1}	100		
31	无礼之辈	3	{2,3,2,1}	100		
32	瓦尔基里2056	4	{2,3,3,1}	100		
33	龙涎香	4	{2,3,5,1}	100		
34	群鸟仇人	3	{2,3,6,1}	100		
35	沉默的真相	3	{2,3,7,1}	100		
36	马尔贝克	3	{2,3,8,1}	100		
37	青金石	4	{2,3,9,1}	100		
38	机械警官	4	{2,3,11,1}	100		
39	霓虹灯管	4	{2,3,12,1}	100		
40	不协和音	4	{2,3,13,1}	100		
41	大宝贝儿	4	{2,3,14,1}	100		
42	太阳酬金	5	{2,3,17,1}	100		1
43	小粮食	5	{2,3,4,1}	100		1
44	提尔锋（锤击）	3	{2,4,1,1}	100		
45	烂橘子	4	{2,4,2,1}	100		
46	星辰大海	5	{2,4,3,1}	100		1
47	小小工具	4	{2,4,4,1}	100		
48	泥雪	3	{2,4,5,1}	100		
49	皮斯科	3	{2,4,6,1}	100		
50	天空墙	3	{2,4,7,1}	100		
51	半根火炬	3	{2,4,8,1}	100		
52	关键点	4	{2,4,9,1}	100		
53	彩虹打火机	4	{2,4,10,1}	100		
54	幸运时刻	4	{2,4,12,1}	100		
55	是！是！船长！	4	{2,4,15,1}	100		
56	野性装修	4	{2,4,16,1}	100		
57	教训	3	{2,5,1,1}	100		
58	怒不可遏	4	{2,5,2,1}	100		
59	审判前夜	5	{2,5,3,1}	100		1
60	灰狗	3	{2,5,4,1}	100		
61	冰冷沙丘	3	{2,5,5,1}	100		
62	草莓蛋糕	4	{2,5,6,1}	100		
63	楼道怪猫	4	{2,5,7,1}	100		
64	绝缘体	3	{2,5,8,1}	100		
65	重锤	3	{2,5,9,1}	100		
66	小黄鸭	4	{2,5,11,1}	100		
67	腐肉便利店	4	{2,5,12,1}	100		
68	舒适圈	4	{2,5,15,1}	100		
69	指示剂	4	{2,5,16,1}	100		
70	熔岩骨骼	5	{2,5,19,1}	100		1
71	加特林	3	{2,9,1,1}	100		
