zhe	对应关卡图标	备注	开启时间	结束时间	推荐角色	关卡类型(歼灭1 坚守2 无尽3 )	地图ID	战斗逻辑配置ID	解锁条件(1：账号等级；2：Level ID，3：是否拥有某道具，4：曜日本专用是否通关xx关卡)	下一关ID	出场怪物信息{{怪物编号,等级(填0不显示等级)}}	怪物强度模板	关卡buff组	无尽选路buff组（攻击）	无尽选路buff组（生存）	关卡概念图	任务资源	索引到具体BOSS	关卡等级(每个子任务对应的怪物等级)	关卡掩体等级(每个子任务对应的怪物等级)	关卡目标描述
ID	ReferIcon	Comments	StartTime	EndTime	ReferChar	LevelType	MapID	FightID	Condition	NextID	Monster	LevelStrength	BuffGroup1	BuffGroup2	BuffGroup3	PictureLevel	SubLevelPath	BossID	LevelArr	BunkerLevelArr	LevelPassDes
8656	1001357	线性关卡第1关	[202505151000]	[202505290400]	1	1	38	1		8657	{4801112,4801114,4801102,4801104}	4	{{3911010,3000},{3911020,1000},{3911070,1000},{3911090,1000},{3911110,1000},{3912030,1000},{3912070,1000},{3912080,1000}}	{{3911010,1000},{3911030,1000},{3911050,1000},{3911060,1000},{3911080,1000},{3911090,1000}}	{{3911110,1000},{3912010,1000},{3912020,1000},{3912030,1000},{3912040,1000},{3912050,1000},{3912090,1000}}	1801000	{2701}		{1,1,1}	{2,2,2}	girlrush.girl_goaldes_01
8657	1001365	线性关卡第2关	[202505151000]	[202505290400]	1	2	38	1	{{2,8656}}	8658	{4803116,4801112,4801117,5801111,5801113,4801114}	4	{{3911010,3000},{3911020,1000},{3911070,1000},{3911080,1000},{3911110,1000},{3912030,1000},{3912050,1000},{3912100,1000}}			1801005	{2702}		{2}	{2}	girlrush.girl_goaldes_02
8658	1001364	线性关卡第3关	[202505151000]	[202505290400]	2	1	38	1	{{2,8657}}	8659	{4801116,4801102,4801104,5801111,4801117,5801113,6801302}	4	{{3911030,1000},{3911040,1000},{3911080,1000},{3911100,1000},{3912030,1000},{3912060,1000},{3912070,1000},{3911060,1000}}			1801003	{2703}		{1,1,1}	{2,2,2}	girlrush.girl_goaldes_01
8659	1001361	线性关卡第4关	[202505151000]	[202505290400]	2	2	38	1	{{2,8658}}	8660	{4803116,4801112,5801111,5801101,5801113,4801114}	4	{{3911030,1000},{3911040,1000},{3911010,3000},{3911080,1000},{3911100,1000},{3912050,1000},{3912030,1000},{3912060,1000}}			1803089	{2704}		{2}	{2}	girlrush.girl_goaldes_02
8660	1001360	线性关卡第5关	[202505151000]	[202505290400]	3	1	38	1	{{2,8659}}	8661	{4801112,4801114,4801116,5801111,4801104,5801101,4801102,6801206}	4	{{3911050,1000},{3911060,1000},{3911110,1000},{3912030,1000},{3911040,1000},{3912090,1000},{3911010,3000},{3911090,1000}}			1801005	{2705}		{1,1,1}	{2,2,2}	girlrush.girl_goaldes_01
8661	1001362	线性关卡第6关	[202505151000]	[202505290400]	3	2	38	1	{{2,8660}}	8671	{4803116,4801112,5801101,4801117,5801111,4801102,4801114}	4	{{3911050,1000},{3911060,1000},{3911110,1000},{3912030,1000},{3912050,1000},{3912090,1000},{3912100,1000},{3911010,3000}}			1801000	{2706}		{2}	{2}	girlrush.girl_goaldes_02
8671	1001364	无尽关卡第1关	[202505171000]	[202505290400]	1	3	38	1	{{2,8661}}	8672	{4801112,4801114,4801116,4801104,4801102,4801117,5801113,5801111,5801101,6801206}	4	{{3911010,1000},{3911020,1000},{3911070,1000},{3911090,1000},{3911110,1000},{3912030,1000},{3912070,1000},{3912080,1000}}	{{3911111,2000},{3911112,1000},{3911115,1000},{3911114,1000},{3911116,1000}}	{{3911118,500},{3911119,500},{3912090,500},{3912100,500},{3912101,1000}}	1801003	{27071,27072,27073}		{{3,3,3},{3,4,4},{4,4,5}}	{{2,2,3},{3,3,4},{4,4,5}}	girlrush.girl_goaldes_03
8672	1001366	无尽关卡第1关	[202505171000]	[202505290400]	2	3	38	1	{{2,8671}}	8673	{4801116,4801102,4801112,4801114,4801117,4801104,5801111,5801113,5801101,6801302}	4	{{3911030,1000},{3911040,1000},{3911080,1000},{3911100,1000},{3912030,1000},{3912060,1000},{3912070,1000},{3911060,1000}}	{{3911111,1000},{3911112,2000},{3911115,1000},{3911114,1000},{3911116,1000}}	{{3911118,500},{3911119,500},{3912090,500},{3912100,1000},{3912101,500}}	1803089	{27081,27082,27083}		{{3,3,3},{3,4,4},{4,4,5}}	{{2,2,3},{3,3,4},{4,4,5}}	girlrush.girl_goaldes_03
8673	1001368	无尽关卡第1关	[202505171000]	[202505290400]	3	3	38	1	{{2,8672}}		{4801112,4801114,4801102,4801117,4801104,5801111,4801116,5801101,6801302,5801113,6801206}	4	{{3911050,1000},{3911060,1000},{3911110,1000},{3912030,1000},{3911040,1000},{3912090,1000},{3911010,1000},{3911090,1000}}	{{3911111,1000},{3911112,1000},{3911113,2000},{3911115,1000},{3911116,1000}}	{{3911118,500},{3911119,500},{3912090,1000},{3912100,500},{3912101,500}}	1801000	{27091,27092,27093}		{{3,3,3},{3,4,4},{4,4,5}}	{{2,2,3},{3,3,4},{4,4,5}}	girlrush.girl_goaldes_03
