索引（最大65535）	步骤ID	备注	指引类型	类别 0或不配:移动端和PC端都会触发 1：移动端 2：PC端	PC端按键	地图ID(关卡内通过NotifyUI触发的指引才配)	前置指引	是否可以跳过	是否在和谐状态下禁止触发（1禁止）	是否重复触发	跳过的话顺带完成的指引ID	组[x,y] 如果x步已经完成，则跳转到Y步	{step,func,{param1,param1,}}如果func返回true，则跳转到step步	是否需要清空用户输入	指引出现延迟时间	窗口名	目标按钮路径	控件路径	3DUI路径	目标Actor名	控制可点击范围大小，不填则按按钮大小控制	阴影显示形状 1或不配圆形 2矩形	阴影区域显示大小，不填则默认370*370	指引框偏移，格式：{10,10}	气泡浮窗提示（{txtkey,nDirection},nDirection 填1、2、3、4 表示上、下、左、右	新浮窗提示	文字提示	键盘按键文字显示	文字提示-手柄	键盘按键文字显示-手柄	文字控件位置	Role头像(对应PlotRoleImg中的名称索引)	文字控件标题	文字提示消失延迟（秒）	是否显示黑色遮罩	是否按任意位置结束指引步骤	倒计时自动结束步骤	是否返回键完成指引	步骤结束模式（Move,Rotate,Click,Up,Down,Touch,LongPress,Notify)	是否为点击不穿透模式	参数列表	关卡已通关则直接完成指引	达到特定条件直接完成指引	显示的控件列表(多个控件用逗号隔开)	隐藏的控件列表（多个控件用逗号隔开）	显示控件列表的缩放	目标界面打开时时调用	指引步骤开始时调用	指引步骤结束时调用	UI名字（只用于只有图片的指引）	图片路径（对应helpimages.txt中的ID,只用于只有图片的指引）	重复开始指引的通关条件，如果指定关卡未正常通关，则会重复开启	完成后是否触发新的指引	指引过程中有新的指引触发是否等待(默认直接顶替，等待结束配1)	步骤结束延迟进入下一步	备注	老玩家模式是否触发配置（1不触发，不配触发）
ID	StepId	NUL	Type	Group	PCKey	MapID	PreGuide	Skip	Negated	Repeat	SkipID	Check	CheckEx	ReleaseInput	Time	Window	Path	WidgetPath	Panel3DPath	TargetActor	TargetSize	ShadowShape	ShadowSize	Offset	BubbleTips	BannerTips	Tips	KeyBoard	HandleTips	HandleKeyBoard	TxtPos	TxtIcon	TxtTitle	TxtDelay	ShowMask	PressContinue	AutoComplete	IsBack	CompleteMode	NoFunction	Param	Level	CheckCompleteEx	ShowList	HideList	ShowScale	OnWindowOpen	StepBegin	StepEnd	TextureUI	TexturePath	Restart	Refresh	NoReplace	Delay		VeteranGuide
																																																									
1		移动	Force	1											0																																										
	1	移动			Move										0	Fight	Joystick/ImgCompass										guideui.move		guideui.movehandle		{300,300}	卡罗琳	card.NPC001	2	1				Move					GuideCover				{"SetKeyInput",{"Fire",0}};{"SetKeyboardInput",{0,13,14,15}};{"SetKeyInput",{"Aim",0}};{"SetKeyInput",{"Reload",0}}	{"SetKeyboardInput",{1,13,14,15}}								
																																																									
1		移动	Force	2											0																																										
	1	移动			Move										0												guideui.movepc	{"TxtKeyMove1","TxtKeyMove2","TxtKeyMove3","TxtKeyMove4"}	guideui.movehandle		{300,300}	卡罗琳	card.NPC001	2	1													{"SetKeyInput",{"Fire",0}};{"SetKeyInput",{"Aim",0}};{"SetKeyInput",{"Reload",0}}									
																																																									
2		转向	Force	1											0																																										
	1	旋转			Rot									1	0	Fight	blank										guideui.turn		guideui.turnhandle		{300,300}	卡罗琳	card.NPC001	2	1				Rotate					GuideNovice				{"SetKeyboardInput",{0,12,14,15}}	{"SetKeyboardInput",{1,12,14,15}}								
																																																									
2		转向	Force	2											0																																										
	1	旋转			Rot										0												guideui.turnpc		guideui.turnhandle		{300,300}	卡罗琳	card.NPC001	2	1																						
																																																									
10		疾跑	NonForce	1											0																																										
	1	疾跑			Rush										0	Fight	SkillPanel/RushNew										guideui.skill_run		guideui.skill_runhandlenew	{"TxtKeyRun"}	{300,300}	卡罗琳	card.NPC001	3	0				Notify					GuideClick		1.5											
																																																									
10		疾跑	NonForce	2											0																																										
	1	疾跑			Rush										0												guideui.skill_runpc	{"TxtKeyRun"}	guideui.skill_runhandlenew	{"TxtKeyRun"}	{300,300}	卡罗琳	card.NPC001	3	0																						
																																																									
21		目标引导	NonForce	1											0																																										
