效果ID	//注释	效果类型	效果名字	效果描述（图鉴/开局显示）	效果描述（对局内触发/使用时显示）	效果图标	图鉴底板	出现权重	互斥效果
BlindID	Comment	BlindType	BlindName	BlindDesc	BlindDescGame	BlindIcon	BlindBg	Weight	MutuallyExclusive
101	新一小局开始（重新发牌）时，反转行动顺序	2	house.GuessPoker_BlindName01	house.GuessPoker_BlindDesc01	house.GuessPoker_BlindDesc01	1001545	1700224	100	
102	开牌验证时，若翻开的是1张牌，则除胜者外的所有玩家将依次受罚	2	house.GuessPoker_BlindName02	house.GuessPoker_BlindDesc02	house.GuessPoker_BlindDesc02	1001545	1700224	100	
103	开牌验证时，若翻开的是3张指定牌，除胜者外的所有玩家将依次受罚	2	house.GuessPoker_BlindName03	house.GuessPoker_BlindDesc03	house.GuessPoker_BlindDesc03	1001545	1700224	100	
104	每小局发放的手牌至少包含1张假牌	2	house.GuessPoker_BlindName04	house.GuessPoker_BlindDesc04	house.GuessPoker_BlindDesc04	1001545	1700224	100	{203}
105	每小局发放的手牌至少包含2张假牌	2	house.GuessPoker_BlindName05	house.GuessPoker_BlindDesc05	house.GuessPoker_BlindDesc05	1001545	1700224	100	{203}
106	手牌数量足够的情况下，选择出牌时必须打出2张牌	2	house.GuessPoker_BlindName06	house.GuessPoker_BlindDesc06	house.GuessPoker_BlindDesc06	1001545	1700224	100	
107	打出2张及以上数量的牌时，将随机其中1张明牌	2	house.GuessPoker_BlindName07	house.GuessPoker_BlindDesc07	house.GuessPoker_BlindDesc07	1001545	1700224	100	
108	拼盘中剩余特调数量足够时，受罚需选择2杯特调喝下	2	house.GuessPoker_BlindName08	house.GuessPoker_BlindDesc08	house.GuessPoker_BlindDesc08	1001545	1700224	100	
109	少女%s在单数小局时不能质疑（当前为第x小局）	2	house.GuessPoker_BlindName09	house.GuessPoker_BlindDesc09_1	house.GuessPoker_BlindDesc09	1001544	1700224	100	
110	少女%s在双数小局时不能质疑（当前为第x小局）	2	house.GuessPoker_BlindName10	house.GuessPoker_BlindDesc10_1	house.GuessPoker_BlindDesc10	1001544	1700224	100	
111	分析员的回合时，可任选一位玩家，随机选择她的一张手牌复制，并替换自己的一张手牌，限1次（当前剩余：1/1）	2	house.GuessPoker_BlindName11	house.GuessPoker_BlindDesc11_1	house.GuessPoker_BlindDesc11	1001543	1700224	100	
									
201	分析员每小局发放的手牌至少包含1张万能牌	1	house.GuessPoker_BlindName12	house.GuessPoker_BlindDesc12	house.GuessPoker_BlindDesc12	1001546	1700225	100	
202	分析员每小局发放的手牌至少包含2张指定牌	1	house.GuessPoker_BlindName13	house.GuessPoker_BlindDesc13	house.GuessPoker_BlindDesc13	1001546	1700225	100	
203	分析员第一小局发放的手牌必定为指定牌和万能牌的组合（不会和“每小局发x张假牌”同时出现）	1	house.GuessPoker_BlindName14	house.GuessPoker_BlindDesc14	house.GuessPoker_BlindDesc14	1001546	1700225	100	{104,105}
204	分析员只剩1杯特调时，若在开牌判定中落败，可跳过惩罚，限1次（当前剩余：1/1）	1	house.GuessPoker_BlindName15	house.GuessPoker_BlindDesc15_1	house.GuessPoker_BlindDesc15	1001546	1700225	100	
205	分析员选择质疑时可使用，无论上家出什么牌，都会被强制质疑成功，限1次（当前剩余：1/1）	1	house.GuessPoker_BlindName16	house.GuessPoker_BlindDesc16_1	house.GuessPoker_BlindDesc16	1001546	1700225	100	
