角色Id	声音id	//备注	语音（2条用逗号隔开）
Id	AudioID	Des	Voice
1	1001	安卡希雅-点单界面	Play_Vo_throw_order_girl001_01,Play_Vo_throw_order_girl001_02
1	1002	安卡希雅-待机动作时，进入新对局语音	Play_Vo_throw_idle_girl001_01,Play_Vo_throw_idle_girl001_02
1	1003	安卡希雅-待机动作时，失败1次语音	Play_Vo_throw_idle_girl001_03
1	1004	安卡希雅-待机动作时，连续失败2次语音	Play_Vo_throw_idle_girl001_04,Play_Vo_throw_idle_girl001_05
1	1005	安卡希雅-待机动作时，连续失败3次语音	
1	1006	安卡希雅-待机动作时，成功1次语音	Play_Vo_throw_idle_girl001_06
1	1007	安卡希雅-待机动作时，连续成功2次语音	Play_Vo_throw_idle_girl001_07,Play_Vo_throw_idle_girl001_08
1	1008	安卡希雅-待机动作时，连续成功3次语音	
1	1009	安卡希雅-常规成功动作时的语音	Play_Vo_throw_catch01_girl001_01,Play_Vo_throw_catch01_girl001_02
1	1010	安卡希雅-特殊成功动作时的语音	Play_Vo_throw_catch02_girl001_01,Play_Vo_throw_catch02_girl001_02
1	1011	安卡希雅-常规失败动作时的语音	Play_Vo_throw_lose01_girl001_01,Play_Vo_throw_lose01_girl001_02
1	1012	安卡希雅-特殊失败动作时的语音	Play_Vo_throw_lose02_girl001_01,Play_Vo_throw_lose02_girl001_02
1	1013	安卡希雅-成功结算表演的语音	Play_Vo_throw_victory_girl001
1	1014	安卡希雅-失败结算表演的语音	Play_Vo_throw_defeat_girl001
1	1015	安卡希雅-挑战模式结算表演的语音	Play_Vo_throw_victory_S_girl001
1	1016	安卡希雅-减速冰镇技能期间的语音	Play_Vo_throw_skill_girl001
1	1017	安卡希雅-外围界面选择少女时的语音	Play_Vo_throw_choose_girl001_02
1	1018	安卡希雅-点单小剧场	Play_Vo_throw_choose_girl001_01
			
8	1001	芬妮-点单界面	Play_Vo_throw_order_girl008c_01,Play_Vo_throw_order_girl008c_02
8	1002	芬妮-待机动作时，进入新对局语音	Play_Vo_throw_idle_girl008c_01,Play_Vo_throw_idle_girl008c_02
8	1003	芬妮-待机动作时，失败1次语音	Play_Vo_throw_idle_girl008c_03
8	1004	芬妮-待机动作时，连续失败2次语音	Play_Vo_throw_idle_girl008c_04,Play_Vo_throw_idle_girl008c_05
8	1005	芬妮-待机动作时，连续失败3次语音	
8	1006	芬妮-待机动作时，成功1次语音	Play_Vo_throw_idle_girl008c_06
8	1007	芬妮-待机动作时，连续成功2次语音	Play_Vo_throw_idle_girl008c_07,Play_Vo_throw_idle_girl008c_08
8	1008	芬妮-待机动作时，连续成功3次语音	
8	1009	芬妮-常规成功动作时的语音	Play_Vo_throw_catch01_girl008c_01,Play_Vo_throw_catch01_girl008c_02
