机制ID	//注释	参数类型	指定函数
ID	Comment	ParamType	FuncName
1	彩蛋币转化概率+x%	number	
2	结算时额外+x分（乘完再加）	number	
3	自身分数+x（先加再乘）	number	SpecialCoinAddBaseScore
4	结算时额外获得x票券（乘完再加）	number	
5	结算时额外获得x基础币（需手动投出）	number	
6	特殊币-狙击-摧毁一定范围内的坏币，每次摧毁可获得x票券。攻击3次后自毁（参数：获得票券数量）	number	SpecialCoin101
7	特殊币-种子（完全体）-吸收范围内的阳光或肥料币作为养分，养分进度为5时，立即在自身位置生成种子币树(参数：满养分值）	number	
12	特殊币-小花-每次主动投币时，场上存在的每枚小花都有x%概率产出x枚阳光。（参数：概率；数量）	table	
13	特殊币-枯萎花瓣-进入新回合时，x%概率生成小币树（参数：概率）	number	
14	特殊币-小猪储蓄罐-投出时，消耗x%当前票券。消耗的每x张票券，使自身分数+x（参数：消耗百分比，数量，分值）	table	
15	特殊币-银行-投出后，记录从此刻开始，推落结算获得的票券数。下回合开始时，立即获得记录数量x票券倍率的票券（当前已记录：具体票券数量）	null	
16	特殊币-大涨-存在场上时，票券倍率+x（参数：倍率增值）	number	
17	特殊币-给我钱-结算时，额外获得x~y票券（参数：随机区间包含上下限）	random	
18	特殊币-双行星-吸引范围内的随机x枚基础分值＜自身的硬币，使对方基础分值与自身相等（参数：数量）	number	
19	坏币-钻头-存在场上时，累计能量点要求的连击数+2（参数：连击数增值）	number	
20	坏币-无人机-存在场上时，每回合开始时，失去10x票券倍率数量的票券（参数：基础数量）	number	
21	坏币-噬咬球-存在场上时，无法兑币	null	
22	坏币-大眼-存在场上时，所有镀层无法生效	null	
23	坏币-三角-存在场上时，所有幸运礼物无法发挥作用	null	
24	镀层-荧光-自身分数+10，效果范围（有的话）扩大10%（参数：分数增值；范围扩大百分比）	table	
25	镀层-闪泊-投出时，立即获得30票券（参数：票券数）	number	
26	镀层-冰裂纹-投出时，立即获得1枚无镀层的同ID硬币（币盒无空位时无法获得）（参数：获得数量）	number	
27	坏币清除奖励-主动道具格数+1（参数：增加格数）	number	MagicReward1
28	坏币清除奖励-被动道具格数+1（参数：增加格数）	number	MagicReward2
29	坏币清除奖励-回合结束时（进入商店前），未使用的基础币可保留至下一回合	null	
30	坏币清除奖励-商店内出现镀层的概率提升10%（参数：概率）	number	
31	坏币清除奖励-进入商店时，提供2次免费刷新机会（参数：次数）	number	
32	坏币清除奖励-商店内商品售价优惠20%（参数：折扣率）	number	
			
101	瑟瑞斯人偶-有硬币以任意方式结算时，有2%概率从推币板上空随机位置（不重叠）掉落6~12枚基础币。进入下回合时自动移除（参数：触发概率，掉落数量区间含上下限）	table	RandomDropCoin
102	肴人偶-放置后，每次兑币时，范围内每有1枚硬币，票券倍率+1。进入下回合后自动移除，提升倍率重置（参数：硬币数，票券倍率加值）	table	GetMoneyByCoinNum
103	暴富手枪-立即从推币板上空随机位置（不重叠）掉落2~10枚当前购买次数最多的特殊币（当前为：%s）（参数：掉落数量区间含上下限）	table	DropRandomNumCoin
			
1001	奖池效果-赠币：左右币口轮流自动投入基础币，合计x枚（参数：数量，投币间隔秒数）	table	GainCoin
1002	奖池效果-票券：直接获得x张票券（参数：数量）	number	GainTicket
1003	奖池效果-扭蛋球：直接从推币板上方随机掉落1个x品质范围的扭蛋球（参数：品质ID列表）	table	GainGashapon
1004	奖池效果-再抽一次：开启x卡池并再抽一次（参数：新卡池ID）	number	PullAgain
1005	奖池效果-币塔：机台面固定处升起x枚币堆成的币塔（参数：数量）	number	CoinTower
1006	奖池效果-爆炸币塔1（不同币数分别对应id对应形状）：升起币塔，并自动炸开（参数：数量）	number	BombCoinTowerType1
1007	奖池效果-爆炸币塔2（不同币数分别对应id对应形状）：升起币塔，并自动炸开（参数：数量）	number	BombCoinTowerType2
