回合数	//注释	刷新次数及对应票券消耗
TurnsRange	Comment	RefreshTimesCost
[1,4]	第1回合-第4回合；第1次刷新消耗	1,5
[1,4]	第1回合-第4回合；第2次刷新消耗	2,9
[1,4]	第1回合-第4回合；第3次刷新消耗	3,18
[1,4]	第1回合-第4回合；第4次刷新消耗	4,31
[1,4]	第1回合-第4回合；第5次刷新消耗	5,50
[1,4]	第1回合-第4回合；第6次刷新消耗	6,85
[1,4]	第1回合-第4回合；第7次及之后刷新消耗	7,142
		
[5,6]	第5回合-第6回合；第1次刷新消耗	1,11
[5,6]	第5回合-第6回合；第2次刷新消耗	2,22
[5,6]	第5回合-第6回合；第3次刷新消耗	3,40
[5,6]	第5回合-第6回合；第4次刷新消耗	4,68
[5,6]	第5回合-第6回合；第5次刷新消耗	5,112
[5,6]	第5回合-第6回合；第6次刷新消耗	6,188
[5,6]	第5回合-第6回合；第7次及之后刷新消耗	7,316
		
[7,9]	第7回合-第9回合；第1次刷新消耗	1,16
[7,9]	第7回合-第9回合；第2次刷新消耗	2,32
[7,9]	第7回合-第9回合；第3次刷新消耗	3,60
[7,9]	第7回合-第9回合；第4次刷新消耗	4,102
[7,9]	第7回合-第9回合；第5次刷新消耗	5,168
[7,9]	第7回合-第9回合；第6次刷新消耗	6,282
[7,9]	第7回合-第9回合；第7次及之后刷新消耗	7,474
		
[10,MAX]	第10及之后回合，第1次刷新消耗	1,22
[10,MAX]	第10及之后回合，第2次刷新消耗	2,43
[10,MAX]	第10及之后回合，第3次刷新消耗	3,80
[10,MAX]	第10及之后回合，第4次刷新消耗	4,136
[10,MAX]	第10及之后回合，第5次刷新消耗	5,224
[10,MAX]	第10及之后回合，第6次刷新消耗	6,376
[10,MAX]	第10及之后回合，第7次刷新消耗	7,632
