商店ID（1普通商店 2高级商店）	Index	礼物ID	精选商店排序（越大越前）	精选商店分类(1替换系列2膝枕系列）	礼物GDPL	需要的物品({{GDPLN},{GDPLN}})	需要的家具币	需要的数据金	商店屏蔽	非礼物时分类npc	限购次数	限购Id	打折开始时间	打折结束时间	折扣	高级家具商店背景预览图	付费商店红点版本号
ShopType	Index	GiftId	ShowOrder	SeriesType	Gift	NeedItems	NeedMoney	NeedGold	ShopBan	NpcId	LimitCount	LimitId	SaleOffBeginTime	SaleOffEndTime	SaleOffScale	PreviewIcon	ShopVersion
1	1	101			{8,1,1,3}	{{5,1,1,1,2}}	200										
1	2	102			{8,1,2,3}	{{5,1,1,1,2}}	300										
1	3	103			{8,1,3,3}	{{5,1,1,1,2}}	200		1								
1	4	105			{8,1,4,3}	{{5,1,1,1,2}}	200										
1	5	107			{8,1,5,3}	{{5,1,1,1,2}}	300										
1	6	104			{8,1,6,3}	{{5,1,1,1,2}}	200										
1	7	106			{8,1,7,3}	{{5,1,1,1,2}}	300										
1	8	108			{8,1,8,3}	{{5,1,1,1,2}}	100										
1	9	109			{8,1,9,3}	{{5,1,1,1,2}}	100										
1	10	110			{8,1,10,3}	{{5,1,1,1,2}}	100										
1	11	201			{8,2,1,3}	{{5,1,1,1,2}}	300										
1	12	202			{8,2,2,3}	{{5,1,1,1,2}}	200		1								
1	13	203			{8,2,3,3}	{{5,1,1,1,2}}	300										
1	14	204			{8,2,4,3}	{{5,1,1,1,2}}	200		1								
1	15	205			{8,2,5,3}	{{5,1,1,1,2}}	300										
1	16	206			{8,2,6,3}	{{5,1,1,1,2}}	200										
1	17	207			{8,2,7,3}	{{5,1,1,1,2}}	100		1								
1	18	208			{8,2,8,3}	{{5,1,1,1,2}}	200										
1	19	209			{8,2,9,3}	{{5,1,1,1,2}}	100										
1	20	210			{8,2,10,3}	{{5,1,1,1,2}}	100										
1	21	401			{8,4,1,3}	{{5,1,1,1,2}}	300										
1	22	402			{8,4,2,3}	{{5,1,1,1,2}}	300										
1	23	403			{8,4,3,3}	{{5,1,1,1,2}}	300										
1	24	404			{8,4,4,3}	{{5,1,1,1,2}}	200		1								
1	26	405			{8,4,5,3}	{{5,1,1,1,2}}	200										
1	27	406			{8,4,6,3}	{{5,1,1,1,2}}	100										
1	28	407			{8,4,7,3}	{{5,1,1,1,2}}	200										
1	29	408			{8,4,8,3}	{{5,1,1,1,2}}	100										
1	30	409			{8,4,9,3}	{{5,1,1,1,2}}	100										
1	25	410			{8,4,10,3}	{{5,1,1,1,2}}	200										
1	31	701			{8,7,1,3}	{{5,1,1,1,2}}	300										
1	32	702			{8,7,2,3}	{{5,1,1,1,2}}	300										
1	33	703			{8,7,3,3}	{{5,1,1,1,2}}	200										
1	34	704			{8,7,4,3}	{{5,1,1,1,2}}	200		1								
1	35	705			{8,7,5,3}	{{5,1,1,1,2}}	200										
1	36	706			{8,7,6,3}	{{5,1,1,1,2}}	100										
1	37	707			{8,7,7,3}	{{5,1,1,1,2}}	300										
1	38	708			{8,7,8,3}	{{5,1,1,1,2}}	100										
1	39	709			{8,7,9,3}	{{5,1,1,1,2}}	200										
1	40	710			{8,7,10,3}	{{5,1,1,1,2}}	100										
1	41	801			{8,8,1,3}	{{5,1,1,1,2}}	300										
1	42	802			{8,8,2,3}	{{5,1,1,1,2}}	200		1								
1	46	803			{8,8,3,3}	{{5,1,1,1,2}}	200										
1	43	804			{8,8,4,3}	{{5,1,1,1,2}}	300										
1	47	805			{8,8,5,3}	{{5,1,1,1,2}}	200										
1	44	806			{8,8,6,3}	{{5,1,1,1,2}}	200										
1	45	807			{8,8,7,3}	{{5,1,1,1,2}}	300										
1	48	808			{8,8,8,3}	{{5,1,1,1,2}}	100										
1	49	809			{8,8,9,3}	{{5,1,1,1,2}}	100										
1	50	810			{8,8,10,3}	{{5,1,1,1,2}}	100										
1	51	1301			{8,13,1,3}	{{5,1,1,1,2}}	300										
1	52	1302			{8,13,2,3}	{{5,1,1,1,2}}	300										
1	53	1303			{8,13,3,3}	{{5,1,1,1,2}}	300										
1	54	1304			{8,13,4,3}	{{5,1,1,1,2}}	200										
1	55	1305			{8,13,5,3}	{{5,1,1,1,2}}	200										
1	56	1306			{8,13,6,3}	{{5,1,1,1,2}}	200										
1	57	1307			{8,13,7,3}	{{5,1,1,1,2}}	100										
1	58	1308			{8,13,8,3}	{{5,1,1,1,2}}	100										
1	59	1309			{8,13,9,3}	{{5,1,1,1,2}}	100										
1	60	1310			{8,13,10,3}	{{5,1,1,1,2}}	200										
1	61	1401			{8,14,1,3}	{{5,1,1,1,2}}	300										
1	62	1402			{8,14,2,3}	{{5,1,1,1,2}}	300										
1	63	1403			{8,14,3,3}	{{5,1,1,1,2}}	200										
1	64	1404			{8,14,4,3}	{{5,1,1,1,2}}	300										
1	65	1405			{8,14,5,3}	{{5,1,1,1,2}}	200										
