角色id	语音id	备注	开始时段	结束时段	动作限定	权重
NpcId	VoiceId	Null	BeginHour	EndHour	TargetAction	Weight
1	40101	早。	6	10		10
1	40102	干嘛	0	24		1
1	40103	是你啊。	0	24		1
1	40104	有事？	0	24		1
1	40105	该打游戏了。	20	24		10
						
2	40201	早。	6	10		10
2	40202	分析员？	0	24		1
2	40203	要聊什么？	0	24		1
2	40204	嗯，现在有空。	0	24		1
2	40205	晚安。	20	24		10
						
3	40301	哟吼~早~	6	10		10
3	40302	嘿嘿真巧。	0	24		1
3	40303	嗯？什么？	0	24		1
3	40304	分析员！	0	24		1
3	40305	哈——（哈欠）时间过得好快啊。	0	24	{'house_bed1'}	100
						
4	40401	早上好啊——	6	10		10
4	40402	发现分析员！	0	24		1
4	40403	嗯~嗯嗯~	0	24		1
4	40404	哼~哼~	0	24		1
4	40405	有点困了。	0	24	{'house_bed1'}	100
						
5	40501	早安，分析员。	6	10		10
5	40502	要和我聊天？	0	24		1
5	40503	嗯？分析员？	0	24		1
5	40504	又见到分析员了~	0	24		1
5	40505	晚安，分析员。	20	24		10
						
6	40601	早上好！	6	10		10
6	40602	找我有什么事？	0	24		1
6	40603	正好现在休息。	0	24		1
6	40604	这样啊……	0	24		1
6	40605	晚上好！	20	24		10
						
7	40701	早……早上好！	6	10		10
7	40702	分…分析员？	0	24		1
7	40703	您好……	0	24		1
7	40704	嗯？	0	24		1
7	40705	晚……晚上好。	20	24		10
						
8	40801	早呀~分析员	6	10		10
8	40802	哟~分析员	0	24		1
8	40803	说吧我在听	0	24		1
8	40804	嗯哼~	0	24		1
8	40805	晚上好呀~	20	24		10
						
10	41001	哈啊——早。	6	10		10
10	41002	找我干嘛？	0	24		1
10	41003	聊天也算加班。	0	24		1
10	41004	嗨~~~	0	24		1
10	41005	差不多该休息了。	20	24		10
						
11	41101	早啊！分析员——	6	10		10
11	41102	和我聊聊天嘛！	0	24		1
11	41103	想我了吗？	0	24		1
11	41104	找我吗？	0	24		1
11	41105	今天要梦到我哦~	20	24		10
						
12	41201	早安喵。	6	10		10
12	41202	你好喵。	0	24		1
12	41203	有什么事喵？	0	24		1
12	41204	现在不忙。	0	24		1
12	41205	晚安喵。	20	24		10
						
13	41301	早上好呀~嘿嘿	6	10		10
13	41302	你好啊~	0	24		1
13	41303	嗯嗯！	0	24		1
13	41304	诶？找我吗？	0	24		1
13	41305	诶？现在几点了！？	20	24		10
						
14	41401	早。	6	10		10
14	41402	聊天？可以。	0	24		1
14	41403	在看我吗？	0	24		1
14	41404	天气甚好。	0	24		1
14	41405	请注意休息。	20	24		10
						
17	41701	元气满满的一天~	6	10		10
17	41702	当当当当！	0	24		1
17	41703	诶？找我？	0	24		1
17	41704	有什么事吗？	0	24		1
17	41705	晚上好啊嘿嘿~	0	24	{'house_bed1'}	100
						
15	41501	嗯，是个好天气。	6	10		10
15	41502	想我了吗？	0	24		1
15	41503	怎么了？	0	24		1
15	41504	嗯，我在听。	0	24		1
15	41505	难得的安全感。	0	24	{'house_bed1'}	100
						
16	41601	嗷~早上好！	6	10		10
16	41602	开饭了吗？	0	24		1
16	41603	叫我吗？	0	24		1
16	41604	多陪陪我嘛！	0	24		1
16	41605	软软的，好暖和……	0	24	{'house_tentrest'}	100
						
18	41801	早上好呀。	6	10		10
18	41802	想看电影吗？	0	24		1
18	41803	请再靠近一些！	0	24		1
18	41804	我在想……	0	24		1
18	41805	有办法控制梦境吗？	0	24	{'house_bed1'}	100
						
20	42001		6	10		10
20	42002		0	24		1
20	42003		0	24		1
20	42004		0	24		1
20	42005		0	24	{'house_bed1'}	100
						
21	42101		6	10		10
21	42102		0	24		1
21	42103		0	24		1
21	42104		0	24		1
21	42105		0	24	{'house_bed1'}	100
						
22	42201		6	10		10
22	42202		0	24		1
22	42203		0	24		1
22	42204		0	24		1
22	42205		0	24	{'house_bed1'}	100
						
23	42301		6	10		10
23	42302		0	24		1
23	42303		0	24		1
23	42304		0	24		1
23	42305		0	24	{'house_bed1'}	100
						
24	42401		6	10		10
24	42402		0	24		1
24	42403		0	24		1
24	42404		0	24		1
24	42405		0	24	{'house_bed1'}	100
						
101	410101		0	24		1
101	410102		0	24		1
101	410103		0	24		1
101	410104		0	24		1
101	410105		0	24		1
						
103	410101		0	24		1
103	410102		0	24		1
103	410103		0	24		1
103	410104		0	24		1
103	410105		0	24		1
