Girl	Index	等级	故事Id	剧情名字	奖励列表
GirlId	Index	Level	StoryId	StoryName	TbAward
1	1	10	700101	house.girl01_LoveStory01	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
1	2	20	700102	house.girl01_LoveStory02	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
1	3	30	700103	house.girl01_LoveStory03	{{4,3,2,1,50},{4,3,1,1,3000},{9,2,5,1,1}}
1	4	40	700104	house.girl01_LoveStory04	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
1	5	50	700105	house.girl01_LoveStory05	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
					
2	1	10	700201	house.girl02_LoveStory01	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
2	2	20	700202	house.girl02_LoveStory02	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
2	3	30	700203	house.girl02_LoveStory03	{{4,3,2,1,50},{4,3,1,1,3000},{9,2,8,1,1}}
2	4	40	700204	house.girl02_LoveStory04	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
2	5	50	700205	house.girl02_LoveStory05	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
					
4	1	10	700401	house.girl04_LoveStory01	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
4	2	20	700402	house.girl04_LoveStory02	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
4	3	30	700403	house.girl04_LoveStory03	{{4,3,2,1,50},{4,3,1,1,3000},{9,2,7,1,1}}
4	4	40	700404	house.girl04_LoveStory04	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
4	5	50	700405	house.girl04_LoveStory05	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
					
7	1	10	700701	house.girl07_LoveStory01	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
7	2	20	700702	house.girl07_LoveStory02	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
7	3	30	700703	house.girl07_LoveStory03	{{4,3,2,1,50},{4,3,1,1,3000},{9,2,10,1,1}}
7	4	40	700704	house.girl07_LoveStory04	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
7	5	50	700705	house.girl07_LoveStory05	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
					
8	1	10	700801	house.girl08_LoveStory01	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
8	2	20	700802	house.girl08_LoveStory02	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
8	3	30	700803	house.girl08_LoveStory03	{{4,3,2,1,50},{4,3,1,1,3000},{9,2,6,1,1}}
8	4	40	700804	house.girl08_LoveStory04	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
8	5	50	700805	house.girl08_LoveStory05	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
					
13	1	10	701301	house.girl13_LoveStory01	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
13	2	20	701302	house.girl13_LoveStory02	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
13	3	30	701303	house.girl13_LoveStory03	{{4,3,2,1,50},{4,3,1,1,3000},{9,2,11,1,1}}
13	4	40	701304	house.girl13_LoveStory04	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
13	5	50	701305	house.girl13_LoveStory05	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
					
14	1	10	701401	house.girl14_LoveStory01	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
14	2	20	701402	house.girl14_LoveStory02	{{4,3,2,1,50},{4,3,1,1,3000},{5,1,1,4,3}}
