区域Id(0:大厅 >0:少女卧室)	顺序Id(仅用于存数据，保持唯一性即可，从1开始)	家具模板
AreaId	Index	FurnitureTmpId
1	1	101
1	2	102
1	3	103
1	4	104
1	5	105
1	6	106
1	7	107
1	8	108
1	9	109
1	10	110
1	11	111
1	12	121
1	13	122
1	14	120
2	1	201
2	2	202
2	3	203
2	4	204
2	5	205
2	6	206
2	7	207
2	8	208
2	9	209
2	10	210
2	11	213
2	12	220
2	13	221
4	1	401
4	2	402
4	3	403
4	4	404
4	5	405
4	6	406
4	7	407
4	8	408
4	9	409
4	10	410
4	11	414
4	12	420
7	1	701
7	2	702
7	3	703
7	4	704
7	5	705
7	6	706
7	7	707
7	8	708
7	9	709
7	10	710
7	11	711
8	1	801
8	2	802
8	3	803
8	4	804
8	5	805
8	6	806
8	7	807
8	8	808
8	9	809
8	10	810
8	11	811
8	12	820
8	13	821
13	1	1301
13	2	1302
13	3	1303
13	4	1304
13	5	1305
13	6	1306
13	7	1307
13	8	1308
13	9	1309
13	10	1310
13	11	1314
14	1	1401
14	2	1402
14	3	1403
14	4	1404
14	5	1405
14	6	1406
14	7	1407
14	8	1408
14	9	1409
14	10	1410
14	11	1412
14	12	1421
14	13	1420
5	1	501
5	2	502
5	3	503
5	4	504
5	5	505
5	6	506
5	7	507
5	8	508
5	9	509
5	10	510
5	11	514
5	12	520
5	13	521
6	1	601
6	2	602
6	3	603
6	4	604
6	5	605
6	6	606
6	7	607
6	8	608
6	9	609
6	10	610
6	11	613
6	12	620
10	1	1001
10	2	1002
10	3	1003
10	4	1004
10	5	1005
10	6	1006
10	7	1007
10	8	1008
10	9	1009
10	10	1010
10	11	1012
10	12	1021
10	13	1020
12	1	1201
12	2	1202
12	3	1203
12	4	1204
12	5	1205
12	6	1206
12	7	1207
12	8	1208
12	9	1209
12	10	1210
12	11	1214
11	1	1101
11	2	1102
11	3	1103
11	4	1104
11	5	1105
11	6	1106
11	7	1107
11	8	1108
11	9	1109
11	10	1110
11	11	1113
11	12	1120
17	1	1701
17	2	1702
17	3	1703
17	4	1704
17	5	1705
17	6	1706
17	7	1707
17	8	1708
17	9	1709
17	10	1710
17	11	1714
17	12	1720
17	13	1721
15	1	1501
15	2	1502
15	3	1503
15	4	1504
15	5	1505
15	6	1506
15	7	1507
15	8	1508
15	9	1509
15	10	1510
15	11	1513
15	12	1520
15	13	1521
16	1	1601
16	2	1602
16	3	1603
16	4	1604
16	5	1605
16	6	1606
16	7	1607
16	8	1608
16	9	1609
16	10	1610
16	11	1611
3	1	301
3	2	302
3	3	303
3	4	304
3	5	305
3	6	306
3	7	307
3	8	308
3	9	309
3	10	310
3	11	313
3	12	314
3	13	316
18	1	1801
18	2	1802
18	3	1803
18	4	1804
18	5	1805
18	6	1806
18	7	1807
18	8	1808
18	9	1809
18	10	1810
18	11	1811
20	1	2001
20	2	2002
20	3	2003
20	4	2004
20	5	2005
20	6	2006
20	7	2007
20	8	2008
20	9	2009
20	10	2010
20	11	2011
21	1	2101
21	2	2102
21	3	2103
21	4	2104
21	5	2105
21	6	2106
21	7	2107
21	8	2108
21	9	2109
21	10	2110
21	11	2111
22	1	2201
22	2	2202
22	3	2203
22	4	2204
22	5	2205
22	6	2206
22	7	2207
22	8	2208
22	9	2209
22	10	2210
22	11	2211
23	1	2301
23	2	2302
23	3	2303
23	4	2304
23	5	2305
23	6	2306
23	7	2307
23	8	2308
23	9	2309
23	10	2310
23	11	2311
24	1	2401
24	2	2402
24	3	2403
24	4	2404
24	5	2405
24	6	2406
24	7	2407
24	8	2408
24	9	2409
24	10	2410
24	11	2411
		
0	1	1
0	2	2
0	3	3
0	4	4
0	5	5
0	7	7
0	8	8
0	9	9
0	10	10
0	11	11
0	14	14
0	15	15
0	16	16
0	17	17
0	18	18
0	19	19
0	20	20
0	21	21
0	25	25
0	26	26
0	27	27
0	28	28
0	29	29
0	30	30
0	31	31
0	32	32
0	33	33
0	34	34
0	35	35
0	37	37
0	40	40
0	41	41
0	42	42
		
51	1	5101
51	2	5102
51	3	5103
51	4	5104
51	5	5105
51	6	5106
51	7	5107
51	8	5108
51	9	5109
51	10	5110
51	11	5111
51	12	5112
51	13	5113
51	14	5114
51	15	5115
51	16	39
51	43	43
51	44	44
		
60	1	6001
60	2	6002
60	3	6003
60	4	6004
60	5	6005
60	6	6006
60	7	6007
60	8	38
		
70	1	7021
70	2	7022
70	3	7023
70	4	7024
70	5	7025
70	6	7026
70	7	7027
		
80	1	8001
80	2	8002
80	3	8003
80	4	8004
80	5	8005
80	6	8006
		
90	1	9001
90	2	9002
90	3	9003
90	4	9004
90	5	9005
90	6	9006
