	选项1Key	选项1功能	选项1出现条件	选项1图标	选项1红点&气泡	选项1排序	选项2Key	选项2功能	选项2出现条件	选项2图标	选项2红点&气泡	选项2排序	选项3Key	选项3功能	选项3出现条件	选项3图标	选项3红点&气泡	选项3排序	选项4Key	选项4功能	选项4出现条件	选项4图标	选项4红点&气泡	选项4排序	选项5Key	选项5功能	选项5出现条件	选项5图标	选项5红点&气泡	选项5排序	选项6Key	选项6功能	选项6出现条件	选项6图标	选项6红点&气泡	选项6排序	选项7Key	选项7功能	选项7出现条件	选项7图标	选项7红点&气泡	选项7排序	选项8Key	选项8功能	选项8出现条件	选项8图标	选项8红点&气泡	选项8排序	选项9Key	选项9功能	选项9出现条件	选项9图标	选项9红点&气泡	选项9排序	选项10Key	选项10功能	选项10出现条件	选项10图标	选项10红点&气泡	选项10排序	选项11Key	选项11功能	选项11出现条件	选项11图标	选项11红点&气泡	选项11排序	选项12Key	选项12功能	选项12出现条件	选项12图标	选项12红点&气泡	选项12排序	选项13Key	选项13功能	选项13出现条件	选项13图标	选项13红点&气泡	选项13排序	选项14Key	选项14功能	选项14出现条件	选项14图标	选项14红点&气泡	选项14排序	选项15Key	选项15功能	选项15出现条件	选项15图标	选项15红点&气泡	选项15排序	选项16Key	选项16功能	选项16出现条件	选项16图标	选项16红点&气泡	选项16排序	选项17Key	选项17功能	选项17出现条件	选项17图标	选项17红点&气泡	选项17排序	选项18Key	选项18功能	选项18出现条件	选项18图标	选项18红点&气泡	选项18排序	选项19Key	选项19功能	选项19出现条件	选项19图标	选项19红点&气泡	选项19排序	选项20Key	选项20功能	选项20出现条件	选项20图标	选项20红点&气泡	选项20排序
NpcId	OptionKey1	OptionFunc1	OptionCondition1	OptionIcon1	OptionHasNewState1	OptionSort1	OptionKey2	OptionFunc2	OptionCondition2	OptionIcon2	OptionHasNewState2	OptionSort2	OptionKey3	OptionFunc3	OptionCondition3	OptionIcon3	OptionHasNewState3	OptionSort3	OptionKey4	OptionFunc4	OptionCondition4	OptionIcon4	OptionHasNewState4	OptionSort4	OptionKey5	OptionFunc5	OptionCondition5	OptionIcon5	OptionHasNewState5	OptionSort5	OptionKey6	OptionFunc6	OptionCondition6	OptionIcon6	OptionHasNewState6	OptionSort6	OptionKey7	OptionFunc7	OptionCondition7	OptionIcon7	OptionHasNewState7	OptionSort7	OptionKey8	OptionFunc8	OptionCondition8	OptionIcon8	OptionHasNewState8	OptionSort8	OptionKey9	OptionFunc9	OptionCondition9	OptionIcon9	OptionHasNewState9	OptionSort9	OptionKey10	OptionFunc10	OptionCondition10	OptionIcon10	OptionHasNewState10	OptionSort10	OptionKey11	OptionFunc11	OptionCondition11	OptionIcon11	OptionHasNewState11	OptionSort11	OptionKey12	OptionFunc12	OptionCondition12	OptionIcon12	OptionHasNewState12	OptionSort12	OptionKey13	OptionFunc13	OptionCondition13	OptionIcon13	OptionHasNewState13	OptionSort13	OptionKey14	OptionFunc14	OptionCondition14	OptionIcon14	OptionHasNewState14	OptionSort14	OptionKey15	OptionFunc15	OptionCondition15	OptionIcon15	OptionHasNewState15	OptionSort15	OptionKey16	OptionFunc16	OptionCondition16	OptionIcon16	OptionHasNewState16	OptionSort16	OptionKey17	OptionFunc17	OptionCondition17	OptionIcon17	OptionHasNewState17	OptionSort17	OptionKey18	OptionFunc18	OptionCondition18	OptionIcon18	OptionHasNewState18	OptionSort18	OptionKey19	OptionFunc19	OptionCondition19	OptionIcon19	OptionHasNewState19	OptionSort19	OptionKey20	OptionFunc20	OptionCondition20	OptionIcon20	OptionHasNewState20	OptionSort20
99	house.GiftExchange	{'ShowExChangeGiftUI'}	{'CheckTaskGuideShow',7}	1701187		1	house.GiftExchange2	{'ShowCPFurShop'}	{'CheckTaskGuideShow',8}	1701207	{'CheckShopVersion'}	2	house.menka	{'OpenDormRoom'}		1701161	{'HaveGirlToLiveInRoom'}	3	house.jinianpin	{'ShowWallGift'}	{'CheckTaskGuideShow',10}	1701218	{'HaveAreaGiftToSend'}	4	house.ChangeSuit	{'ShowExChangePlayerSuitUI'}	{'CheckTaskGuideShow',10}	1701228	{'HasSuitUnViewed'}	5	house.DormSelected.key	{'ShowBornAreaSelectUI'}	{'CheckTaskGuideShow',10}	1701275		6	house.HouseSkin	{'HouseSkin'}		1701502	{'HasNewSkin'}	7	house.SEvent	{'Play2DStoryAndCompleteDecrypt',8226201,39}	{'CheckNpcArea',0}|{'CheckDecryptProcess',39,40}	1701131	{'CheckDecryptProcess',39}	0	house.Bye	{'SayBye'}		1701185		8																																																																		
98	house.GiftExchange	{'ShowExChangeGiftUI'}		1701187		1	house.GiftExchange2	{'ShowCPFurShop'}		1701207	{'CheckShopVersion'}	2	house.jinianpin	{'ShowWallGift'}		1701218	{'HaveAreaGiftToSend'}	3	house.Bye	{'SayBye'}		1701185		4																																																																																																
97	house.GiftExchange	{'ShowExChangeGiftUI'}		1701187		1	house.GiftExchange2	{'ShowCPFurShop'}		1701207	{'CheckShopVersion'}	2	house.jinianpin	{'ShowWallGift'}		1701218	{'HaveAreaGiftToSend'}	3	house.Bye	{'SayBye'}		1701185		4																																																																																																
96	house.GiftExchange	{'ShowExChangeGiftUI'}		1701187		1	house.GiftExchange2	{'ShowCPFurShop'}		1701207	{'CheckShopVersion'}	2	house.jinianpin	{'ShowWallGift'}		1701218	{'HaveAreaGiftToSend'}	3	house.Bye	{'SayBye'}		1701185		4																																																																																																
95	house.GiftExchange	{'ShowExChangeGiftUI'}		1701187		1	house.GiftExchange2	{'ShowCPFurShop'}		1701207	{'CheckShopVersion'}	2	house.jinianpin	{'ShowWallGift'}		1701218	{'HaveAreaGiftToSend'}	3	house.Bye	{'SayBye'}		1701185		4																																																																																																
94	house.GiftExchange	{'ShowExChangeGiftUI'}		1701187		1	house.GiftExchange2	{'ShowCPFurShop'}		1701207	{'CheckShopVersion'}	2	house.jinianpin	{'ShowWallGift'}		1701218	{'HaveAreaGiftToSend'}	3	house.Bye	{'SayBye'}		1701185		4																																																																																																
1	house.RingStory	{'PlayRingStory'}	HasRingStory	1701264	{'HasRingStory'}	1	house.RandomEvent	{'RandomEvent'}	HasAnyRandomEvent	1701131		2	house.InRoom.key	{'LetTalkGirlToBedRoom'}	CanInviteToRoom	1701274		3	house.SwitchAction	{'SwitchInteractFur'}	IsInBedRoom	1701217		4	house.GiftSend	{'ShowGiftUI',1}	IsGirlLiveIn	1701132	{'HaveGiftToSend'}	5	house.LoveStory	{'ShowPlotUI'}		1701160	{'HaveLoveStoryUnRead'}	6	house.Bye	{'SayBye'}		1701185		7	house.ChangeSuit_Beach	{'SwitchSwimsuit'}	HasSwimwear	1701228	{'HasSwimwearNew'}	0	house.ChangeSuit_Beach	{'SwitchAreaSuit'}	{'HasAreaSuit',{90}}	1701228	{'HasAreaSuitNew'}	0																																																																		
2	house.RingStory	{'PlayRingStory'}	{'HasRingStory'}|{'CheckTaskGuideShow',4}	1701264	{'HasRingStory'}	1	house.RandomEvent	{'RandomEvent'}	{'HasAnyRandomEvent'}|{'CheckTaskGuideShow',4}	1701131		2	house.InRoom.key	{'LetTalkGirlToBedRoom'}	CanInviteToRoom	1701274		3	house.SwitchAction	{'SwitchInteractFur'}	{'IsInBedRoom'}|{'CheckTaskGuideShow',4}	1701217		4	house.GiftSend	{'ShowGiftUI',2}	IsGirlLiveIn	1701132	{'HaveGiftToSend'}	5	house.LoveStory	{'ShowPlotUI'}	{'CheckTaskGuideShow',2}	1701160	{'HaveLoveStoryUnRead'}	6	house.Bye	{'SayBye'}		1701185		7	house.ChangeSuit_Beach	{'SwitchAreaSuit'}	{'HasAreaSuit',{0}}	1701228	{'HasAreaSuitNew'}	0																																																																								
3	house.RingStory	{'PlayRingStory'}	HasRingStory	1701264	{'HasRingStory'}	1	house.RandomEvent	{'RandomEvent'}	HasAnyRandomEvent	1701131		2	house.InRoom.key	{'LetTalkGirlToBedRoom'}	CanInviteToRoom	1701274		3	house.SwitchAction	{'SwitchInteractFur'}	IsInBedRoom	1701217		4	house.GiftSend	{'ShowGiftUI',3}	IsGirlLiveIn	1701132	{'HaveGiftToSend'}	5	house.LoveStory	{'ShowPlotUI'}		1701160	{'HaveLoveStoryUnRead'}	6	house.Bye	{'SayBye'}		1701185		7	house.SEvent	{'Play2DStoryAndCompleteDecrypt',8226101,2}	{'CheckDecryptProcess',2}	1701131	{'DefaultTrue'}	0	house.SEvent	{'PlayNormal3DStoryAndCompleteDecrypt',5,5}	{'CheckNpcArea',3}|{'CheckDecryptProcess',5,6}	1701131	{'CheckDecryptProcess',5}	0	house.SEvent	{'PlayNormal3DStoryAndCompleteDecrypt',6,6}	{'CheckNpcArea',60}|{'CheckDecryptProcess',6,48}	1701131	{'CheckDecryptProcess',6}	0	house.SEvent	{'PlayNormal3DStoryAndCompleteDecrypt',8,8}	{'CheckNpcArea',60}|{'CheckDecryptProcess',8,9}	1701131	{'CheckDecryptProcess',8}	0	house.SEvent	{'PlayNormal3DStoryAndCompleteDecrypt',9,9}	{'CheckNpcArea',51}|{'CheckDecryptProcess',9,10}	1701131	{'CheckDecryptProcess',9}	0	house.SEvent	{'PlayNormal3DStoryAndCompleteDecrypt',12,12}	{'CheckDecryptProcess',12,13}	1701131	{'CheckDecryptProcess',12}	0	house.SEvent	{'Play2DStoryAndCompleteDecrypt',8226102,19}	{'CheckDecryptProcess',19,21}	1701131	{'CheckDecryptProcess',19}	0	house.SEvent	{'PlayNormal3DStoryAndCompleteDecrypt',44,44}	{'CheckDecryptProcess',44,45}	1701131	{'CheckDecryptProcess',44}	0	house.SEvent	{'PlayNormal3DStoryAndCompleteDecrypt',3,3}	{'CheckNpcArea',3}|{'CheckDecryptProcess',3,4}	1701131	{'CheckDecryptProcess',3}	0	house.SEvent	{'Play2DStoryAndCompleteDecrypt',8226301,47}	{'CheckDecryptProcess',47}	1701131	{'DefaultTrue'}	0																		
